pruning_thresh,jepg_quality,data_size_mean,data_size_std,map
0.02,1,231602.6,2238.1560535405038,0.45824083664955917
0.02,2,232550.16,2256.8043899283784,0.4638626474296426
0.02,3,233397.68,2314.2512693309686,0.46478514150383227
0.02,4,234566.48,2202.5657242407087,0.46074674307880253
0.02,5,235393.8,2381.4592081326946,0.46100610646203083
0.04,1,230449.56,2396.4265994183925,0.4480923003019376
0.04,2,230813.64,2573.1374215925584,0.4534464437367977
0.04,3,231934.76,2331.7984609309615,0.46022344990384056
0.04,4,233178.2,2629.1074302888424,0.4612210713242271
0.04,5,234141.4,2628.407358078272,0.45906192419903474
0.06,1,229177.24,2315.9133451837097,0.4538180616967818
0.06,2,229895.48,2321.8036199472167,0.46479476149952315
0.06,3,230732.36,2233.2689650823518,0.464278234789082
0.06,4,232011.24,2361.0800711538777,0.46453565550852416
0.06,5,232909.2,2508.70663091562,0.4642613580940703
0.08,1,228342.28,1900.4905686690472,0.4564256190921588
0.08,2,228957.36,1779.0172316197504,0.4629486714978394
0.08,3,230151.2,1825.7308892605174,0.4680531824910622
0.08,4,231307.04,1803.6320352000846,0.46120089666315
0.08,5,232081.0,1924.3084472090227,0.4640595043457347
0.1,1,227626.6,1549.4926524511175,0.45969486214203203
0.1,2,228538.2,1449.6787368241285,0.46397582159515866
0.1,3,229449.8,1482.8245884122641,0.46784132896378683
0.1,4,230683.32,1581.565103813308,0.4656610900959144
0.1,5,231495.2,1479.434540626925,0.463556040510245
