pruning_thresh,jepg_quality,data_size_mean,data_size_std,map
0.02,60,6634.604026845637,2098.1868804963824,0.5105613869172059
0.02,70,7962.939597315436,2464.132718981305,0.5230002783865157
0.02,80,10400.79865771812,3021.160182010766,0.5482474907731765
0.02,90,15803.308724832215,3359.414350325395,0.5558898518966016
0.02,100,40217.81879194631,4168.490519213685,0.5542226981774931
0.04,60,7354.0,2234.3225810014887,0.4996966384771802
0.04,70,8648.335570469799,2533.499247627287,0.5374234226432391
0.04,80,10955.885906040268,2957.547522762513,0.5512113379920185
0.04,90,16222.355704697986,3358.558359776484,0.5535409957974671
0.04,100,40146.18120805369,4129.029944502689,0.5541512212568496
0.06,60,7952.7114093959735,2091.2659866173353,0.49190296810197714
0.06,70,9401.140939597315,2373.3656758162533,0.5173098557721887
0.06,80,11650.906040268457,2878.3196844576996,0.5524605668573005
0.06,90,16714.959731543626,3226.590905408009,0.5521904259210805
0.06,100,39988.778523489935,4156.534710945783,0.5516738806295177
0.08,60,8373.570469798658,1990.9941810378616,0.49587044694109744
0.08,70,9896.442953020134,2262.64537634483,0.5153386937259745
0.08,80,12407.805369127516,2741.6148444680216,0.5526294171070696
0.08,90,17105.28859060403,3223.0668214462153,0.5527656657818221
0.08,100,39691.91946308725,4322.8150837790145,0.5538424931444177
0.1,60,8450.570469798658,1912.923870666811,0.464265131565825
0.1,70,10268.96644295302,2205.1269741283127,0.5129211070759614
0.1,80,12565.228187919463,2550.0590574048324,0.5363407878456452
0.1,90,17293.187919463086,2981.858006803806,0.5547529895665895
0.1,100,39304.711409395975,4410.007586922665,0.557246857698782
