pruning_thresh,quality,technique,frame_id,datasize,sensitivity,map
0,0,0,1,173484,1.0,1.0
0,0,0,2,173484,1.0,1.0
0,0,0,3,173484,1.0,1.0
0,0,0,4,173484,1.0,1.0
0,0,0,5,173484,1.0,0.9428571428571428
0,0,0,6,173484,1.0,1.0
0,0,0,7,173484,1.0,1.0
0,0,0,8,173484,1.0,1.0
0,0,0,9,173484,1.0,1.0
0,0,0,10,173484,1.0,1.0
0,0,0,11,173484,1.0,1.0
0,0,0,12,173484,1.0,1.0
0,0,0,13,173484,1.0,0.9666666666666667
0,0,0,14,173484,1.0,0.9428571428571428
0,0,0,15,173484,1.0,1.0
0,0,0,16,173484,1.0,1.0
0,0,0,17,173484,1.0,1.0
0,0,0,18,173484,1.0,1.0
0,0,0,19,173484,1.0,0.9428571428571428
0,0,0,20,173484,1.0,0.9666666666666667
0,0,0,21,173484,1.0,0.9666666666666667
0,0,0,22,173484,1.0,1.0
0,0,0,23,173484,1.0,1.0
0,0,0,24,173484,1.0,1.0
0,0,0,25,173484,1.0,1.0
0,0,0,26,173484,1.0,1.0
0,0,0,27,173484,1.0,1.0
0,0,0,28,173484,1.0,1.0
0,0,0,29,173484,1.0,1.0
0,0,0,30,173484,1.0,1.0
0,0,0,31,173484,1.0,0.95
0,0,0,32,173484,1.0,1.0
0,0,0,33,173484,1.0,0.8500000000000001
0,0,0,34,173484,1.0,0.8500000000000001
0,0,0,35,173484,1.0,0.8500000000000001
0,0,0,36,173484,1.0,0.8999999999999999
0,0,0,37,173484,1.0,0.8999999999999999
0,0,0,38,173484,1.0,0.8541666666666666
0,0,0,39,173484,1.0,0.875
0,0,0,40,173484,1.0,0.95
0,0,0,41,173484,1.0,0.95
0,0,0,42,173484,1.0,0.95
0,0,0,43,173484,1.0,0.95
0,0,0,44,173484,1.0,1.0
0,0,0,45,173484,1.0,1.0
0,0,0,46,173484,1.0,1.0
0,0,0,47,173484,1.0,1.0
0,0,0,48,173484,1.0,1.0
0,0,0,49,173484,1.0,1.0
0,0,0,50,173484,1.0,1.0
0,0,0,51,173484,1.0,1.0
0,0,0,52,173484,1.0,1.0
0,0,0,53,173484,1.0,1.0
