pruning_thresh,jepg_quality,data_size_mean,data_size_std,map
0.02,60,6650.848214285715,2528.2917394593214,0.5133891778456596
0.02,70,8207.17857142857,3051.3063821509472,0.5225097746031755
0.02,80,10494.80357142857,3585.5143281166934,0.5455750054585421
0.02,90,15787.46875,3966.6224251003714,0.541139453679508
0.02,100,40121.78571428572,4758.376105294618,0.541211923511663
0.04,60,7487.544642857143,2640.9614300085354,0.498952808864385
0.04,70,8803.27232142857,3052.093054063468,0.5221834438244299
0.04,80,11134.90625,3533.1348844541235,0.5514016977785653
0.04,90,16189.02232142857,3913.4165396612984,0.5422685007564128
0.04,100,40080.56696428572,4732.216689785794,0.5423985840562283
0.06,60,8228.75,2491.0974202433067,0.5131143680256511
0.06,70,9874.17857142857,3001.75399384107,0.5302235369744535
0.06,80,12140.107142857143,3394.3123379337057,0.5295805800345765
0.06,90,16684.85714285714,3740.8247284836393,0.5436907950067695
0.06,100,39912.91517857143,4704.064909824378,0.5403337976920146
0.08,60,8717.79017857143,2419.15504096471,0.4970582823997751
0.08,70,10480.589285714286,2846.3366620647275,0.52907596825373
0.08,80,12639.47767857143,3269.436776998061,0.5350622177051534
0.08,90,17176.33035714286,3563.3032186952823,0.5440184255502939
0.08,100,39552.62946428572,4790.10342876216,0.5368379860367614
0.1,60,8996.57142857143,2250.485585356627,0.4844655802377923
0.1,70,10654.339285714286,2592.221463731072,0.5104048220439137
0.1,80,12895.035714285714,3029.250710125512,0.5329367206975534
0.1,90,17248.36160714286,3392.827944796239,0.5249515134988617
0.1,100,39134.25446428572,4850.162487381008,0.53571238460476
