video_name,pruning_thresh,jepg_quality,head_time_mean,head_time_std,tail_time_mean,tail_time_std,encode_time_mean,encode_time_std,decode_time_mean,decode_time_std,request_time_mean,request_time_std
b4fe0b47-a7819060,0.05,60,68.41006278991699,514.2701138306397,11.727655911445618,50.61755822420938,25.608577332496644,176.8924793520071,1.0284070268273353,4.604069025126004,23.629707202911376,56.76953637710316
b4fe0b47-a7819060,0.05,70,16.47992000579834,1.1935770703862751,5.4899478530883785,0.1716270701662965,7.973426871299743,0.5495494460479953,0.5921020773053169,0.12581214900030166,17.05537118911743,1.257041626224074
b4fe0b47-a7819060,0.05,80,16.678164567947388,1.3366697252341395,5.56189920425415,0.7601585637400314,8.303960304260254,0.3931886354870526,0.6258870416879654,0.056370689208651056,17.05622389793396,1.0620116254574437
b4fe0b47-a7819060,0.05,90,16.50221598625183,1.1499337672445187,5.508439350128174,0.4942048828286615,8.587853770256043,0.5810595956250412,0.6856230407953262,0.047238722554612894,17.026252450942994,0.8705001906591389
b4fe0b47-a7819060,0.05,100,16.494073619842528,1.3325549357814428,5.480053129196167,0.09036442610378405,10.037736668586732,0.8420814910723975,0.9410179162025452,0.08128976329470888,17.545464868545533,1.085723802561247
b5fa32f1-4e9c7d32,0.05,60,16.417903995513917,1.1327941998269617,5.530546851158142,0.8846965406732165,7.705164165496826,0.2897489021208924,0.5034544023871422,0.044371534734564476,16.881595458984375,1.2519812446507326
b5fa32f1-4e9c7d32,0.05,70,16.39245213508606,1.3596961688611633,5.500463390350342,0.5826211647081123,7.795631675720215,0.7218367225683712,0.5432336005568504,0.04691585060578509,16.6839324760437,1.2194520703661034
b5fa32f1-4e9c7d32,0.05,80,16.536521282196045,1.33609887770998,5.45975197315216,0.08788265897189734,7.984933776855469,0.6463354177150544,0.5779305601119995,0.0435785791388915,16.785328340530395,1.0217200080560662
b5fa32f1-4e9c7d32,0.05,90,16.388160982131957,1.378901254464347,5.470128965377808,0.06745640088858819,8.578051209449768,0.6932199140630781,0.6708204799890518,0.030922425904932795,17.151137943267823,1.1522649003659313
b5fa32f1-4e9c7d32,0.05,100,16.965170335769653,2.104775630660298,5.472513613700866,0.07622028352709842,10.114029784202575,0.7670073792740889,0.9271375977993012,0.04013902585230267,17.601029777526854,1.0194720615727724
b4c0a877-66fc6239,0.05,60,16.724102096557615,1.3523016362600575,5.341680984497071,0.2568728325747279,7.5329305362701415,0.376436119508039,0.44618784099817277,0.04711117221600822,16.489272327423095,1.0329326072603893
b4c0a877-66fc6239,0.05,70,16.95521789550781,1.56146981092192,5.391255350112915,0.5499056454040149,7.5697952032089235,0.5701125686422989,0.5021167996525765,0.06196546847497888,16.43494337081909,0.9152669580248104
b4c0a877-66fc6239,0.05,80,16.611283521652222,1.3007399250109202,5.448404140472412,0.5463593498657376,7.6920211267471315,0.5495114503238652,0.5398751986026764,0.052660748106620595,16.58435136795044,1.0044781449764308
b4c0a877-66fc6239,0.05,90,16.41713438987732,1.168709932304061,5.522539205551148,0.8807781601593185,8.209814386367798,0.6141832713726761,0.6269305592775345,0.04597303580651411,16.789267473220825,1.4169796680122826
b4c0a877-66fc6239,0.05,100,16.208104009628297,1.0334654616800671,5.50078049659729,0.7707153790853591,9.629375081062317,1.005088373002023,0.8846512007713317,0.04996211473512114,17.187595462799074,1.4362792817960057
b49a1b50-186fb520,0.05,60,16.233666553497315,1.1410876638505738,4.944490900039673,0.22044768371391732,7.471899518966675,0.5800127063287472,0.4727046385407448,0.0490365522431222,15.899954586029052,1.1482174049645155
b49a1b50-186fb520,0.05,70,16.25312003135681,1.1493932976977799,5.009333772659302,0.2763045409087273,7.668176965713501,0.5404295926878373,0.5152035227417946,0.04856103150133009,16.09355712890625,0.7595223638572155
b49a1b50-186fb520,0.05,80,17.073896980285646,1.693733093534667,5.02063871383667,0.2611332902470549,7.781299815177918,0.7046931529311168,0.5517449563741684,0.04919492367012314,16.09296277999878,1.0579788901951477
b49a1b50-186fb520,0.05,90,16.232316160202025,1.0030034388596585,5.02399489402771,0.2604065138538566,8.401491856575012,0.5281006802137951,0.6424646419286728,0.046073083608045635,16.56128472328186,0.9538772746430781
b49a1b50-186fb520,0.05,100,16.326386871337892,1.234200304277605,5.007300181388855,0.25725834319591967,10.11360161781311,0.6319053314835941,0.8983200007677078,0.0444795408329338,16.85884385108948,0.8052130569239304
b610204c-e3c8c65f,0.05,60,16.163260135650635,0.993291482115805,5.482279028892517,0.7339684138714413,7.683858871459961,0.547518412028243,0.5171465602517128,0.05639006232506882,16.69933162689209,1.187956200387285
b610204c-e3c8c65f,0.05,70,16.48491518974304,1.2196926159890475,5.479878406524659,0.6809637076738118,7.9202947473526,0.3839755704367826,0.5537433585524559,0.0589435077032917,16.602863931655882,0.9918042149846706
b610204c-e3c8c65f,0.05,80,16.426677103042604,1.390775330622049,5.503833293914795,0.7206520600448971,8.063169584274291,0.7294526434232695,0.654559999704361,0.5965223615284013,17.18109631538391,1.6018072008846893
b610204c-e3c8c65f,0.05,90,16.361549100875855,1.1176069667947033,5.4345855712890625,0.1612983064697103,8.618292517662049,0.6800990275066948,0.7058275163173675,0.059592372369709545,16.895740766525268,0.9758896872000499
b610204c-e3c8c65f,0.05,100,16.56075394630432,1.2912830306753607,5.436933121681213,0.12341730667179758,10.166995158195496,0.6739738943836585,0.9413651180267334,0.08241583206774823,17.322231044769286,0.7299778758162963
