split_layer,rank,sparsity,regularity,pictoriality,decomposability,jpeg_ratio,jpeg_snr,jpeg_mse,decomposition_ratio,decomposition_snr,decomposition_mse,regression_ratio,regression_snr,regression_mse,sketchml_ratio,sketchml_snr,sketchml_mse
8,24.2734375,0.0,0.9608806971262193,0.9904785367864124,0.533203125,6.291115311909262,25.54905891418457,6.611931e-07,0.5355648535564853,133.43957901000977,1.0746738e-17,14.939226519337016,5.819332599639893,6.212996e-05,4.269350799935857,0.958169624209404,0.00019029061
8,24.28125,0.0,0.9516392262024287,0.9879459502428947,0.5330528846153846,6.053448999580244,25.357704162597656,5.7759803e-07,0.5353925353925354,132.8540802001953,1.02798714e-17,14.939226519337016,5.4350346326828,5.674042e-05,4.2682451596991,0.8956257253885269,0.00016137394
8,24.3125,0.0,0.9522689729047245,0.9890909166731072,0.5324519230769231,5.9269813000890474,25.527379512786865,6.2704385e-07,0.5347043701799485,133.43477249145508,1.01521556e-17,14.939226519337016,5.12884259223938,6.873082e-05,4.2728294013801955,0.9442086517810822,0.00018014197
8,24.2890625,0.0,0.9504672056119118,0.9882916832816672,0.5329026442307692,6.098674936566113,25.108494758605957,6.605046e-07,0.5352203280797684,133.93178939819336,8.6605645e-18,14.939226519337016,5.198269486427307,6.4699125e-05,4.268508355429487,0.8843450248241425,0.00017469918
8,24.2734375,0.0,0.9500084600505039,0.9876775304241293,0.533203125,5.471261460638634,26.593849658966064,5.0705415e-07,0.5355648535564853,131.22188568115234,1.7468317e-17,14.939226519337016,5.055396556854248,7.226027e-05,4.2739374181916965,0.9394239634275436,0.00018642188
8,24.28125,0.0,0.9512818184124647,0.9883576109564516,0.5330528846153846,6.168015112093239,25.908169746398926,5.5487124e-07,0.5353925353925354,129.74029541015625,2.2960391e-17,14.939226519337016,5.2820885181427,6.409147e-05,4.268087257839764,0.9114163368940353,0.00017533454
8,24.3125,0.0,0.9582354923677162,0.9907039777767024,0.5324519230769231,5.655147623482509,27.81804084777832,4.181358e-07,0.5347043701799485,133.35347175598145,1.1688907e-17,14.939226519337016,5.743109583854675,6.742336e-05,4.26493167227336,0.9398384392261505,0.00020376871
8,24.28125,0.0,0.9518959338848407,0.9878747999315431,0.5330528846153846,6.55502736690593,24.041895866394043,7.583761e-07,0.5353925353925354,133.04587364196777,9.5386415e-18,14.939226519337016,5.515754222869873,5.401307e-05,4.26840307324232,0.8195135742425919,0.00015926595
8,24.2890625,0.0,0.9539358771058934,0.989337742681334,0.5329026442307692,5.714719722612069,26.033027172088623,5.73153e-07,0.5352203280797684,133.40075492858887,1.0507459e-17,14.939226519337016,5.564192533493042,6.384898e-05,4.268560998470722,0.8920656144618988,0.00018722621
8,24.2890625,0.0,0.9425109885853423,0.9849327499344505,0.5329026442307692,5.523915923200919,24.874463081359863,7.181561e-07,0.5352203280797684,133.52439880371094,9.7999735e-18,14.939226519337016,4.503791630268097,7.8214274e-05,4.268508355429487,0.9134409576654434,0.00017878089
