split_layer,rank,sparsity,regularity,pictoriality,jpeg_ratio,jpeg_snr,jpeg_mse,decomposition_ratio,decomposition_snr,decomposition_mse,regression_ratio,regression_snr,regression_mse,sketchml_ratio,sketchml_snr,sketchml_mse
8,17.8515625,0.8131934171597633,0.9908016320516372,0.9320777520625549,6.196061582527748,29.966273307800293,1.2285311e-07,0.7282275711159737,135.21902084350586,3.665315e-18,16.628008647609896,7.735866904258728,2.0531792e-05,19.617525364167093,1.1833052337169647,9.282886e-05
8,17.7109375,0.8553185096153846,0.9947980053326082,0.9448609098174868,5.787438967293157,29.22656774520874,1.1186012e-07,0.7340097044552272,135.5594253540039,2.602494e-18,16.484663745475327,7.09818959236145,1.8260518e-05,24.07065859934627,1.222393810749054,7.064683e-05
8,17.4609375,0.8538854474852071,0.9963582239207431,0.9483836811675123,6.27253121658602,28.224384784698486,1.5278198e-07,0.7445190156599553,135.30924797058105,2.9894092e-18,16.484663745475327,6.972792744636536,2.0381274e-05,23.92093441150045,1.2835049629211426,7.5537064e-05
8,17.640625,0.8595367973372781,0.9967078273818337,0.949545312915328,6.248298521473832,27.668681144714355,1.589072e-07,0.7369353410097431,135.554780960083,2.585437e-18,16.484663745475327,6.894785761833191,1.8990357e-05,24.6834973612894,1.3173790276050568,6.859205e-05
8,17.8203125,0.8368042714497042,0.9972552216264623,0.9522938700117303,5.691882647020129,30.478992462158203,9.895035e-08,0.7295046032441912,135.24264335632324,3.3040935e-18,16.484663745475327,7.116715312004089,2.1460755e-05,21.890582505850357,1.2462525069713593,8.292611e-05
8,18.9375,0.8156319341715976,0.9913216610632,0.9340634543514816,5.4531589727430285,31.63900136947632,8.7433236e-08,0.6864686468646864,135.19107818603516,3.8589485e-18,16.484663745475327,7.383019924163818,2.3295646e-05,19.837909096119677,1.3785327970981598,9.2837516e-05
8,17.6875,0.8044679178994083,0.987913954187427,0.9220177464231232,5.61505515898767,31.544835567474365,9.831481e-08,0.734982332155477,135.21258354187012,4.2251716e-18,16.484663745475327,7.84817099571228,2.302955e-05,18.885360397228133,1.4717976748943329,9.9982215e-05
8,16.953125,0.8479336168639053,0.9931140263405072,0.9352831643008621,6.008263028156789,30.581367015838623,9.091394e-08,0.7668202764976959,135.33220291137695,3.044714e-18,16.484663745475327,7.621708512306213,1.7971997e-05,23.171453437771977,1.3033561408519745,7.698951e-05
8,19.5234375,0.7743158284023669,0.9917476106677535,0.9252892838427301,5.209783999397907,31.657750606536865,1.1788519e-07,0.6658663465386154,135.01595497131348,5.440499e-18,16.484663745475327,7.393274903297424,3.147074e-05,16.734938593946428,1.2021496891975403,0.00013092406
8,19.7734375,0.7740269045857988,0.9913375257740359,0.9242007577207667,5.286654752631017,31.003358364105225,1.3501065e-07,0.6574476491505333,135.0972080230713,5.259963e-18,16.484663745475327,7.312986850738525,3.157949e-05,16.737366410368008,1.1786842346191406,0.00012966877
