pruning_thresh,jepg_quality,head_time_mean,head_time_std,tail_time_mean,tail_time_std,framework_time_mean,framework_time_std,jpeg_time_mean,jpeg_time_std,encode_time_mean,encode_time_std,decode_time_mean,decode_time_std,request_time_mean,request_time_std
0.02,1,13.339429172117319,27.607454105060075,4.928419792830055,2.1307110977106767,3.706196486060299,18.389067996831056,151.17549862078766,4.153996102322042,190.70832619738223,17.603966398030703,16.88129531803416,7.827385254645127,50.32031938922939,10.394792212621498
0.02,2,9.975373381999,0.19056148312207735,4.653679292593429,0.31154252134510063,1.4850555142359947,0.46367711253850646,155.34609666511193,5.3649870969130475,196.93983322826784,34.89318265747289,16.172748010549974,7.652476918185912,49.61354947445997,11.752984225752941
0.02,3,9.971185143314191,0.1874388310532968,4.718301602263949,0.8549846683650172,1.4310911039807903,0.2685961924985824,155.9540052271601,4.452158020063258,192.8845449419164,4.703046579982915,15.4973726272583,6.24960931820881,47.97658800722948,8.898813126924171
0.02,4,9.973533616137148,0.19141324333660747,4.638892885464341,0.347378011943556,1.4694376116368308,0.23267657239392023,159.01829437711345,4.661281728993182,196.42918191027286,5.336291317162878,16.485239826031584,7.020645387193545,50.08232048376283,10.733437912930501
0.02,5,9.955263066647658,0.06943480645351435,4.855523806899341,2.219369479266433,1.5110127765740922,0.4490016408051993,160.48104835624125,3.728352563490617,197.82498305591184,4.037519470177352,15.161789580957214,5.945499029233732,48.02707877087949,8.503050366750118
0.04,1,9.958857080829677,0.07012386429129416,4.637072726861755,0.2652386692367265,1.479617435540726,0.1787706619432177,149.27762341855177,4.29305216893345,186.63548734294835,4.622067779105964,15.515144091933522,7.007935051191484,49.03357127175402,11.63523525746743
0.04,2,9.948518240629737,0.0634556256603018,4.593040743870522,0.18065393378081926,1.4357559414052252,0.15792379916026594,151.33886673201377,3.987010075116639,192.33575416678812,31.46731166799328,14.070514166533057,4.657511643643859,46.009208793070776,5.186753669249734
0.04,3,9.947720584584706,0.0573542832828481,4.736561234317609,0.7825616109976267,1.4247264435042197,0.1839565374970485,153.90484937980995,4.820271399827985,190.91711881267491,5.236723779318978,16.437256585306198,7.118436436555424,49.8476416744403,12.977621307447778
0.04,4,9.948876822172705,0.06860852714805037,4.965088488450691,2.225578701656917,1.4353666874899793,0.23858938410441938,156.5643857130364,4.559135902983685,193.7740266714523,5.053061722491178,17.810922565744885,8.948775068562329,50.51610075537838,10.674101929795148
0.04,5,9.980242658017287,0.18277665840976778,4.709527883956682,0.3428820626099751,1.4703259717172652,0.2258196763782841,158.72041685189774,4.8311922083721095,196.00369991473298,5.215951779885618,18.962482210415512,8.865215698348672,52.34288423452804,11.734993913461285
0.06,1,9.948654772630379,0.06300687740266735,4.6659329044285105,0.27811186288965933,1.4319770780961905,0.36686113473523213,147.46912828132287,3.403090993048046,184.63845870743936,3.9084555330185164,14.289227442954903,5.605329068422302,46.20880479954962,6.0520849741308
0.06,2,9.95631952428106,0.0609530941945451,4.64733231957279,0.221403189428641,1.4149029237120898,0.18576043371726061,150.68992295905724,4.292459819004587,187.85870702942805,4.5618845640446875,15.667539055667707,6.548734419216327,48.11015450776513,7.267427566036399
0.06,3,9.956006719105279,0.055868818561944165,4.644563589523088,0.24013460206984483,1.4895426853379208,0.49642485140387727,152.27053400295884,3.9524227980206885,193.38405187806086,33.97426556617931,16.56743066702316,7.793061461494369,50.14621700457673,11.489836683983032
0.06,4,9.942450608780135,0.07967076844475197,4.584542573387943,0.11609391290216545,1.455280234564596,0.23072342731571613,152.5808923066552,3.990726609850099,189.2408593021222,4.300895735390638,14.461389328116802,4.996438878592669,46.01581613341374,5.369653020919598
0.06,5,9.985055966163749,0.1755199828317626,4.680892161468961,0.33586861154440956,1.4119579667475686,0.18053873012957472,154.9684197724755,4.390237312129801,191.6754284759066,4.585244423563681,16.89532416614134,7.053120816240917,50.63768978972933,11.170321774984185
