pruning_thresh,jepg_quality,data_size_mean,data_size_std,map
0.02,1,231731.67164179104,2046.2679416918527,0.4548837595530348
0.02,2,232808.74626865672,2173.7257879714375,0.45473710065880096
0.02,3,233647.73134328358,2228.6796277274693,0.46231414208371746
0.02,4,234786.2985074627,2093.0612089296696,0.4669900773270715
0.02,5,235655.19402985074,2221.6542998459636,0.4749561670169121
0.04,1,230337.10447761195,2384.832251895601,0.45525150883059273
0.04,2,230991.49253731343,2362.337808524873,0.45998259921665824
0.04,3,231793.28358208956,2176.6916070994116,0.4645912865635422
0.04,4,233495.01492537314,2467.2039978367034,0.4576614518078118
0.04,5,234388.92537313432,2501.479784814144,0.4594106270957656
0.06,1,229031.55223880598,1929.3413251064842,0.4578533289249516
0.06,2,229740.26865671642,1834.0253711854498,0.46604711318992104
0.06,3,230776.32835820896,1895.010403531949,0.4691395777061724
0.06,4,231843.37313432837,1846.2864126367801,0.4716106684898574
0.06,5,232851.31343283583,2110.878420878381,0.46986761434255586
0.08,1,228260.08955223882,1667.958030641178,0.45917428412858613
0.08,2,228786.9552238806,1554.281918307354,0.46504063456998657
0.08,3,229759.37313432837,1433.2067877984912,0.4675438786880068
0.08,4,231002.53731343284,1688.0943448943913,0.4713890428066561
0.08,5,232157.8805970149,1811.9676409946132,0.4694926705224339
0.1,1,227844.68656716417,1411.1977574794687,0.4624872465626567
0.1,2,228608.20895522388,1442.3296716461355,0.4668948351243723
0.1,3,229400.44776119402,1481.6997025258315,0.46843473946908
0.1,4,230702.23880597015,1455.1314254594904,0.47366692378377884
0.1,5,231494.59701492538,1475.7744039433578,0.4684596589273098
