pruning_thresh,quality,technique,frame_id,datasize,sensitivity,map
0,0,0,1,86968,1.0,0.75
0,0,0,2,86968,1.0,0.6666666666666666
0,0,0,3,86968,1.0,0.6666666666666666
0,0,0,4,86968,1.0,0.725
0,0,0,5,86968,1.0,0.85
0,0,0,6,86968,0.8,0.825
0,0,0,7,86968,0.6666666666666666,0.59375
0,0,0,8,86968,0.8333333333333334,0.725
0,0,0,9,86968,0.8333333333333334,0.725
0,0,0,10,86968,0.8333333333333334,0.75
0,0,0,11,86968,0.8,0.875
0,0,0,12,86968,0.8,0.875
0,0,0,13,86968,0.8,0.875
0,0,0,14,86968,0.8,0.84375
0,0,0,15,86968,1.0,0.7380952380952381
0,0,0,16,86968,0.6,0.3333333333333333
0,0,0,17,86968,0.8333333333333334,0.6666666666666666
0,0,0,18,86968,0.8333333333333334,0.6041666666666666
0,0,0,19,86968,1.0,0.5595238095238095
0,0,0,20,86968,1.0,0.5595238095238095
0,0,0,21,86968,1.0,0.9166666666666666
0,0,0,22,86968,1.0,0.626984126984127
0,0,0,23,86968,1.0,0.7388888888888888
0,0,0,24,86968,1.0,0.7666666666666666
0,0,0,25,86968,1.0,0.7380952380952381
0,0,0,26,86968,1.0,0.7666666666666666
0,0,0,27,86968,0.8333333333333334,0.725
0,0,0,28,86968,0.8333333333333334,0.7111111111111111
0,0,0,29,86968,0.8333333333333334,0.5833333333333334
0,0,0,30,86968,0.8333333333333334,0.6
0,0,0,31,86968,0.8333333333333334,0.6333333333333333
0,0,0,32,86968,1.0,0.7388888888888888
0,0,0,33,86968,1.0,0.8
0,0,0,34,86968,1.0,0.8333333333333333
0,0,0,35,86968,1.0,0.7916666666666666
0,0,0,36,86968,1.0,0.7666666666666666
0,0,0,37,86968,1.0,0.7833333333333333
0,0,0,38,86968,1.0,0.8333333333333334
0,0,0,39,86968,0.8,0.75
0,0,0,40,86968,1.0,0.8777777777777778
0,0,0,41,86968,1.0,0.7944444444444444
0,0,0,42,86968,0.8333333333333334,0.6458333333333333
0,0,0,43,86968,1.0,0.6666666666666666
0,0,0,44,86968,0.8333333333333334,0.78125
0,0,0,45,86968,1.0,0.6666666666666666
0,0,0,46,86968,1.0,0.8333333333333333
0,0,0,47,86968,0.8333333333333334,0.575
0,0,0,48,86968,0.8333333333333334,0.575
0,0,0,49,86968,1.0,0.5
0,0,0,50,86968,1.0,0.5
0,0,0,51,86968,1.0,0.5
0,0,0,52,86968,1.0,0.5
0,0,0,53,86968,1.0,0.5
0,0,0,54,86968,1.0,0.5
0,0,0,55,86968,1.0,0.5
0,0,0,56,86968,1.0,0.5
0,0,0,57,86968,1.0,0.5
0,0,0,58,86968,1.0,0.5
0,0,0,59,86968,1.0,0.5
