video_name,pruning_thresh,jepg_quality,data_size_mean,data_size_std,map,map_50,map_75,map_small,map_medium,map_large,mar_1,mar_100,mar_small,mar_medium,mar_large
b4fe0b47-a7819060,0.05,60,95391.84,48401.91454637306,0.061136797070503235,0.10891088843345642,0.05341896787285805,0.07020243257284164,0.0,0.0,0.030042016878724098,0.06365546584129333,0.07417380809783936,0.0,0.0
b4fe0b47-a7819060,0.05,70,115384.91,57338.49855412941,0.05821821466088295,0.10891088843345642,0.0324200764298439,0.06674308329820633,0.0,0.0,0.029936974868178368,0.061869747936725616,0.07209302484989166,0.0,0.0
b4fe0b47-a7819060,0.05,80,150438.95,64358.32396238656,0.056891679763793945,0.10891088843345642,0.02668316848576069,0.06482566893100739,0.0,0.0,0.025577731430530548,0.06087184697389603,0.07093023508787155,0.0,0.0
b4fe0b47-a7819060,0.05,90,231681.08,67844.65649167662,0.055248938500881195,0.10396039485931396,0.028459127992391586,0.06516485661268234,0.0,0.0,0.02699579857289791,0.059663865715265274,0.06952264159917831,0.0,0.0
b4fe0b47-a7819060,0.05,100,586611.56,79162.41954340709,0.05422307178378105,0.10396039485931396,0.024242114275693893,0.06221930310130119,0.0,0.0,0.027363445609807968,0.0580357126891613,0.06762545555830002,0.0,0.0
b5fa32f1-4e9c7d32,0.05,60,110654.51,16123.503818646244,0.01721559837460518,0.02687411569058895,0.02687411569058895,0.0009900990407913923,0.010891089215874672,0.037093352526426315,0.01742049679160118,0.01742049679160118,0.00036211698898114264,0.010270660743117332,0.03897058963775635
b5fa32f1-4e9c7d32,0.05,70,134700.2,19417.2055847385,0.0575503408908844,0.0902661681175232,0.07713287323713303,0.0009900990407913923,0.06096180900931358,0.116146020591259,0.06179353967308998,0.06179353967308998,0.00038997214869596064,0.06196318939328194,0.12569589912891388
b5fa32f1-4e9c7d32,0.05,80,176737.34,22866.812568095273,0.06829164177179337,0.10596629232168198,0.09823284298181534,0.0018316832138225436,0.06394048035144806,0.14401642978191376,0.07129263132810593,0.07186109572649002,0.0014206127962097526,0.06688199192285538,0.15087972581386566
b5fa32f1-4e9c7d32,0.05,90,297835.53,30763.24212707594,0.07399509102106094,0.12243559956550598,0.10011954605579376,0.0044507128186523914,0.07956328988075256,0.15942734479904175,0.08014500141143799,0.08319739997386932,0.0043454039841890335,0.09193070977926254,0.1747242659330368
b5fa32f1-4e9c7d32,0.05,100,776065.81,63504.162793425596,0.04686852917075157,0.08427199721336365,0.054425083100795746,0.008145497180521488,0.0657598003745079,0.122533418238163,0.04169058799743652,0.0531834214925766,0.012423397973179817,0.07692718505859375,0.13332206010818481
b4c0a877-66fc6239,0.05,60,56824.04,11280.930044920942,0.001320132054388523,0.0033003301359713078,0.0,0.0,0.003960396163165569,0.0,0.00023108029563445598,0.00023108029563445598,0.0,0.001320132054388523,0.0
b4c0a877-66fc6239,0.05,70,71269.99,15060.116051010364,0.002970297122374177,0.0066006602719426155,0.0,0.0,0.009570957161486149,0.0,0.001617562142200768,0.001617562142200768,0.0,0.009240924380719662,0.0
b4c0a877-66fc6239,0.05,80,99747.45,15442.189311347662,0.01417517103254795,0.029702970758080482,0.004823559429496527,0.0,0.06855783611536026,0.031683169305324554,0.01444251835346222,0.01444251835346222,0.0,0.07029703259468079,0.026428570970892906
b4c0a877-66fc6239,0.05,90,178325.55,20180.824792547504,0.022229235619306564,0.04576198756694794,0.011590775102376938,0.0007975797634571791,0.09954743087291718,0.05247524753212929,0.022588100284337997,0.022934719920158386,0.0014925373252481222,0.10660065710544586,0.04857143014669418
b4c0a877-66fc6239,0.05,100,561115.57,28631.341352879368,0.02791571244597435,0.0545552521944046,0.015872683376073837,0.0011551155475899577,0.10680380463600159,0.11751028150320053,0.02790294587612152,0.029347198083996773,0.0032338309101760387,0.11089108884334564,0.11357142776250839
b49a1b50-186fb520,0.05,60,82443.18,14216.937440517913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b49a1b50-186fb520,0.05,70,100276.38,17040.905968744737,0.0004243281437084079,0.0007072135922499001,0.0007072135922499001,0.0,0.009900989942252636,0.0,0.0005132592050358653,0.0005132592050358653,0.0,0.008333333767950535,0.0
b49a1b50-186fb520,0.05,80,134358.56,19903.71965051759,0.004101838916540146,0.007072135806083679,0.005657708737999201,0.0,0.026072606444358826,0.0,0.0031062874477356672,0.0031062874477356672,0.0,0.02361111156642437,0.0
b49a1b50-186fb520,0.05,90,232853.96,30158.810100837865,0.00775511609390378,0.016152163967490196,0.004950494971126318,0.0006930693052709103,0.06472772359848022,0.007920792326331139,0.008674615062773228,0.008674615062773228,0.0015625000232830644,0.07777778059244156,0.007272727321833372
b49a1b50-186fb520,0.05,100,656853.71,34058.21766425689,0.01530818734318018,0.026295486837625504,0.021542813628911972,0.0020627062767744064,0.12858586013317108,0.007128712721168995,0.018509410321712494,0.018509410321712494,0.0023437500931322575,0.15555556118488312,0.006666666828095913
b610204c-e3c8c65f,0.05,60,129079.81,13651.093392615114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b610204c-e3c8c65f,0.05,70,158155.38,15360.718671846054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b610204c-e3c8c65f,0.05,80,205489.2,19629.35835069501,0.0001650165067985654,0.000550055003259331,0.0,0.0,0.0001650165067985654,0.0,5.476451406138949e-05,5.476451406138949e-05,0.0,0.0001818181772250682,0.0
b610204c-e3c8c65f,0.05,90,338819.59,27489.351157892033,0.024611229076981544,0.04986133426427841,0.027803970500826836,0.00562090752646327,0.044104721397161484,0.0944581925868988,0.02622302807867527,0.028229007497429848,0.008866846561431885,0.04737373813986778,0.09758064150810242
b610204c-e3c8c65f,0.05,100,857034.82,39653.944452318996,0.044015225023031235,0.0916217714548111,0.03279270976781845,0.011127892881631851,0.05978751555085182,0.29635870456695557,0.03826962411403656,0.051688067615032196,0.019936436787247658,0.06988552212715149,0.33632194995880127
b4d2dede-18dc0cd0,0.05,60,66057.03,12247.336602261734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b4d2dede-18dc0cd0,0.05,70,82746.8,15012.219421524585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b4d2dede-18dc0cd0,0.05,80,113267.1,18579.611361651245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b4d2dede-18dc0cd0,0.05,90,201162.0,25950.027260486644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b4d2dede-18dc0cd0,0.05,100,595516.12,30632.42949792915,0.0007013201247900724,0.0033003301359713078,0.00041254126699641347,0.0009735973435454071,0.0019801980815827847,0.0,0.0005074160872027278,0.0005074160872027278,0.0013235294027253985,0.0013468012912198901,0.0
b69d5b1d-03bd6daa,0.05,60,60579.73,30455.29207046125,0.0034103409852832556,0.0066006602719426155,0.0033003301359713078,0.008580857887864113,0.0061056106351315975,0.0,0.0022123893722891808,0.0022123893722891808,0.008860759437084198,0.005218855105340481,0.0
b69d5b1d-03bd6daa,0.05,70,76365.85,35785.538109234854,0.008227085694670677,0.013201320543885231,0.009553587064146996,0.04814673960208893,0.01580033078789711,0.0,0.008013766258955002,0.008013766258955002,0.04873417690396309,0.014478114433586597,0.0
