video_name,pruning_thresh,jepg_quality,data_size_mean,data_size_std,sparsity,decomposability,regularity,pictoriality,map,map_50,map_75,map_small,map_medium,map_large,mar_1,mar_100,mar_small,mar_medium,mar_large
b610204c-e3c8c65f,0.0,60,13365.75,1190.5686403983602,5.778476331360947e-07,-1.0,0.1172765083934092,0.20089364727892814,0.010464796796441078,0.017464246600866318,0.012376237660646439,0.0056105609983205795,0.028217822313308716,-1.0,0.009230769239366055,0.009983781725168228,0.003865686012431979,0.02777777798473835,-1.0
b610204c-e3c8c65f,0.0,70,16472.4,1203.1342152893833,0.0,-0.999969951923077,0.1158650947450656,0.20234497183472264,0.01011272519826889,0.023980969563126564,0.010018859058618546,0.005687568802386522,0.029702970758080482,-1.0,0.009615384973585606,0.012476830743253231,0.0074555641040205956,0.02916666679084301,-1.0
b610204c-e3c8c65f,0.0,80,21323.2,1377.6817702212654,0.0,-1.0,0.11660802406107376,0.21159907467045308,0.01466950960457325,0.038429804146289825,0.010424256324768066,0.010240452364087105,0.04097772389650345,-1.0,0.016153845936059952,0.021540777757763863,0.01678924821317196,0.0416666679084301,-1.0
b610204c-e3c8c65f,0.0,90,31056.8,1663.204244823828,0.0,-1.0,0.11794684782216931,0.23469653384540473,0.02107178419828415,0.054196134209632874,0.015755146741867065,0.014086241833865643,0.05606435611844063,-1.0,0.019432345405220985,0.02669369801878929,0.01735837571322918,0.07916666567325592,-1.0
b610204c-e3c8c65f,0.0,100,68946.25,2459.1436898847533,0.0,-1.0,0.11905022835822235,0.2250943765198611,0.020427733659744263,0.0522070974111557,0.015016501769423485,0.011060915887355804,0.05701320245862007,-1.0,0.019281743094325066,0.027078313753008842,0.017564136534929276,0.07430555671453476,-1.0
b610204c-e3c8c65f,0.02,60,13208.5,1191.2177592698995,0.21451437684911245,-1.0,0.11744017311052077,0.1997173129948076,0.007260726299136877,0.012513751164078712,0.01003850344568491,0.002970297122374177,0.022029703482985497,-1.0,0.005769230891019106,0.006672845222055912,0.0019437877926975489,0.02083333395421505,-1.0
b610204c-e3c8c65f,0.02,70,16517.6,1060.8823403186614,0.21833915033284024,-1.0,0.11702373736818623,0.19750629167862221,0.008462988771498203,0.01832861825823784,0.008663366548717022,0.004070407245308161,0.030940594151616096,-1.0,0.010753012262284756,0.010753012262284756,0.004574906080961227,0.03055555559694767,-1.0
b610204c-e3c8c65f,0.02,80,21347.8,1252.5639544550213,0.22672371948964498,-1.0,0.11815281153419015,0.2120504073347254,0.017971713095903397,0.049917493015527725,0.012745353393256664,0.007524752523750067,0.05629125237464905,-1.0,0.018076922744512558,0.023681649938225746,0.01264775451272726,0.05694444477558136,-1.0
b610204c-e3c8c65f,0.02,90,31008.15,1622.04282542108,0.2737969212278107,-0.999969951923077,0.12006806326564742,0.23322093495598936,0.02200828306376934,0.05121797323226929,0.013522988185286522,0.013121169060468674,0.05918753519654274,-1.0,0.020268768072128296,0.02930259518325329,0.01989755779504776,0.0833333358168602,-1.0
b610204c-e3c8c65f,0.02,100,68936.3,2447.2186682027414,0.453438771264793,-0.9996995192307695,0.13019065950259287,0.2209778527801734,0.019760524854063988,0.05128771811723709,0.014088016003370285,0.010267693549394608,0.05670379474759102,-1.0,0.019281743094325066,0.026174698024988174,0.0163295678794384,0.07430555671453476,-1.0
b610204c-e3c8c65f,0.04,60,13263.6,1245.9512189487998,0.4035942122781065,-1.0,0.1251057940669761,0.19884154124417064,0.008650990203022957,0.016336632892489433,0.011757425963878632,0.0017601760337129235,0.029702970758080482,-1.0,0.008076922968029976,0.009281742386519909,0.0016460905317217112,0.02916666679084301,-1.0
b610204c-e3c8c65f,0.04,70,16368.3,1359.9350756561873,0.40735831176035503,-1.0,0.12522096170197475,0.19961587049694307,0.016171786934137344,0.03069949895143509,0.02240750379860401,0.006479647941887379,0.04108911007642746,-1.0,0.01570821739733219,0.017967253923416138,0.008050958625972271,0.056914251297712326,-1.0
b610204c-e3c8c65f,0.04,80,21254.75,1455.1702262965664,0.4202206222263314,-0.999969951923077,0.1265848238239366,0.2118538831121875,0.017483534291386604,0.04780171066522598,0.01537259016185999,0.010341034270823002,0.04303836449980736,-1.0,0.019377509132027626,0.021787147969007492,0.014889239333570004,0.05981280282139778,-1.0
b610204c-e3c8c65f,0.04,90,30994.7,1646.2429377221333,0.47762400610207106,-0.9999399038461538,0.1321481229330847,0.22880196925144008,0.0185158159583807,0.05173267424106598,0.01021039579063654,0.010162265971302986,0.06286660581827164,-1.0,0.02005097270011902,0.027428174391388893,0.015598459169268608,0.08263888955116272,-1.0
b610204c-e3c8c65f,0.04,100,68983.05,2487.3240334745287,0.6108860715606509,-0.9826923076923079,0.1505550775057049,0.216412163378744,0.018836734816432,0.04124579206109047,0.013898711651563644,0.01342134177684784,0.050433170050382614,-1.0,0.019281743094325066,0.024402223527431488,0.016535330563783646,0.06875000149011612,-1.0
b610204c-e3c8c65f,0.06,60,13087.6,1103.6413547887737,0.5561165171967455,-0.9998197115384617,0.13858416053955966,0.19630262386159977,0.0075157517567276955,0.0137263722717762,0.008363336324691772,0.007854785770177841,0.018564356490969658,-1.0,0.007676089182496071,0.009031510911881924,0.006426757667213678,0.01805555634200573,-1.0
b610204c-e3c8c65f,0.06,70,16178.55,1473.9136499469703,0.5591334596893491,-0.9998497596153847,0.13875739190820197,0.19295853155485962,0.01066281646490097,0.02488998882472515,0.013201320543885231,0.005775577388703823,0.0313737615942955,-1.0,0.011538461782038212,0.01229147333651781,0.005993345752358437,0.03333333507180214,-1.0
b610204c-e3c8c65f,0.06,80,21151.4,1413.6213566581398,0.572766618897929,-0.9999399038461538,0.1411522014822252,0.20919469287813594,0.01107904501259327,0.01886628195643425,0.011881188489496708,0.003366336692124605,0.037809405475854874,-1.0,0.010384615510702133,0.013095458969473839,0.003703703638166189,0.03750000149011612,-1.0
b610204c-e3c8c65f,0.06,90,30811.8,1674.4080924314717,0.6166449010724852,-0.9993990384615385,0.14845580367793526,0.22269891111442486,0.013440647162497044,0.03486102819442749,0.012987936846911907,0.006924144923686981,0.05470297113060951,-1.0,0.015903614461421967,0.021475903689861298,0.008939672261476517,0.0729166641831398,-1.0
b610204c-e3c8c65f,0.06,100,68676.95,2538.7335125018535,0.7014833348742603,-0.9533353365384615,0.1710559155512451,0.21135497677934603,0.011972536332905293,0.02765008620917797,0.011315417475998402,0.0055665564723312855,0.044030528515577316,-1.0,0.012759499251842499,0.01712696999311447,0.006676298100501299,0.06319444626569748,-1.0
b610204c-e3c8c65f,0.08,60,12764.45,1104.2236854460243,0.6761926775147928,-0.996514423076923,0.1589590917680806,0.19715278090509267,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0
b610204c-e3c8c65f,0.08,70,15943.9,1068.319984836004,0.6803624260355028,-0.9969050480769232,0.15960540146078,0.19507648982141967,0.0073196603916585445,0.010749646462500095,0.009900989942252636,0.002970297122374177,0.020792080089449883,-1.0,0.006740036886185408,0.006740036886185408,0.0018518518190830946,0.01944444514811039,-1.0
b610204c-e3c8c65f,0.08,80,20994.5,1287.8587073122578,0.688366193602071,-0.9967548076923076,0.16198057945355845,0.20537232358672858,0.023052973672747612,0.04089539498090744,0.02376609854400158,0.007524752523750067,0.06452145427465439,-1.0,0.022480692714452744,0.02519153617322445,0.007661325857043266,0.0645531415939331,-1.0
b610204c-e3c8c65f,0.08,90,30750.95,1524.5440457723744,0.7172707100591716,-0.9922475961538462,0.17036432621972086,0.2143558258020092,0.011378346011042595,0.023010633885860443,0.014975247904658318,0.010788936167955399,0.02991955354809761,-1.0,0.012191844172775745,0.01535449456423521,0.01113737840205431,0.04791666567325592,-1.0
b610204c-e3c8c65f,0.08,100,68408.95,2639.0638771162776,0.7671482063609467,-0.9100060096153845,0.19368847585902071,0.20598979685265245,0.00933362077921629,0.018217822536826134,0.011816616170108318,0.004117554519325495,0.03207629546523094,-1.0,0.009297961369156837,0.012761816382408142,0.004732510074973106,0.05069444328546524,-1.0
