pruning_thresh,target_sparsity,quality,technique,bandwidth,mAP_drop,frame_id,sparsity,decomposability,regularity,pictoriality,datasize_est,datasize_real,reconstruct_snr,target_cmp,target_snr
0.001,0.0,88,1,19990143.63996445,40,1,0.12060835798816567,-1,-1,-1,32173,32917,13.82986307144165,23.08551028838367,20
0.001,0.0,70,1,19960613.41899106,40,2,0.01977394600591716,-1,-1,-1,4848,5592,13.52313756942749,23.119663558415482,20
0.001,0.0,66,1,19911525.76127576,40,3,0.014018583579881656,-1,-1,-1,6819,7563,13.580684661865234,23.17666020170916,20
0.001,0.0,69,1,19843074.19706966,40,4,0.012608635355029586,-1,-1,-1,6066,6810,13.42094898223877,23.25661145463118,20
0.001,0.0,69,1,19755528.599677473,40,5,0.011741863905325443,-1,-1,-1,3620,4364,13.050214052200317,23.35967191858388,20
0.001,0.0,69,1,19649234.12147018,40,6,0.01190366124260355,-1,-1,-1,5662,6406,13.059096336364746,23.48603837756797,20
0.001,0.0,69,1,19524609.83310657,40,7,0.011314256656804734,-1,-1,-1,6944,7688,13.096238374710083,23.63594820133929,20
0.001,0.0,69,1,19382147.071328767,40,8,0.011545395710059171,-1,-1,-1,12168,12912,13.82405400276184,23.809677275089893,20
0.001,0.0,69,1,19222407.501845464,40,9,0.01030880177514793,-1,-1,-1,7911,8655,13.731832504272461,24.00753738169174,20
0.001,0.0,69,1,19046020.90494016,40,10,0.010031434911242603,-1,-1,-1,7128,7872,13.619763851165771,24.229872946688154,20
0.001,0.0,69,1,18853682.692534678,40,11,0.01055149778106509,-1,-1,-1,4742,5486,13.42625617980957,24.47705703933353,20
0.001,0.0,69,1,18646151.166497033,40,12,0.010840421597633137,-1,-1,-1,12167,12911,13.923277854919434,24.749486505067487,20
0.001,0.0,69,1,18424244.529002976,40,13,0.010089219674556213,-1,-1,-1,8046,8790,13.75156044960022,25.047576085967183,20
0.001,0.0,69,1,18188837.65673787,40,14,0.010655510355029586,-1,-1,-1,4642,5386,13.533241748809814,25.371751366185574,20
0.001,0.0,69,1,17940858.651656874,40,15,0.01055149778106509,-1,-1,-1,4948,5692,13.239383697509766,25.722440359567067,20
0.001,0.0,69,1,17681285.181902118,40,16,0.009915865384615384,-1,-1,-1,7530,8274,13.20142388343811,26.100063537181256,20
0.001,0.0,69,1,17411140.62730304,40,17,0.009765625,-1,-1,-1,7435,8179,13.291510343551636,26.505022074372256,20
0.001,0.0,92,1,17131490.044656344,40,18,0.009927422337278106,-1,-1,-1,32131,32875,23.276376724243164,26.93768408140379,20
0.001,0.0,96,1,16843435.968692716,40,19,0.01086353550295858,-1,-1,-1,32251,32995,29.61766004562378,27.39836857066665,20
