pruning_thresh,jepg_quality,data_size_mean,data_size_std,map
0.02,60,7448.06,3058.702083629591,0.502888993194069
0.02,70,8842.305,3469.323316148986,0.5248234208333831
0.02,80,11167.285,3740.5507300095533,0.5259709544061175
0.02,90,16366.805,4109.085099748483,0.524284730573661
0.02,100,40408.23,6218.824609771528,0.525373612870152
0.04,60,8560.85,2837.23923691676,0.4973880085958642
0.04,70,9828.885,3157.10974496849,0.5124017018739718
0.04,80,11903.87,3655.4910084829917,0.5261296038046102
0.04,90,16760.54,3943.809734051581,0.5234392290121559
0.04,100,40449.24,6021.21981681453,0.5253401199252692
0.06,60,9367.995,2595.1558459897933,0.5060044289912304
0.06,70,11112.17,2844.856787449941,0.5233856671574268
0.06,80,12906.945,3213.586355145136,0.5222070967376735
0.06,90,17194.8,3726.3127794107677,0.5305070458771551
0.06,100,40539.635,5799.076614580548,0.523285339426184
0.08,60,10386.715,2211.6088948489514,0.5185728882063287
0.08,70,11713.27,2590.0101770263373,0.49968788423501376
0.08,80,13582.295,2912.6701182892302,0.5280310425462409
0.08,90,17567.785,3518.0182544687004,0.521115534109486
0.08,100,40422.655,5696.795065295486,0.5273145390562933
0.1,60,10645.37,1853.1230296718022,0.4891177427852593
0.1,70,12113.45,2260.2383784680765,0.5021247871159371
0.1,80,13916.19,2592.7945722521094,0.5173842268007969
0.1,90,17752.315,3237.039894066028,0.5303410036762746
0.1,100,40027.565,5712.92146592048,0.524091811605548
