pruning_thresh,quality,technique,bandwidth,mAP_drop,frame_id,sparsity,decomposability,regularity,pictoriality,datasize_est,datasize_real,reconstruct_snr,target_cmp,target_snr
0.05,83,1,24980287.2799289,20,1,-1,-1,-1,-1,26734,27478,10.354965925216675,18.47387347852711,30
0.05,82,1,24921226.837982114,20,2,-1,-1,-1,-1,21305,22049,13.705716133117676,18.517654434384706,30
0.05,82,1,24823051.52255152,20,3,-1,-1,-1,-1,23458,24202,17.353734970092773,18.59089186707822,30
0.05,82,1,24686148.39413932,20,4,-1,-1,-1,-1,15342,16086,17.46289610862732,18.69399224612237,30
0.05,82,1,24511057.19935495,20,5,-1,-1,-1,-1,6822,7566,16.842646598815918,18.827530078091094,30
0.05,82,1,24298468.24294036,20,6,-1,-1,-1,-1,9987,10731,16.80056929588318,18.99225342324799,30
0.05,82,1,24049219.666213144,20,7,-1,-1,-1,-1,11176,11920,16.761722564697266,19.18909108369141,30
0.05,82,1,23764294.142657533,20,8,-1,-1,-1,-1,14676,15420,17.278883457183838,19.41916153269173,30
0.05,82,1,23444815.00369093,20,9,-1,-1,-1,-1,10446,11190,16.961194276809692,19.68378366790334,30
0.05,82,1,23092041.809880324,20,10,-1,-1,-1,-1,12844,13588,17.008061408996582,19.98448948196575,30
0.05,82,1,22707365.38506935,20,11,-1,-1,-1,-1,13272,14016,17.12174654006958,20.323038751563086,30
0.05,82,1,22292302.332994066,20,12,-1,-1,-1,-1,14983,15727,17.296297550201416,20.701435848716358,30
0.05,82,1,21848489.05800595,20,13,-1,-1,-1,-1,13424,14168,17.142512798309326,21.121948773732957,30
0.05,82,1,21377675.313475743,20,14,-1,-1,-1,-1,9929,10673,16.894949674606323,21.58713049476264,30
0.05,82,1,20881717.30331375,20,15,-1,-1,-1,-1,8752,9496,16.39605164527893,22.09984265007904,30
0.05,82,1,20362570.36380424,20,16,-1,-1,-1,-1,12582,13326,16.483547687530518,22.66328162023108,30
0.06,78,1,19822281.25460608,20,17,-1,-1,-1,-1,10024,10768,16.29526972770691,23.281006900224085,30
0.05,82,1,19262980.089312688,20,18,-1,-1,-1,-1,18024,18768,17.258784770965576,23.956971586276122,30
0.05,82,1,18686871.937385432,20,19,-1,-1,-1,-1,13567,14311,17.18232035636902,24.695554623211855,30
0.05,82,1,18096228.13057024,20,20,-1,-1,-1,-1,7006,7750,16.59879446029663,25.501594218249092,30
0.05,82,1,17493377.308072213,20,21,-1,-1,-1,-1,12322,13066,16.88020944595337,26.38042148977821,30
0.05,82,1,16880696.235793047,20,22,-1,-1,-1,-1,11956,12700,16.81315779685974,27.33789295302644,30
0.05,82,1,16260600.435826892,20,23,-1,-1,-1,-1,9136,9880,16.529419422149658,28.380419806016786,30
0.05,82,1,15635534.663158145,20,24,-1,-1,-1,-1,6822,7566,15.972936153411865,29.51499111533766,30
0.05,81,1,15007963.267107332,20,25,-1,-1,-1,-1,15744,16488,17.121695280075073,30.749186845232316,30
0.05,80,1,14380360.475525454,20,26,-1,-1,-1,-1,6633,7377,16.498647928237915,32.091175144884836,30
0.05,79,1,13755200.640041763,20,27,-1,-1,-1,-1,9489,10233,16.448638439178467,33.5496863145186,30
0.05,78,1,13134948.480823584,20,28,-1,-1,-1,-1,7290,8034,15.973241329193115,35.13395331092543,30
0.05,71,1,12522049.369308548,20,29,-1,-1,-1,-1,6468,7212,15.728490352630615,36.85360543281016,30
0.17,90,1,11918919.687220076,20,30,-1,-1,-1,-1,15634,16378,15.3082275390625,38.71849788210975,30
0.18,93,1,11327937.299876085,20,31,-1,-1,-1,-1,15875,16619,14.930791854858398,40.7384552412481,30
0.05,60,1,10751432.18135031,20,32,-1,-1,-1,-1,4099,4843,14.507977962493896,42.92290170114875,30
0.05,60,1,10191677.228446962,20,33,-1,-1,-1,-1,5379,6123,14.076546430587769,45.28034555279856,30
0.19,93,1,9650879.299705038,20,34,-1,-1,-1,-1,14894,15638,14.112147092819214,47.817680890566216,30
0.07,62,1,9131170.514761407,20,35,-1,-1,-1,-1,5551,6295,14.084006547927856,50.53926721887802,30
0.19,92,1,8634599.84837528,20,36,-1,-1,-1,-1,13019,13763,13.945519924163818,53.445750210822,30
0.19,91,1,8163125.0522550605,20,37,-1,-1,-1,-1,9014,9758,13.653290271759033,56.53259795881508,30
0.2,93,1,7718604.936536042,20,38,-1,-1,-1,-1,8324,9068,13.360841274261475,59.78835171136134,30
