video_name,jepg_quality,data_size_mean,data_size_std,map,map_50,map_75,map_small,map_medium,map_large,mar_1,mar_100,mar_small,mar_medium,mar_large
b4fe0b47-a7819060,60,28697.65,65.61179390932699,0.1342342495918274,0.21782177686691284,0.20874562859535217,0.12253411114215851,0.5629933476448059,0.0,0.03177521005272865,0.14364495873451233,0.12735618650913239,0.6539999842643738,0.0
b4fe0b47-a7819060,70,34019.11,86.63196811801058,0.17690825462341309,0.27227723598480225,0.25339841842651367,0.171846404671669,0.5985218286514282,0.0,0.035451680421829224,0.18928571045398712,0.17962056398391724,0.6690000295639038,0.0
b4fe0b47-a7819060,80,42731.12,125.51424460992466,0.19160185754299164,0.301980197429657,0.28816959261894226,0.19316035509109497,0.5187229514122009,0.0,0.03177521005272865,0.20446428656578064,0.2039167732000351,0.5609999895095825,0.0
b4fe0b47-a7819060,90,63035.46,180.17638136004396,0.25534963607788086,0.3861386179924011,0.37259364128112793,0.25136831402778625,0.7555544376373291,0.0,0.03251050412654877,0.2731092572212219,0.26725825667381287,0.8330000042915344,0.0
b4fe0b47-a7819060,100,208968.44,1997.6196801193164,0.27698421478271484,0.4207920730113983,0.3753504157066345,0.2818489074707031,0.6677600145339966,0.0,0.03534663841128349,0.29758402705192566,0.2989596128463745,0.781000018119812,0.0
b5fa32f1-4e9c7d32,60,25151.36,1198.4658903781951,0.129613995552063,0.20200251042842865,0.16138620674610138,0.08326397091150284,0.3019644021987915,0.19021236896514893,0.09781616926193237,0.15261103212833405,0.09029804915189743,0.3337140679359436,0.2075694501399994
b5fa32f1-4e9c7d32,70,29652.45,1396.1122259689585,0.14953188598155975,0.22168728709220886,0.18141908943653107,0.10079019516706467,0.3274432122707367,0.19447320699691772,0.1147562712430954,0.17184969782829285,0.10753203183412552,0.3532353937625885,0.2091224491596222
b5fa32f1-4e9c7d32,80,37038.2,1713.0218153894014,0.1611483246088028,0.2448817491531372,0.19673754274845123,0.12716364860534668,0.33226820826530457,0.1938091665506363,0.1308886855840683,0.19084914028644562,0.13754874467849731,0.3657810389995575,0.2165379673242569
b5fa32f1-4e9c7d32,90,54470.93,2422.104742801186,0.18512102961540222,0.2777261435985565,0.22379402816295624,0.15515384078025818,0.3331468105316162,0.21087972819805145,0.15090139210224152,0.21414904296398163,0.1665375977754593,0.3650319278240204,0.23446859419345856
b5fa32f1-4e9c7d32,100,174196.62,6903.742875831921,0.22201919555664062,0.32785946130752563,0.26889634132385254,0.1957850307226181,0.37148812413215637,0.2315787374973297,0.19006462395191193,0.2549421787261963,0.213130921125412,0.4081028401851654,0.2558683753013611
b4c0a877-66fc6239,60,15978.02,179.84076178664282,0.0847480520606041,0.16130253672599792,0.0769086480140686,0.06220536306500435,0.24808157980442047,0.3550585210323334,0.03518197685480118,0.09716926515102386,0.0791044756770134,0.27590757608413696,0.37714284658432007
b4c0a877-66fc6239,70,18819.03,238.92678606635965,0.09397319704294205,0.17745059728622437,0.07880004495382309,0.07386930286884308,0.25155970454216003,0.4463803172111511,0.035586364567279816,0.11028307676315308,0.09303482621908188,0.2851485013961792,0.47928571701049805
b4c0a877-66fc6239,80,23894.16,340.56296686515986,0.11245112121105194,0.2045067846775055,0.10613252222537994,0.08891261368989944,0.29583239555358887,0.52656090259552,0.03662622720003128,0.12767186760902405,0.10845771431922913,0.3277227580547333,0.5578571557998657
b4c0a877-66fc6239,90,36612.07,604.6284355701442,0.1245783269405365,0.22053442895412445,0.128285214304924,0.11209934204816818,0.3181953728199005,0.5792237520217896,0.036799538880586624,0.1414211392402649,0.1313432902097702,0.35181519389152527,0.6100000143051147
b4c0a877-66fc6239,100,148720.47,3458.736400638245,0.14284254610538483,0.23964287340641022,0.16348037123680115,0.14314629137516022,0.3815174102783203,0.5754590630531311,0.03991912305355072,0.15817447006702423,0.15970149636268616,0.41056105494499207,0.6085714101791382
b49a1b50-186fb520,60,15966.24,1060.5508202816118,0.04412505775690079,0.0666658878326416,0.059283193200826645,0.10517615079879761,0.2222425937652588,0.04278235137462616,0.04747380316257477,0.050809986889362335,0.12187500298023224,0.2430555522441864,0.04468468576669693
b49a1b50-186fb520,70,18928.09,1262.3564955669217,0.04438208043575287,0.07190735638141632,0.056016579270362854,0.08301333338022232,0.22061768174171448,0.047546375542879105,0.04644995555281639,0.051069289445877075,0.10781250149011612,0.24166665971279144,0.051531530916690826
b49a1b50-186fb520,80,24156.77,1587.9269999278933,0.04780348762869835,0.0776011198759079,0.059507712721824646,0.10146753489971161,0.21729327738285065,0.0510384663939476,0.04739093407988548,0.05431993305683136,0.12890625,0.23749999701976776,0.054054055362939835
b49a1b50-186fb520,90,37383.09,2288.958580206291,0.04999207332730293,0.08044463396072388,0.06319884210824966,0.10904309898614883,0.22942274808883667,0.05070168152451515,0.04841744899749756,0.05637296661734581,0.13984374701976776,0.24722221493721008,0.05459459498524666
b49a1b50-186fb520,100,156292.3,6229.292344239433,0.050671953707933426,0.08024907857179642,0.0654984638094902,0.11748162657022476,0.22930406033992767,0.051357485353946686,0.048930708318948746,0.057570572942495346,0.14609375596046448,0.25138887763023376,0.05513513460755348
b610204c-e3c8c65f,60,30060.95,1066.7542676268044,0.165440171957016,0.2545270621776581,0.18356116116046906,0.13708274066448212,0.2362523227930069,0.6032050848007202,0.11082154512405396,0.17858587205410004,0.1683913916349411,0.2485252469778061,0.635768473148346
b610204c-e3c8c65f,70,35591.99,1267.4240055719317,0.17369812726974487,0.26005515456199646,0.18709298968315125,0.156111478805542,0.23514121770858765,0.6104605793952942,0.11384278535842896,0.18749263882637024,0.1922333836555481,0.2478114515542984,0.6370335221290588
b610204c-e3c8c65f,80,44613.17,1582.118137529559,0.17644202709197998,0.26569581031799316,0.192641019821167,0.1585710495710373,0.24131885170936584,0.6240310072898865,0.11574362218379974,0.1898069977760315,0.19317620992660522,0.2558181881904602,0.649304211139679
b610204c-e3c8c65f,90,65208.41,1982.3688208554934,0.18007893860340118,0.27192240953445435,0.18989267945289612,0.17366597056388855,0.2478707730770111,0.6180943250656128,0.11668901145458221,0.19620923697948456,0.21352913975715637,0.2630942761898041,0.6440069675445557
b610204c-e3c8c65f,100,197080.45,4656.404295967007,0.18945568799972534,0.28772106766700745,0.20182248950004578,0.1977008730173111,0.24030263721942902,0.6326664090156555,0.11920049786567688,0.2053602784872055,0.24136726558208466,0.25402358174324036,0.6598513722419739
b4d2dede-18dc0cd0,60,16438.99,443.1225450143561,0.03784850612282753,0.08822927623987198,0.01551915518939495,0.005291033536195755,0.020462045446038246,0.18308062851428986,0.03944716602563858,0.04588744416832924,0.0117647061124444,0.019191918894648552,0.21128472685813904
b4d2dede-18dc0cd0,70,19224.04,539.1603086281482,0.0657629668712616,0.1397710144519806,0.023465637117624283,0.008623574860394001,0.02541254088282585,0.2834097146987915,0.077386274933815,0.08445106446743011,0.017794117331504822,0.02390572428703308,0.35407987236976624
b4d2dede-18dc0cd0,80,24177.65,684.9073714744206,0.06484086811542511,0.1384917050600052,0.027689918875694275,0.00888123083859682,0.028008799999952316,0.2800784409046173,0.06993471086025238,0.07750692218542099,0.019411765038967133,0.027609428390860558,0.32934027910232544
b4d2dede-18dc0cd0,90,36926.48,1053.581980483721,0.10297863185405731,0.18487179279327393,0.1279323697090149,0.009889212436974049,0.035973597317934036,0.4224831461906433,0.10937477648258209,0.11843020468950272,0.022058824077248573,0.03569023683667183,0.4776041805744171
b4d2dede-18dc0cd0,100,143734.09,3235.124869599317,0.1111854761838913,0.20092056691646576,0.12337380647659302,0.020217645913362503,0.053487349301576614,0.43733373284339905,0.11501313000917435,0.13191398978233337,0.03999999910593033,0.05420875549316406,0.5078125
b69d5b1d-03bd6daa,60,16558.79,400.13048609172483,0.12783397734165192,0.18810153007507324,0.15599115192890167,0.26846253871917725,0.12794804573059082,0.463218092918396,0.04036381468176842,0.13166174292564392,0.27848100662231445,0.13501682877540588,0.47549667954444885
b69d5b1d-03bd6daa,70,19522.73,500.15455321330427,0.12934203445911407,0.19140230119228363,0.15219594538211823,0.2935786843299866,0.1292572170495987,0.4609365165233612,0.04085545614361763,0.13436578214168549,0.31012657284736633,0.13703703880310059,0.47317880392074585
b69d5b1d-03bd6daa,80,24683.84,668.6715743920928,0.12936697900295258,0.19140243530273438,0.1550559550523758,0.30671191215515137,0.1358737051486969,0.4471432566642761,0.0397738441824913,0.1349557489156723,0.31708860397338867,0.14377103745937347,0.4602648913860321
b69d5b1d-03bd6daa,90,37672.45,1045.2698634802402,0.13264630734920502,0.19471947848796844,0.17179612815380096,0.31297796964645386,0.14031389355659485,0.4591667652130127,0.0396755151450634,0.13726647198200226,0.3284810185432434,0.145454540848732,0.46655628085136414
b69d5b1d-03bd6daa,100,153560.71,3894.6539545767096,0.13400785624980927,0.1946861296892166,0.16597190499305725,0.32066038250923157,0.1421298235654831,0.45713111758232117,0.0396263524889946,0.1385447382926941,0.3367088735103607,0.14663299918174744,0.46854305267333984
b607dd6a-1d8f33b9,60,24402.69,920.0212355701362,0.10242146998643875,0.1628650426864624,0.12053842842578888,0.07408620417118073,0.14629824459552765,0.7803075313568115,0.04878176003694534,0.12261199206113815,0.0856742113828659,0.1808306872844696,0.8025640845298767
b607dd6a-1d8f33b9,70,29006.67,1100.1641700673586,0.10452696681022644,0.16336998343467712,0.12348973006010056,0.09123693406581879,0.14044536650180817,0.8080847263336182,0.04248761013150215,0.13080109655857086,0.10286670923233032,0.18657216429710388,0.8333333134651184
b607dd6a-1d8f33b9,80,36736.38,1403.6282825591682,0.11363314092159271,0.17553390562534332,0.13627919554710388,0.11867298930883408,0.15696586668491364,0.80342698097229,0.051867980509996414,0.14347770810127258,0.13360807299613953,0.21351198852062225,0.8358974456787109
b607dd6a-1d8f33b9,90,55068.61,2067.9652748293433,0.1296374648809433,0.22707903385162354,0.15336692333221436,0.1878742277622223,0.15572652220726013,0.8100002408027649,0.062269434332847595,0.15806739032268524,0.204213485121727,0.19544726610183716,0.8333333134651184
b607dd6a-1d8f33b9,100,192546.45,7632.395516972374,0.15006347000598907,0.2533165216445923,0.17847710847854614,0.26583415269851685,0.16018344461917877,0.8299660682678223,0.08054441958665848,0.1863725781440735,0.28595486283302307,0.20600321888923645,0.8512820601463318
b5f9cb1e-c84e2ce9,60,29455.02,335.28417737793717,0.09435106813907623,0.1641712486743927,0.09145019948482513,0.05285778269171715,0.26770079135894775,0.27508264780044556,0.07923334091901779,0.1134038195014,0.06037444621324539,0.3272719085216522,0.28717949986457825
b5f9cb1e-c84e2ce9,70,35079.08,411.79426125190236,0.09787077456712723,0.17012885212898254,0.0979234129190445,0.0639767050743103,0.26596319675445557,0.23413796722888947,0.07953029125928879,0.11706320941448212,0.0722602978348732,0.3216414749622345,0.24876374006271362
b5f9cb1e-c84e2ce9,80,44288.84,536.5386420380177,0.10977599024772644,0.19009046256542206,0.10880634188652039,0.07846598327159882,0.2732449769973755,0.2707715630531311,0.08427844941616058,0.1288212388753891,0.08877871185541153,0.32192349433898926,0.2863324284553528
b5f9cb1e-c84e2ce9,90,65367.75,1018.5903236826865,0.12144667655229568,0.21361863613128662,0.12046975642442703,0.09052391350269318,0.29124578833580017,0.2740754187107086,0.09016948938369751,0.14336428046226501,0.10247945785522461,0.34498679637908936,0.2917582392692566
b5f9cb1e-c84e2ce9,100,209827.04,6397.476231952723,0.13224510848522186,0.23362486064434052,0.1288878470659256,0.09959109872579575,0.30561041831970215,0.3112424314022064,0.09806957840919495,0.15261653065681458,0.11286666244268417,0.3483802080154419,0.34031593799591064
