frame_id,overall_time
1,1416.2891845703125
2,32.640926361083984
3,31.573888778686523
4,33.7210578918457
5,35.43088150024414
6,32.290016174316406
7,32.44790267944336
8,28.805503845214844
9,32.821441650390625
10,35.96486282348633
11,34.77439880371094
12,35.870975494384766
13,38.22041702270508
14,34.09008026123047
15,34.30464172363281
16,30.623743057250977
17,34.138240814208984
18,34.769569396972656
19,30.393888473510742
20,34.613216400146484
21,35.7891845703125
22,35.94668960571289
23,34.74736022949219
24,33.275936126708984
25,34.54304122924805
26,36.86966323852539
27,37.30940628051758
28,36.250526428222656
29,34.291358947753906
30,37.18636703491211
31,38.14495849609375
32,41.70140838623047
33,37.03392028808594
34,43.43414306640625
35,39.983360290527344
36,40.258209228515625
37,34.51500701904297
38,32.042945861816406
39,40.254207611083984
40,38.039710998535156
41,35.159969329833984
42,40.15955352783203
43,38.461856842041016
44,47.286720275878906
45,39.052894592285156
46,42.197696685791016
47,42.88652801513672
48,43.77475357055664
49,37.761024475097656
50,39.62646484375
51,43.56790542602539
52,36.4167366027832
53,37.054622650146484
54,39.3355827331543
55,36.31513595581055
56,35.37865447998047
57,40.3856315612793
58,35.26998519897461
59,37.513694763183594
60,36.56038284301758
61,39.46460723876953
62,35.340545654296875
63,35.70582580566406
64,36.07727813720703
65,37.68463897705078
66,41.40028762817383
67,40.48515319824219
68,43.937984466552734
69,37.74060821533203
70,33.83603286743164
71,42.93926239013672
72,44.238624572753906
73,43.456703186035156
74,43.67113494873047
75,38.972225189208984
76,38.25900650024414
77,39.08777618408203
78,42.74390411376953
79,39.943809509277344
80,41.093505859375
81,39.87382507324219
82,39.29283142089844
83,40.08278274536133
84,40.69007873535156
85,37.296958923339844
86,43.56399917602539
87,40.739105224609375
88,40.558494567871094
89,38.342559814453125
90,41.89382553100586
91,40.801185607910156
92,41.6545295715332
93,38.97078323364258
94,41.367774963378906
95,40.08816146850586
96,40.54729461669922
97,37.33385467529297
98,39.20537567138672
99,40.045310974121094
100,40.1162223815918
101,39.281185150146484
102,40.071712493896484
103,39.660865783691406
104,39.88828659057617
105,38.40591812133789
106,40.3070068359375
107,40.91948699951172
108,40.90003204345703
109,40.392608642578125
110,41.09177780151367
111,43.671390533447266
112,44.3185920715332
113,44.33135986328125
114,45.24448013305664
115,45.735233306884766
116,42.9892463684082
117,38.485599517822266
118,41.284767150878906
119,40.78246307373047
120,43.384639739990234
121,37.586814880371094
122,43.0618896484375
123,43.001312255859375
124,42.62828826904297
125,37.65977478027344
126,38.59270477294922
127,40.18524932861328
128,40.22496032714844
129,37.02880096435547
130,39.58278274536133
131,38.93772888183594
132,39.20774459838867
133,37.54716873168945
134,40.07561492919922
135,40.48409652709961
136,38.32387161254883
137,37.797664642333984
138,40.56816101074219
139,40.27356719970703
140,40.189247131347656
141,38.03919982910156
142,40.6192626953125
143,42.54435348510742
144,41.189537048339844
145,39.593055725097656
146,39.74729537963867
147,39.83875274658203
148,41.68675231933594
149,33.00038528442383
150,36.44406509399414
151,41.53046417236328
152,36.672096252441406
153,38.1165771484375
154,36.185760498046875
155,35.681983947753906
156,35.76393508911133
157,34.08563232421875
158,35.51830291748047
159,35.567264556884766
160,42.2011833190918
161,41.30598449707031
162,40.46003341674805
163,39.43929672241211
164,36.00124740600586
165,38.64934539794922
166,40.66342544555664
167,40.24012756347656
168,38.6446418762207
169,38.07244873046875
170,40.448158264160156
171,40.646305084228516
172,40.424190521240234
173,32.83929443359375
174,34.9134407043457
175,34.866878509521484
176,42.36102294921875
177,39.14585494995117
178,34.91532897949219
179,40.48387145996094
180,34.38896179199219
181,33.60790252685547
182,35.60460662841797
183,35.24291229248047
184,35.38444900512695
185,33.83804702758789
186,34.586368560791016
187,34.03801727294922
188,38.93916702270508
189,37.49110412597656
190,40.83590316772461
191,36.83427047729492
192,36.556190490722656
193,34.67948913574219
194,30.346336364746094
195,29.90403175354004
196,29.729055404663086
197,29.898880004882812
198,30.36739158630371
199,31.0645751953125
200,31.6977596282959
