pruning_thresh,jepg_quality,head_time_mean,head_time_std,tail_time_mean,tail_time_std,framework_time_mean,framework_time_std,jpeg_time_mean,jpeg_time_std,encode_time_mean,encode_time_std,decode_time_mean,decode_time_std,request_time_mean,request_time_std
0.02,60,21.123059817722865,49.652275538314804,4.79089677901495,1.136270864204498,8.512964242980594,30.901036974960434,5.572405417760213,6.1427745748840135,16.363707519712904,37.0970200083365,0.4351375273295811,0.05713109862926036,18.31594367254348,1.663425959247343
0.02,70,9.968134153456916,0.10459127972030571,4.555085704440162,0.10163600592346406,1.4367573431559972,0.2715144398111166,4.555821713947115,0.373068756953131,8.018029757908412,0.6496976835821217,0.47331961563655306,0.06321688167691746,17.533633640834264,0.8751079695061099
0.02,80,10.062730652945381,0.3354524348112772,4.563318842933292,0.09399947210833795,1.9194316069285076,0.9775569075836557,4.485473541986375,0.4385130105251997,8.81178347269694,1.5338790541719713,0.4852891450836545,0.07921402055086162,17.93071683247884,1.2275522744216651
0.02,90,9.969708215622674,0.10111974547819379,4.626750446501232,0.26550100482863165,1.7106941030139016,0.3644793005266093,4.75428269022987,0.5097617916744223,8.777990182240805,0.8311393008780956,0.5823375227905455,0.11346819948757829,18.335254850841704,1.943956960318888
0.02,100,9.964065506344749,0.08844032724723724,4.864702429090228,1.4386051051150135,1.6473965815135412,0.14598747779711208,6.263480390821185,0.8785412162910662,10.299184662955147,1.2547047327254341,0.8178864774249849,0.036223420432481335,18.61320077805292,1.6821763894904835
0.04,60,10.039547329857236,0.3139550296206536,4.600699402037121,0.2501232355256186,1.7057660931632632,0.14522685713618289,4.354877006439936,0.353913222915911,8.42513370513916,0.49326852164487406,0.45061637674059185,0.12660014008804735,18.023422513689315,0.7311973326660396
0.04,70,10.030375616891044,0.3227069350371975,4.553781305040632,0.05449569893010509,1.7245165677297682,0.46566781647321354,4.499724172410511,0.664651817917253,8.372612567175002,0.9705018591236871,0.4630689521630605,0.055768471257543376,17.950771831330798,0.9124123917949438
0.04,80,9.982918058122907,0.10572527651756068,4.536254519507999,0.04610589886685837,1.635597722870963,0.16856818565595993,4.5154483658926825,0.4798951530049564,8.45529892331078,0.8768464300223818,0.47475657150858924,0.07178484479007703,17.70112605321975,0.9448596776659719
0.04,90,9.98923583257766,0.11770796156479058,4.5613897414434526,0.0893402476007957,1.5553112370627267,0.30648123635119695,5.242540200551351,0.6545001571615726,9.076475370497931,0.9669347537147777,0.5718735257784525,0.06335490479155424,18.05512083144415,2.0061549332856266
0.04,100,9.951611382620674,0.0703311528386554,4.559859843481155,0.116848949932113,1.6204967669078283,0.17386700988170398,6.085086527324858,0.5517286926132902,9.988856474558512,0.9405230521679498,0.8490758055732364,0.11632296438803344,17.92368153163365,0.696747203908235
0.06,60,9.957412538074312,0.09346870175512402,4.550695646376837,0.04181472707021649,1.6207451536541893,0.21545932477028992,4.249147415161133,0.47881730078796586,8.125212896437873,0.7398798566541165,0.43585523679142907,0.04374269913737982,17.493197940644762,1.1061333433559664
0.06,70,9.978061766851516,0.10595560805034594,4.549598466782343,0.058772069649833794,1.7006430569149198,0.20197146477788622,4.583197048732212,0.3657248615788237,8.568478538876487,0.6505029109994137,0.4717668536163512,0.05209680090165387,18.082809766133625,0.7849609090252587
0.06,80,9.967207636151995,0.08468148319600578,4.57620264234997,0.07925886864296759,1.665564945765904,0.1728126082399392,4.614290339606149,0.3512060657060069,8.515460604713077,0.6427774272705057,0.4924937117667425,0.06538541054041701,17.7127556573777,0.655480210610267
0.06,90,10.035015651157924,0.3364544279041874,4.5722331546601795,0.21176101963036933,1.6794361897877284,0.23555270105609444,4.87518478575207,0.4666875499980317,8.784999552227202,0.7320670671204148,0.6102567584741683,0.10456087374815828,17.70932133992513,0.7914307803069572
0.06,100,9.97319780077253,0.09211195017572246,4.558832758948917,0.06052952014503139,1.7191268603007,0.10325831244275188,6.486427420661563,0.483637734070554,10.635052226838612,0.582870334705057,0.8398918112119039,0.044201783544065974,18.512239274524507,0.9338806337245898
0.08,60,9.987858318147206,0.19429935287089556,4.58944000516619,0.24111707517180297,1.5766689550308954,0.2668616466713664,4.833939768019176,0.6429949947906066,8.863193875267392,0.7270772660926413,0.4826133307956514,0.09272379028610239,18.268633706229075,1.0425426650125733
0.08,70,10.088313874744234,0.5882271922178631,4.611110006059919,0.25287809513447523,1.5138072343099684,0.3227470207420401,4.0857493082682295,0.5570832282385274,7.621531441098168,1.2242126305994159,0.5284830544676099,0.10998710396268596,17.90567765917097,2.2327261712914273
0.08,80,9.977062134515672,0.08400812836732556,4.612204211098807,0.2473424022221962,1.5730072259902954,0.14819352703752658,4.442101387750535,0.33132643692413266,8.197830063956124,0.46018264145045323,0.54823009456907,0.12981984486610063,18.144973754882812,1.0088322345218743
0.08,90,9.983040128435407,0.10985994629827672,4.58672300974528,0.25937751827026695,1.6553767635708763,0.16328570647268642,4.8121112414768765,0.2866867427946308,8.71820338567098,0.41710605000686446,0.6046826725914365,0.11529074467176327,18.86988794235956,1.8448742942072107
0.08,100,10.041886556716193,0.4070443679885984,4.584725379943848,0.23421790080661464,1.631658667609805,0.34747797735857816,5.789500963120234,0.7330477236495718,9.682084537687755,1.1013742104715796,0.8753600007011777,0.15125975691126012,18.278919583275204,1.1520010273825336
0.1,60,10.030831109909784,0.34015949279746793,4.6033219155811125,0.23237327866353527,1.6886461008162725,0.39653384672075026,4.541695969445365,0.6504188446666607,8.596615632375082,1.3379381293899548,0.48702324004400344,0.10772831312248757,18.169546672276088,1.503618426368667
