pruning_thresh,jepg_quality,data_size_mean,data_size_std,map
0.02,60,7691.285714285715,3320.8661684632125,0.9455189848939849
0.02,70,10053.952380952382,3431.937485225267,0.9704219615509938
0.02,80,11866.714285714286,4096.094994513876,0.961884236453202
0.02,90,17500.904761904763,4631.11033590333,0.9728896103896104
0.02,100,41884.28571428572,6736.222504687108,0.9722214692328545
0.04,60,8025.714285714285,3148.334754737996,0.9522504456327985
0.04,70,9964.47619047619,3552.771173512005,0.9736290322580644
0.04,80,12072.761904761905,4329.981204234603,0.9673809523809525
0.04,90,17817.904761904763,4579.774291639084,0.9744047619047619
0.04,100,42027.19047619047,6960.005641890486,0.9733630952380952
0.06,60,9206.761904761905,2795.7139458678853,0.9446764442454099
0.06,70,10982.761904761905,3333.5437586642993,0.9678571428571429
0.06,80,13255.142857142857,4005.400726468181,0.9599134199134199
0.06,90,18091.95238095238,4721.84059629082,0.9712053571428572
0.06,100,42298.666666666664,7442.517951628833,0.9717174369747898
0.08,60,9785.095238095239,2467.7599231993277,0.9645551218198949
0.08,70,11756.57142857143,3045.169876744365,0.9660448137275901
0.08,80,13828.809523809523,3669.830443975354,0.9726388888888888
0.08,90,18364.380952380954,4775.085483913855,0.9762566137566138
0.08,100,42603.52380952381,8088.307525705576,0.9696902056277056
0.1,60,10057.47619047619,2372.0085043420904,0.9531799083269672
0.1,70,11993.666666666666,2525.2809430377924,0.9721040795391778
0.1,80,14202.904761904761,3581.5798443432604,0.9640501165501165
0.1,90,18634.04761904762,4864.214383552702,0.9773182957393483
0.1,100,42659.80952380953,8873.327585517696,0.9712439521263051
