video_name,jepg_quality,model_time_mean,model_time_std,encode_time_mean,encode_time_std,decode_time_mean,decode_time_std,request_time_mean,request_time_std
b4fe0b47-a7819060,60,12.943157725334167,23.669711642884813,4.614265615940094,0.3987179885472277,5.378266904354096,1.239178039845522,131.61746768951417,50.19112010020294
b4fe0b47-a7819060,70,9.141580801010132,2.1485537697316084,4.753457922935485,0.5141014726416605,5.327023673057556,1.1841759946066046,125.17842895507812,42.810470656125815
b4fe0b47-a7819060,80,9.287640290260315,2.332518533045724,5.021103358268737,0.5132663373002685,5.527163836956024,2.263342257438518,128.4183399963379,46.67140292530847
b4fe0b47-a7819060,90,10.102320308685302,1.983890798964149,5.605469117164612,0.6028477077183341,5.596763215065002,2.036889538747595,135.03119087219238,48.57561447719835
b4fe0b47-a7819060,100,10.297655396461487,2.6099173203120194,8.94478883266449,0.7413983500503584,8.370821743011474,2.522470232731923,139.55951278686524,44.82566548951
b5fa32f1-4e9c7d32,60,9.863202233314514,1.519815758459865,4.5726892852783205,0.47665982811898844,4.913550720214844,1.1129056916049465,137.8553594970703,45.034327270538
b5fa32f1-4e9c7d32,70,10.40523356437683,2.6698763090617113,4.636185266971588,0.5227018349277849,5.298637416362762,1.25811788002831,134.7883786010742,42.092553145408324
b5fa32f1-4e9c7d32,80,10.401164445877075,1.4333583271340677,4.821845426559448,0.5532594808274869,5.898757445812225,2.0134816140273935,136.51170295715332,43.25563924512628
b5fa32f1-4e9c7d32,90,10.589192600250245,2.911712472111968,5.2050563335418705,0.5297545470307172,5.676179835796356,1.4818479602373382,134.95975280761718,38.31037954705181
b5fa32f1-4e9c7d32,100,10.230453119277954,2.612142841078032,8.401908793449401,0.9112292382929427,7.392242245674133,2.360854383152013,139.02556594848633,45.6145011917568
b4c0a877-66fc6239,60,9.811761889457703,1.8594332716904691,4.474765429496765,0.4529703054709652,5.133174395561218,1.1517350592270004,134.03667530059815,45.06989375662021
b4c0a877-66fc6239,70,9.647762908935547,1.812299089531017,4.55315808057785,0.5390523079744065,4.9629401683807375,1.506510723301747,135.47152923583985,46.370182640493496
b4c0a877-66fc6239,80,10.322000970840454,3.3325721143880576,4.563495678901672,0.5570836090915124,5.262788186073303,1.2005694403818221,134.85828071594239,44.4521570200133
b4c0a877-66fc6239,90,10.160924830436706,2.454929731677727,4.856051197052002,0.630316994245941,5.707348470687866,1.4850337621954521,135.32943969726563,43.74653823721929
b4c0a877-66fc6239,100,10.781730217933655,2.85919307989028,7.992638082504272,0.7459680884260863,8.024575366973878,2.234343099747978,139.33386199951173,42.38055475089832
b49a1b50-186fb520,60,9.108536353111267,1.90561564684333,4.40659839630127,0.5094820356149787,5.468195512294769,1.8481152604560782,127.06856647491455,42.339531614833064
b49a1b50-186fb520,70,9.248487367630005,3.5250037015160034,4.50265118598938,0.5062848379106444,5.302459833621978,1.1856759204132963,131.03479400634765,42.600540750425615
b49a1b50-186fb520,80,9.07382655620575,1.7189744788800858,4.6927398633956905,0.5652956143749549,5.397058577537536,1.5154937685255947,129.79324016571044,41.417298999810605
b49a1b50-186fb520,90,8.90813600063324,1.631246812746987,5.0457785701751705,0.47849176470987703,5.726565759181977,1.470548553734544,127.6580078125,42.6688840244664
b49a1b50-186fb520,100,8.954057631492615,1.6505307684171042,8.566535987854003,0.6550206347548913,8.02680191040039,2.621113395818047,133.25148864746095,45.327487503391886
b610204c-e3c8c65f,60,10.647123494148254,3.076361939208018,4.71071391582489,0.45970893823344294,5.418125743865967,1.4611460700343843,138.40314788818358,46.33691104009996
b610204c-e3c8c65f,70,10.196679363250732,1.9159946971174053,4.780196144580841,0.5337764264867908,5.388225276470184,1.4191600255094188,140.27556617736818,50.82075346833354
b610204c-e3c8c65f,80,10.843458852767945,3.2018822492160828,5.037972166538238,0.5593726256095866,5.745353920459747,1.6637664345807377,139.91303253173828,45.18321648121135
b610204c-e3c8c65f,90,10.764272961616516,2.0052554133641602,5.326902074813843,0.6422512682163976,5.878614106178284,1.6758464228819994,143.2963205718994,49.369077636021196
b610204c-e3c8c65f,100,10.757315225601197,3.655220605681788,8.45557569026947,1.0762427425676158,8.139894380569459,2.7546481160672673,139.5926075744629,45.020819321905385
b4d2dede-18dc0cd0,60,8.322888312339783,1.1636656877519462,4.3406863784790035,0.4948894036990068,5.487023351192474,2.1045209973684145,123.50934799194336,43.093215689058994
b4d2dede-18dc0cd0,70,8.50255006313324,1.4783817339896794,4.582796807289124,0.5144120900041561,5.414868466854095,1.3069505943395385,122.75685768127441,39.321650017741185
b4d2dede-18dc0cd0,80,8.749011225700379,1.4390811432600181,4.659230070114136,0.6041534528122909,5.714563217163086,1.326250737829069,128.80123859405518,36.48620693293869
b4d2dede-18dc0cd0,90,8.537387223243714,1.4863351624524455,5.019221439361572,0.4351344482970376,5.835024971961975,2.52785909426463,126.38722518920899,42.227419358110986
b4d2dede-18dc0cd0,100,8.402661771774293,1.2572870606438957,7.9411459112167355,0.6483397559545749,8.35577564239502,2.5635171728921553,126.80174507141113,41.42564103986155
b69d5b1d-03bd6daa,60,10.112601013183594,4.151786338180406,4.546036803722382,0.5375453001079025,5.19280127286911,1.187909471699725,135.88425285339355,46.04120185164246
b69d5b1d-03bd6daa,70,9.400122871398926,1.9852748841230303,4.860942709445953,0.5226636030823416,5.5260275149345395,1.2778122629338111,130.8934120941162,44.330237645171756
b69d5b1d-03bd6daa,80,9.729061093330383,3.018245358241271,4.696245784759522,0.48421563680968327,5.411254410743713,1.3580158055105604,133.44783729553222,48.094598445555285
b69d5b1d-03bd6daa,90,9.803418216705323,3.6404723092897058,5.222446074485779,0.6058975311785247,5.60559134721756,2.175983414632473,140.19249282836915,51.388822181723405
b69d5b1d-03bd6daa,100,9.975508785247802,2.7782209537333857,8.212650566101074,0.8466831894740212,8.254313607215881,3.405568543465304,136.03447418212892,43.15816427492913
b607dd6a-1d8f33b9,60,10.726897902488709,2.2226132707569852,4.67487455368042,0.4184934331398374,5.733564455509185,2.9424182548701716,146.2085262298584,50.26566352992389
b607dd6a-1d8f33b9,70,11.032599029541016,2.906839493284823,4.777808005809784,0.5590312897378615,5.546274566650391,1.4492029376469056,142.93858779907225,48.27926165543158
b607dd6a-1d8f33b9,80,10.771900143623352,2.262760563379936,5.099489598274231,0.5505987999158114,5.732410883903503,1.535045598562583,142.69949737548828,45.68237272516747
b607dd6a-1d8f33b9,90,11.1011923122406,3.446545030394528,5.295802886486054,0.712897257676485,6.086730217933654,1.844082490422535,139.80725440979003,46.46061204561811
b607dd6a-1d8f33b9,100,10.787121963500976,2.173200270491106,8.77655520439148,1.153269318542053,9.033561940193175,3.3809172964951864,140.65046005249025,43.75824039808292
b5f9cb1e-c84e2ce9,60,10.5694096326828,2.132803331562503,4.713768308162689,0.5577401850780523,5.654661128520965,1.5574849179586574,141.80643775939942,46.28852758568231
b5f9cb1e-c84e2ce9,70,11.185505867004395,3.5309839408381483,5.021469120979309,0.5343960234834781,5.596600632667542,1.6349532686304526,147.17116569519044,46.79400609860617
b5f9cb1e-c84e2ce9,80,11.096714553833008,2.588215907805887,5.247522535324097,0.5862245169396139,6.303970534801483,1.9938868328061579,141.41839218139648,47.561910136559085
b5f9cb1e-c84e2ce9,90,11.037006092071532,2.108337319492395,5.491701140403747,0.689629061048528,6.57016318321228,1.972221833192968,149.89971405029297,63.3549635879047
b5f9cb1e-c84e2ce9,100,11.565779213905335,3.946975294018497,8.789135313034057,1.0265997708822039,9.654360976219177,3.7407885526152795,143.1827335357666,47.18790850163664
