video_name,jepg_quality,map,map_50,map_75,map_small,map_medium,map_large,mar_1,mar_100,mar_small,mar_medium,mar_large
b4fe0b47-a7819060,60,0.002574257319793105,0.004950494971126318,0.0009900990407913923,0.002574257319793105,0.0,0.0,0.0018907563062384725,0.0018907563062384725,0.002203182317316532,0.0,0.0
b4fe0b47-a7819060,70,0.007223739754408598,0.019801979884505272,0.0,0.007223739754408598,0.0,0.0,0.006302521098405123,0.006302521098405123,0.007343941368162632,0.0,0.0
b4fe0b47-a7819060,80,0.0103573277592659,0.024752475321292877,0.0011648223735392094,0.012576675973832607,0.0,0.0,0.009611344896256924,0.009611344896256924,0.011199510656297207,0.0,0.0
b4fe0b47-a7819060,90,0.03397717699408531,0.07920791953802109,0.007968262769281864,0.03880566731095314,0.0,0.0,0.021953782066702843,0.037342436611652374,0.04351285099983215,0.0,0.0
b4fe0b47-a7819060,100,0.05703536793589592,0.10891088843345642,0.02777227759361267,0.0655321478843689,0.0,0.0,0.027310924604535103,0.05971638485789299,0.06958384066820145,0.0,0.0
b5fa32f1-4e9c7d32,60,0.034275028854608536,0.0653788223862648,0.03102973848581314,0.006690871436148882,0.053619738668203354,0.07988722622394562,0.031313300132751465,0.03929135948419571,0.008099173195660114,0.06034648418426514,0.10137347131967545
b5fa32f1-4e9c7d32,70,0.03568778932094574,0.06429620087146759,0.04203128442168236,0.006808137055486441,0.03950575739145279,0.09836575388908386,0.030234241858124733,0.038636136800050735,0.008760330267250538,0.045253440737724304,0.11406593024730682
b5fa32f1-4e9c7d32,80,0.027554934844374657,0.05269218236207962,0.029396899044513702,0.0065871840342879295,0.02518119290471077,0.08807989209890366,0.02330007590353489,0.03201361373066902,0.00939393974840641,0.03216560557484627,0.10420189052820206
b5fa32f1-4e9c7d32,90,0.04577316343784332,0.08221592009067535,0.048975445330142975,0.007375926710665226,0.062315311282873154,0.11616036295890808,0.03949863463640213,0.04957093670964241,0.010743801482021809,0.06884868443012238,0.1270999163389206
b5fa32f1-4e9c7d32,100,0.03423284739255905,0.06269099563360214,0.03524088114500046,0.007767307572066784,0.05665179342031479,0.09308226406574249,0.02802191860973835,0.038929421454668045,0.011735537089407444,0.06714107096195221,0.10206980258226395
b4c0a877-66fc6239,60,0.017908405512571335,0.03950241208076477,0.007023779209703207,0.001320132054388523,0.06311693787574768,0.07920791953802109,0.017832167446613312,0.01806526817381382,0.0010582010727375746,0.06470588594675064,0.0771428570151329
b4c0a877-66fc6239,70,0.01921073906123638,0.04276261106133461,0.005143014248460531,0.0003300330135971308,0.06546569615602493,0.09829483181238174,0.020163170993328094,0.020279720425605774,0.0005291005363687873,0.06895425170660019,0.09642857313156128
b4c0a877-66fc6239,80,0.02096189744770527,0.04471476748585701,0.006914461962878704,0.00014144270971883088,0.07555738091468811,0.10534653812646866,0.0220862478017807,0.02237762324512005,0.0007936508045531809,0.07745098322629929,0.10285714268684387
b4c0a877-66fc6239,90,0.025842949748039246,0.05178001523017883,0.011091388761997223,0.0014301430201157928,0.09243874251842499,0.11310230940580368,0.026107225567102432,0.027097901329398155,0.0034391535446047783,0.09738562256097794,0.10999999940395355
b4c0a877-66fc6239,100,0.029131658375263214,0.0574241578578949,0.01725541427731514,0.0036612506955862045,0.10521906614303589,0.12115126848220825,0.028438229113817215,0.031118880957365036,0.008201058022677898,0.10980392247438431,0.1192857176065445
b49a1b50-186fb520,60,0.012745615094900131,0.02254408411681652,0.016765518113970757,0.003007425693795085,0.10865026712417603,0.00789438933134079,0.013104293495416641,0.013104293495416641,0.004487179685384035,0.11257310211658478,0.007522935979068279
b49a1b50-186fb520,70,0.012191250920295715,0.01979944296181202,0.016458788886666298,0.0014851485611870885,0.10735698789358139,0.005808580666780472,0.01190668810158968,0.01190668810158968,0.0025641026441007853,0.11257310211658478,0.005504587199538946
b49a1b50-186fb520,80,0.012603781186044216,0.01996893808245659,0.016558798030018806,0.0013260254636406898,0.10720296949148178,0.007029702886939049,0.012505491264164448,0.012505491264164448,0.0032051282469183207,0.11257310211658478,0.006605504546314478
b49a1b50-186fb520,90,0.006347316782921553,0.013315617106854916,0.007697748020291328,0.0011757425963878632,0.06776690483093262,0.006765676662325859,0.007185628637671471,0.007185628637671471,0.0025641026441007853,0.07894736528396606,0.00642201816663146
b49a1b50-186fb520,100,0.015035737305879593,0.025271782651543617,0.021360008046030998,0.0019625176209956408,0.1286657303571701,0.006249882280826569,0.01580699533224106,0.01580699533224106,0.006410256493836641,0.13377192616462708,0.006788990925997496
b610204c-e3c8c65f,60,0.03819115087389946,0.07437644898891449,0.03525487706065178,0.006800601724535227,0.049494754523038864,0.20840765535831451,0.03804638981819153,0.044047143310308456,0.013159186579287052,0.055180057883262634,0.2470102310180664
b610204c-e3c8c65f,70,0.036510907113552094,0.07126915454864502,0.03313326835632324,0.009038195945322514,0.04568352550268173,0.2192464917898178,0.034196484833955765,0.04164569452404976,0.01583276130259037,0.05205686017870903,0.2597954273223877
b610204c-e3c8c65f,80,0.03970390558242798,0.07671520859003067,0.0369977131485939,0.01122738141566515,0.045701149851083755,0.2350166290998459,0.036953795701265335,0.045964330434799194,0.01801368221640587,0.053307998925447464,0.29376474022865295
b610204c-e3c8c65f,90,0.04042444005608559,0.08176186680793762,0.03457767516374588,0.011531166732311249,0.04833771660923958,0.2582096755504608,0.03666260838508606,0.04646321013569832,0.01845886930823326,0.05696653574705124,0.29665616154670715
b610204c-e3c8c65f,100,0.04186445474624634,0.08635900169610977,0.032548677176237106,0.011869117617607117,0.054663583636283875,0.25786349177360535,0.036486804485321045,0.04883972555398941,0.019571835175156593,0.06491987407207489,0.29870182275772095
b4d2dede-18dc0cd0,60,0.0007590759196318686,0.0036303631495684385,0.0,0.0009900990407913923,0.0034653465263545513,0.0,0.0004866179951932281,0.0004866179951932281,0.000735294132027775,0.0028409091755747795,0.0
b4d2dede-18dc0cd0,70,0.0010891088750213385,0.005940594244748354,0.0,0.0015049504581838846,0.005445544607937336,0.0,0.0009732359903864563,0.0010705596068874002,0.001911764731630683,0.005113636143505573,0.0
b4d2dede-18dc0cd0,80,0.000820367771666497,0.005940594244748354,0.0,0.0007920791977085173,0.005940594244748354,0.0,0.0005839415825903416,0.000632603419944644,0.0005882352706976235,0.005113636143505573,0.0
b4d2dede-18dc0cd0,90,0.0014059406239539385,0.005742574110627174,0.0009900990407913923,0.0017161716241389513,0.006435643415898085,0.0,0.0011678831651806831,0.0011678831651806831,0.0020588235929608345,0.005681818351149559,0.0
b4d2dede-18dc0cd0,100,0.0012541253818199039,0.003960396163165569,0.0009900990407913923,0.0016336633125320077,0.0034653465263545513,0.0,0.0007785888155922294,0.0007785888155922294,0.0016176470089703798,0.0028409091755747795,0.0
b69d5b1d-03bd6daa,60,0.012784285470843315,0.019801979884505272,0.014822257682681084,0.07203034311532974,0.0243994127959013,0.0,0.012677434831857681,0.012677434831857681,0.07500000298023224,0.02459283359348774,0.0
b69d5b1d-03bd6daa,70,0.013596040196716785,0.023102309554815292,0.01406057272106409,0.08430463075637817,0.02549479529261589,0.0,0.013607439585030079,0.013607439585030079,0.08611111342906952,0.025081433355808258,0.0
b69d5b1d-03bd6daa,80,0.014024324715137482,0.023102309554815292,0.014195169322192669,0.08785778284072876,0.02418988198041916,0.0,0.01375428307801485,0.01375428307801485,0.09097222238779068,0.024429967626929283,0.0
b69d5b1d-03bd6daa,90,0.01449123676866293,0.023102309554815292,0.014186140149831772,0.09632345288991928,0.025261783972382545,0.0,0.014684287831187248,0.014684287831187248,0.10000000149011612,0.02540716528892517,0.0
b69d5b1d-03bd6daa,100,0.015482477843761444,0.02633528597652912,0.014907857403159142,0.09321104735136032,0.02788524702191353,0.0,0.01478218287229538,0.015222711488604546,0.0972222238779068,0.027850162237882614,0.0
b607dd6a-1d8f33b9,60,0.020410163328051567,0.05505404993891716,0.020900249481201172,0.0035042972303926945,0.04261496290564537,0.16878937184810638,0.017626920714974403,0.02828156389296055,0.008333333767950535,0.05413234233856201,0.17941176891326904
b607dd6a-1d8f33b9,70,0.02403762750327587,0.05865006148815155,0.024070613086223602,0.004006275441497564,0.049928583204746246,0.19003300368785858,0.01653202250599861,0.02889007143676281,0.008569145575165749,0.052889954298734665,0.2029411792755127
b607dd6a-1d8f33b9,80,0.023615265265107155,0.05832432582974434,0.023248566314578056,0.005515263881534338,0.04505991190671921,0.22813622653484344,0.01659121736884117,0.029951270669698715,0.009500154294073582,0.05382118374109268,0.2441176474094391
b607dd6a-1d8f33b9,90,0.023924941197037697,0.0593944750726223,0.02191893756389618,0.005771544761955738,0.04566063731908798,0.2476983368396759,0.01656080037355423,0.03058885596692562,0.008638085797429085,0.05483076721429825,0.2705882489681244
b607dd6a-1d8f33b9,100,0.027097925543785095,0.06467451900243759,0.026387732475996017,0.00757796922698617,0.049275223165750504,0.3365216851234436,0.018479816615581512,0.03387727960944176,0.012092160061001778,0.05697976425290108,0.3911764621734619
b5f9cb1e-c84e2ce9,60,0.034040991216897964,0.061512742191553116,0.041200410574674606,0.002493736334145069,0.07544787973165512,0.17502200603485107,0.03332872316241264,0.03811607137322426,0.0033513542730361223,0.09116508066654205,0.17628967761993408
b5f9cb1e-c84e2ce9,70,0.03683022782206535,0.06552387028932571,0.04021671786904335,0.003061050083488226,0.08245119452476501,0.18430612981319427,0.03564117103815079,0.04113735258579254,0.004156916402280331,0.0964851826429367,0.1850198358297348
b5f9cb1e-c84e2ce9,80,0.03944654390215874,0.06938683986663818,0.049498122185468674,0.002121969824656844,0.0969235822558403,0.1800641119480133,0.03769882395863533,0.043009620159864426,0.002758277580142021,0.11195343732833862,0.18115079402923584
b5f9cb1e-c84e2ce9,90,0.042268894612789154,0.07545119524002075,0.04699242487549782,0.0030048624612390995,0.1055033728480339,0.1886010318994522,0.041925761848688126,0.04790177196264267,0.003407837823033333,0.12774863839149475,0.18869048357009888
b5f9cb1e-c84e2ce9,100,0.03691316395998001,0.0689435750246048,0.0347132571041584,0.0031757564283907413,0.0947531908750534,0.17719505727291107,0.036852966994047165,0.0437559112906456,0.004481024108827114,0.1181778684258461,0.17996031045913696
