video_name,jepg_quality,data_size_mean,data_size_std,cpu_cli_mean,cpu_cli_std,cpu_cli_mem_mean,cpu_cli_mem_std,cpu_edge_mean,cpu_edge_std,cuda_edge_mean,cuda_edge_std,cpu_edge_mem_mean,cpu_edge_mem_std,cuda_edge_mem_mean,cuda_edge_mem_std
b4fe0b47-a7819060,60,28700.51,65.62522304723998,136.73461,50.09232403011364,1.92,6.5110367838002565,6.502489999999999,1.840724452464301,6.5295499999999995,0.03404684273174239,6.494500000000001,0.2874799993042994,81.2972,3.3827119534480032
b4fe0b47-a7819060,70,34021.97,85.55284390363654,130.46409,42.891787250730175,7.68,11.195427638102979,6.329880000000002,1.6964125458154335,6.53621,0.03463041870956805,6.474500000000001,0.2126423052922441,81.2743,2.855716811940568
b4fe0b47-a7819060,80,42724.69,124.8605378011804,133.97325999999998,46.70840788672206,9.84,11.803999322263618,6.649129999999999,3.1364238286781334,6.5598,0.036132257056541585,6.539000000000001,0.43153099541052653,81.76859999999999,3.323582109712351
b4fe0b47-a7819060,90,63019.99,173.50270862439007,141.20617000000001,48.476321904834116,35.04,12.433760493109075,6.7922899999999995,2.6548067097060004,6.592090000000001,0.031849048651411895,6.509200000000001,0.3701747695346077,81.20240000000001,2.6465699008339065
b4fe0b47-a7819060,100,208718.55,1720.0514083887144,149.03598,44.79659577534436,48.0,0.0,9.80939,3.6896377000865543,6.59644,0.02980916637546243,6.474500000000001,0.2126423052922441,81.31770000000002,2.8271278198907104
b5fa32f1-4e9c7d32,60,25313.49,1216.3749627068125,142.92033,45.037389489857205,67.68,46.21231004829773,6.12178,1.674058055026766,6.59242,0.03688961371443186,6.509000000000001,0.3278063452711066,81.41720000000001,3.093286304240201
b5fa32f1-4e9c7d32,70,29836.71,1421.1573614135768,139.92042,42.10881893099829,71.04,45.65302180579069,6.812600000000001,2.6133905333876144,6.599830000000001,0.04006421220990123,6.504300000000001,0.3404093271342605,81.1797,3.2511420931727963
b5fa32f1-4e9c7d32,80,37249.19,1739.078432360082,141.82655999999997,43.31189757291176,77.52,44.23493641907943,7.282570000000001,2.3391652410849475,6.5991100000000005,0.03246594985519443,6.464700000000001,0.2024719980639298,81.373,3.265805719879858
b5fa32f1-4e9c7d32,90,54735.35,2464.496185328758,140.66659,38.27107765221539,86.16,40.883913706982604,7.29697,3.0702460046550013,6.59738,0.030688036757016576,6.529000000000001,0.39204208957712683,81.51010000000001,2.684697932729118
b5fa32f1-4e9c7d32,100,174832.12,7210.869853602962,147.95372999999998,45.59491694144316,89.04,40.77104855163772,8.739619999999999,3.597479553187203,6.60094,0.03291559508804301,6.504300000000001,0.3404093271342605,81.66550000000001,3.4331549265944865
b4c0a877-66fc6239,60,15975.91,180.9600560897349,139.0168,45.053436568368454,17.28,13.180349009036142,6.42058,2.011621406627002,6.557329999999999,0.04512162563560847,6.4845,0.2807645810995396,80.90540000000001,2.4972626694042415
b4c0a877-66fc6239,70,18819.78,239.06097883176164,140.53179999999998,46.35928607431309,18.24,12.29399853587107,6.0587800000000005,1.8409969341636614,6.558600000000002,0.04164396715011673,6.519,0.34781460578877355,81.5732,3.1311240409795333
b4c0a877-66fc6239,80,23892.49,341.8998828604655,139.91046999999998,44.475762952299085,20.16,10.58179568882333,6.807470000000002,3.2169390434231113,6.569760000000001,0.045457919002083645,6.4449000000000005,0.04875438441822429,81.647,3.012076194255383
b4c0a877-66fc6239,90,36601.89,609.2011144933995,140.67537000000002,43.74836054520329,23.28,12.904324856419263,7.04745,2.572364357454053,6.573980000000001,0.037016747561070255,6.504300000000001,0.3404093271342605,81.058,2.8510636611622684
b4c0a877-66fc6239,100,148379.86,3689.2602429755484,147.83222,42.40689801685098,28.08,14.81599136068863,9.69038,3.587616029566152,6.584720000000001,0.04094998901098756,6.484500000000001,0.2807645810995396,80.8386,2.294426734502542
b49a1b50-186fb520,60,16113.42,1108.6548802941338,131.96565999999999,42.37134425061825,5.76,10.797333004033911,6.545720000000001,2.6077654843946374,6.533979999999998,0.04738016040496274,6.5192000000000005,0.38799917525685534,81.1013,3.2418672566901936
b49a1b50-186fb520,70,19105.74,1322.8099532434735,136.02535,42.60028062099474,5.76,10.797333004033911,6.43414,2.507963480675108,6.526299999999999,0.04442735643722231,6.474500000000001,0.2126423052922441,81.1548,3.067077918801542
b49a1b50-186fb520,80,24378.25,1666.7761779855148,134.97932999999998,41.39165676873904,5.76,10.797333004033911,6.304800000000001,1.7834485470570773,6.52524,0.04723624032456435,6.4694,0.11636855245297141,81.60780000000001,3.099517568912943
b49a1b50-186fb520,90,37704.2,2419.8978904077753,133.19755000000004,42.71694822980101,5.52,10.099980198000388,6.828469999999999,2.917480181440827,6.526660000000001,0.041478481167950165,6.4598,0.19700751254711069,81.9735,3.656160383517113
b49a1b50-186fb520,100,157055.27,6608.056131503424,142.36659,45.33539612115351,6.24,12.057462419597252,8.84618,2.6928218558976385,6.53042,0.04641490708813281,6.464700000000001,0.2024719980639298,81.59649999999999,3.1975673175087347
