video_name,pruning_thresh,jepg_quality,data_size_mean,data_size_std,map,map_50,map_75,map_small,map_medium,map_large,mar_1,mar_100,mar_small,mar_medium,mar_large
b4fe0b47-a7819060,0.15,60,362470.98,3303.5835844730796,0.10069196671247482,0.1683168262243271,0.13444599509239197,0.08457697927951813,0.5539700388908386,0.0,0.03256302699446678,0.10593487322330475,0.08690330386161804,0.597000002861023,0.0
b4fe0b47-a7819060,0.15,70,451753.07,3641.0216869856736,0.130990669131279,0.21276099979877472,0.19306133687496185,0.1134481355547905,0.6765981912612915,0.0,0.0343487411737442,0.13692227005958557,0.11725826561450958,0.6909999847412109,0.0
b4fe0b47-a7819060,0.15,80,586333.22,4421.083868419598,0.22914078831672668,0.36138615012168884,0.3154214918613434,0.23080001771450043,0.6139582991600037,0.0,0.03592437133193016,0.2407037764787674,0.23769889771938324,0.6990000009536743,0.0
b4fe0b47-a7819060,0.15,90,884165.78,5818.687789493435,0.2813536822795868,0.41583535075187683,0.40564510226249695,0.28502359986305237,0.7620753049850464,0.0,0.035871848464012146,0.3015231192111969,0.2987760007381439,0.859000027179718,0.0
b4fe0b47-a7819060,0.15,100,2105687.09,9856.451345281424,0.27795135974884033,0.4207920730113983,0.3768700063228607,0.28340083360671997,0.6660370230674744,0.0,0.03634453937411308,0.29690125584602356,0.2984088063240051,0.7770000100135803,0.0
b5fa32f1-4e9c7d32,0.15,60,349000.07,26604.72413059568,0.1341942548751831,0.19984693825244904,0.17515137791633606,0.04314151406288147,0.2821815609931946,0.2545935809612274,0.12659886479377747,0.16518017649650574,0.056765709072351456,0.3102784752845764,0.30041152238845825
b5fa32f1-4e9c7d32,0.15,70,428909.02,29918.200479968713,0.14428791403770447,0.21474412083625793,0.18264441192150116,0.0625201165676117,0.3172045052051544,0.24732273817062378,0.12538214027881622,0.17571580410003662,0.07907768338918686,0.3506718575954437,0.27859294414520264
b5fa32f1-4e9c7d32,0.15,80,554769.75,37784.833442368115,0.17003598809242249,0.2590174376964569,0.2128242701292038,0.0972297191619873,0.3319361209869385,0.25946685671806335,0.1407547891139984,0.20057795941829681,0.10518384724855423,0.36907997727394104,0.2856232225894928
b5fa32f1-4e9c7d32,0.15,90,847442.99,50641.45139043608,0.20701251924037933,0.3110447824001312,0.2437371462583542,0.15743276476860046,0.37604421377182007,0.23960579931735992,0.17551952600479126,0.23961986601352692,0.17118105292320251,0.41652318835258484,0.2663460373878479
b5fa32f1-4e9c7d32,0.15,100,2022585.02,83706.96000596127,0.21670624613761902,0.3192976713180542,0.2617377042770386,0.189493328332901,0.3696568012237549,0.22676204144954681,0.18353815376758575,0.24836628139019012,0.2049359381198883,0.4063023626804352,0.2501142621040344
b4c0a877-66fc6239,0.15,60,243468.68,12411.894200225846,0.06754962354898453,0.14414463937282562,0.03355034813284874,0.014058616943657398,0.19191786646842957,0.46706831455230713,0.02848064713180065,0.0808781087398529,0.015671642497181892,0.21584159135818481,0.4878571331501007
b4c0a877-66fc6239,0.15,70,304589.58,14152.400743463986,0.08517391979694366,0.16759070754051208,0.06292140483856201,0.042197633534669876,0.2684876620769501,0.4060881733894348,0.03119583986699581,0.09994222968816757,0.04701492562890053,0.31320130825042725,0.4228571355342865
b4c0a877-66fc6239,0.15,80,397358.83,15112.874547256057,0.09862241894006729,0.18471629917621613,0.08327222615480423,0.07637785375118256,0.26568713784217834,0.479596346616745,0.035008665174245834,0.11369150876998901,0.08582089841365814,0.30330032110214233,0.5028571486473083
b4c0a877-66fc6239,0.15,90,591529.69,20134.40719251252,0.1296708583831787,0.22318273782730103,0.13543455302715302,0.13261286914348602,0.32070687413215637,0.5973202586174011,0.03783939778804779,0.14702484011650085,0.15074627101421356,0.3528052866458893,0.6214285492897034
b4c0a877-66fc6239,0.15,100,1588864.09,38901.87628150986,0.13965170085430145,0.23287734389305115,0.15770533680915833,0.14280939102172852,0.37019068002700806,0.5635201930999756,0.038301561027765274,0.15545926988124847,0.16094526648521423,0.3993399441242218,0.595714271068573
b49a1b50-186fb520,0.15,60,320327.89,28398.00948126294,0.037852514535188675,0.059938326478004456,0.047492507845163345,0.05925331264734268,0.20407217741012573,0.040062759071588516,0.04324476048350334,0.04461345076560974,0.07734374701976776,0.23055554926395416,0.04216216132044792
b49a1b50-186fb520,0.15,70,386426.46,27449.914647743444,0.041081514209508896,0.06435074657201767,0.057473570108413696,0.07596906274557114,0.21353839337825775,0.042604174464941025,0.04285714402794838,0.04662104323506355,0.10000000149011612,0.2361111044883728,0.04450450465083122
b49a1b50-186fb520,0.15,80,476779.67,29856.053876577524,0.04763998091220856,0.07615349441766739,0.06104625016450882,0.1054346114397049,0.224981427192688,0.0476251021027565,0.04662104323506355,0.05440547317266464,0.13906249403953552,0.24583333730697632,0.05063062906265259
b49a1b50-186fb520,0.15,90,703273.47,41703.72649043608,0.04960676282644272,0.0790712982416153,0.060837797820568085,0.12119800597429276,0.22723039984703064,0.04923251271247864,0.048160821199417114,0.056715141981840134,0.14687499403953552,0.24722221493721008,0.05369369313120842
b49a1b50-186fb520,0.15,100,1784615.65,72330.58896585525,0.0508975125849247,0.08148535341024399,0.06570625305175781,0.11675725132226944,0.232881560921669,0.05183473601937294,0.04935842752456665,0.05808383226394653,0.14765624701976776,0.2541666626930237,0.0554954968392849
b610204c-e3c8c65f,0.15,60,358000.25,29848.888207896453,0.13172593712806702,0.20174084603786469,0.15277646481990814,0.08408714085817337,0.2031680792570114,0.5481718182563782,0.09028367698192596,0.1429087519645691,0.10292009264230728,0.21896633505821228,0.5811037421226501
b610204c-e3c8c65f,0.15,70,444333.81,34078.60263910333,0.15594425797462463,0.23763884603977203,0.1680145114660263,0.13839861750602722,0.21089857816696167,0.5865342020988464,0.10039415955543518,0.1696033626794815,0.1732800304889679,0.22358585894107819,0.615449070930481
