pruning_thresh,quality,technique,frame_id,sparsity,decomposability,regularity,pictoriality,datasize_est,datasize_real,reconstruct_snr
0.15,80,1,88,-1,-1,-1,-1,10507,11251,11.15707516670227
0.15,80,1,89,-1,-1,-1,-1,10341,11085,11.220507621765137
0.15,80,1,90,-1,-1,-1,-1,9819,10563,11.172137260437012
0.15,80,1,91,-1,-1,-1,-1,12450,13194,11.26232385635376
0.15,80,1,92,-1,-1,-1,-1,9926,10670,11.239664554595947
0.15,80,1,93,-1,-1,-1,-1,11266,12010,11.170252561569214
0.15,80,1,94,-1,-1,-1,-1,9643,10387,11.1137056350708
0.15,80,1,95,-1,-1,-1,-1,11006,11750,11.16052508354187
0.15,80,1,96,-1,-1,-1,-1,8452,9196,11.092703342437744
0.15,80,1,97,-1,-1,-1,-1,11957,12701,11.244508028030396
0.15,80,1,98,-1,-1,-1,-1,9452,10196,11.257215738296509
0.15,80,1,99,-1,-1,-1,-1,10782,11526,11.338958740234375
0.15,80,1,100,-1,-1,-1,-1,10304,11048,11.357018947601318
0.15,80,1,101,-1,-1,-1,-1,9945,10689,11.396130323410034
0.15,80,1,102,-1,-1,-1,-1,8893,9637,11.360539197921753
0.15,80,1,103,-1,-1,-1,-1,9072,9816,11.28535270690918
0.15,80,1,104,-1,-1,-1,-1,9667,10411,11.386423110961914
0.15,80,1,105,-1,-1,-1,-1,10862,11606,11.463627815246582
0.15,80,1,106,-1,-1,-1,-1,10765,11509,11.445903778076172
0.15,80,1,107,-1,-1,-1,-1,11637,12381,11.537953615188599
0.15,80,1,108,-1,-1,-1,-1,12829,13573,11.622364521026611
0.15,80,1,109,-1,-1,-1,-1,9083,9827,11.540039777755737
0.15,80,1,110,-1,-1,-1,-1,8077,8821,11.45433783531189
0.15,80,1,111,-1,-1,-1,-1,8311,9055,11.419382095336914
0.15,80,1,112,-1,-1,-1,-1,11202,11946,11.527031660079956
0.15,80,1,113,-1,-1,-1,-1,9334,10078,11.52849793434143
0.15,80,1,114,-1,-1,-1,-1,9732,10476,11.594486236572266
0.15,80,1,115,-1,-1,-1,-1,10833,11577,11.624937057495117
0.15,80,1,116,-1,-1,-1,-1,9185,9929,11.614446640014648
0.15,80,1,117,-1,-1,-1,-1,7704,8448,11.494038105010986
0.15,80,1,118,-1,-1,-1,-1,7500,8244,11.432342529296875
0.15,80,1,119,-1,-1,-1,-1,7084,7828,11.379252672195435
0.15,80,1,120,-1,-1,-1,-1,9935,10679,11.435256004333496
0.15,80,1,121,-1,-1,-1,-1,11677,12421,11.406489610671997
0.15,80,1,122,-1,-1,-1,-1,9796,10540,11.453975439071655
0.15,80,1,123,-1,-1,-1,-1,11390,12134,11.598823070526123
0.15,80,1,124,-1,-1,-1,-1,9820,10564,11.606670618057251
0.15,80,1,125,-1,-1,-1,-1,11109,11853,11.718910932540894
0.15,80,1,126,-1,-1,-1,-1,9729,10473,11.713756322860718
0.15,80,1,127,-1,-1,-1,-1,8639,9383,11.65403962135315
0.15,80,1,128,-1,-1,-1,-1,9997,10741,11.716221570968628
0.15,80,1,129,-1,-1,-1,-1,8170,8914,11.644264459609985
0.15,80,1,130,-1,-1,-1,-1,9435,10179,11.680126190185547
0.15,80,1,131,-1,-1,-1,-1,7892,8636,11.63719654083252
0.15,80,1,132,-1,-1,-1,-1,8661,9405,11.637873649597168
0.15,80,1,133,-1,-1,-1,-1,10762,11506,11.720774173736572
0.15,80,1,134,-1,-1,-1,-1,8196,8940,11.691778898239136
0.15,80,1,135,-1,-1,-1,-1,9323,10067,11.643949747085571
0.15,80,1,136,-1,-1,-1,-1,7086,7830,11.475512981414795
0.15,80,1,137,-1,-1,-1,-1,9491,10235,11.539769172668457
0.15,80,1,138,-1,-1,-1,-1,7656,8400,11.363180875778198
0.15,80,1,139,-1,-1,-1,-1,8864,9608,11.403799057006836
0.15,80,1,140,-1,-1,-1,-1,8178,8922,11.433073282241821
0.15,80,1,141,-1,-1,-1,-1,8059,8803,11.448746919631958
0.15,80,1,142,-1,-1,-1,-1,9317,10061,11.463255882263184
0.15,80,1,143,-1,-1,-1,-1,7323,8067,11.40636920928955
0.15,80,1,144,-1,-1,-1,-1,8613,9357,11.41176700592041
0.15,80,1,145,-1,-1,-1,-1,8338,9082,11.427915096282959
0.15,80,1,146,-1,-1,-1,-1,9879,10623,11.504983901977539
0.15,80,1,147,-1,-1,-1,-1,8682,9426,11.457431316375732
0.15,80,1,148,-1,-1,-1,-1,8716,9460,11.455283164978027
0.15,80,1,149,-1,-1,-1,-1,5785,6529,11.359959840774536
0.15,80,1,150,-1,-1,-1,-1,6546,7290,11.288472414016724
0.15,80,1,151,-1,-1,-1,-1,10264,11008,11.426405906677246
0.15,80,1,152,-1,-1,-1,-1,9248,9992,11.497131586074829
0.15,80,1,153,-1,-1,-1,-1,9884,10628,11.53167724609375
0.15,80,1,154,-1,-1,-1,-1,10894,11638,11.623144149780273
0.15,80,1,155,-1,-1,-1,-1,10222,10966,11.702108383178711
0.15,80,1,156,-1,-1,-1,-1,11259,12003,11.823290586471558
0.15,80,1,157,-1,-1,-1,-1,10686,11430,11.89823865890503
0.15,80,1,158,-1,-1,-1,-1,13206,13950,12.153489589691162
0.15,80,1,159,-1,-1,-1,-1,11204,11948,12.249776124954224
0.15,80,1,160,-1,-1,-1,-1,14780,15524,12.520191669464111
0.15,80,1,161,-1,-1,-1,-1,10694,11438,12.518596649169922
0.15,80,1,162,-1,-1,-1,-1,9675,10419,12.516282796859741
0.15,80,1,163,-1,-1,-1,-1,11923,12667,12.580952644348145
0.15,80,1,164,-1,-1,-1,-1,10676,11420,12.6261305809021
0.15,80,1,165,-1,-1,-1,-1,13670,14414,12.778915166854858
0.15,80,1,166,-1,-1,-1,-1,11992,12736,12.80982255935669
0.15,80,1,167,-1,-1,-1,-1,12111,12855,12.885714769363403
