pruning_thresh,quality,technique,frame_id,sensitivity,map
0.15,80,1,96,0.7142857142857143,0.5972222222222222
0.15,80,1,97,0.75,0.71875
0.15,80,1,98,0.75,0.7
0.15,80,1,99,0.625,0.55
0.15,80,1,100,0.7142857142857143,0.625
0.15,80,1,101,0.75,0.6222222222222222
0.15,80,1,102,0.6666666666666666,0.5875
0.15,80,1,103,0.6666666666666666,0.5875
0.15,80,1,104,0.625,0.5666666666666667
0.15,80,1,105,0.7142857142857143,0.65
0.15,80,1,106,0.7142857142857143,0.65
0.15,80,1,107,0.6666666666666666,0.5625
0.15,80,1,108,0.625,0.43333333333333335
0.15,80,1,109,0.4444444444444444,0.4
0.15,80,1,110,0.5,0.4
0.15,80,1,111,0.4444444444444444,0.4
0.15,80,1,112,0.6666666666666666,0.6083333333333334
0.15,80,1,113,0.75,0.525
0.15,80,1,114,0.75,0.6375
0.15,80,1,115,0.7142857142857143,0.525
0.15,80,1,116,0.8571428571428571,0.5547619047619048
0.15,80,1,117,0.6,0.54
0.15,80,1,118,0.7142857142857143,0.4416666666666667
0.15,80,1,119,0.5454545454545454,0.538888888888889
0.15,80,1,120,0.6666666666666666,0.5041666666666667
0.15,80,1,121,0.7142857142857143,0.525
0.15,80,1,122,0.7777777777777778,0.625
0.15,80,1,123,0.6666666666666666,0.48333333333333334
0.15,80,1,124,0.5,0.4
0.15,80,1,125,0.5,0.4
0.15,80,1,126,0.75,0.5333333333333333
0.15,80,1,127,0.5714285714285714,0.4
0.15,80,1,128,0.8333333333333334,0.9
0.15,80,1,129,0.5555555555555556,0.525
0.15,80,1,130,0.625,0.5666666666666667
0.15,80,1,131,0.6666666666666666,0.4
0.15,80,1,132,0.5714285714285714,0.4
0.15,80,1,133,0.8333333333333334,0.65
0.15,80,1,134,0.8333333333333334,0.65
0.15,80,1,135,0.625,0.48333333333333334
0.15,80,1,136,0.7142857142857143,0.65
0.15,80,1,137,0.7142857142857143,0.65
0.15,80,1,138,0.7142857142857143,0.65
0.15,80,1,139,0.7142857142857143,0.65
0.15,80,1,140,0.7142857142857143,0.65
0.15,80,1,141,0.7142857142857143,0.65
0.15,80,1,142,0.7142857142857143,0.65
0.15,80,1,143,0.8333333333333334,0.9
0.15,80,1,144,0.7142857142857143,0.65
0.15,80,1,145,0.8333333333333334,0.9
0.15,80,1,146,0.7142857142857143,0.65
0.15,80,1,147,0.7142857142857143,0.48333333333333334
0.15,80,1,148,0.8571428571428571,0.625
0.15,80,1,149,0.8,0.8
0.15,80,1,150,0.8,0.8
0.15,80,1,151,0.8333333333333334,0.5666666666666667
0.15,80,1,152,0.8,0.8
0.15,80,1,153,0.6666666666666666,0.4
0.15,80,1,154,0.8,0.8
0.15,80,1,155,0.8,0.8
0.15,80,1,156,0.8,0.8
0.15,80,1,157,0.8,0.8
0.15,80,1,158,0.8,0.8
0.15,80,1,159,0.8,0.8
0.15,80,1,160,0.8333333333333334,0.525
0.15,80,1,161,0.8333333333333334,0.5
0.15,80,1,162,0.8333333333333334,0.5
0.15,80,1,163,0.6666666666666666,0.4
0.15,80,1,164,0.6666666666666666,0.4
0.15,80,1,165,0.6666666666666666,0.4
0.15,80,1,166,0.6666666666666666,0.4
0.15,80,1,167,0.6,0.34375
0.15,80,1,168,0.8333333333333334,0.4714285714285714
0.15,80,1,169,0.8333333333333334,0.65
0.15,80,1,170,0.8333333333333334,0.65
0.15,80,1,171,1.0,0.7333333333333334
0.15,80,1,172,0.8333333333333334,0.65
0.15,80,1,173,1.0,0.9666666666666667
0.15,80,1,174,0.8,0.8
0.15,80,1,175,0.8,0.8
0.15,80,1,176,0.6666666666666666,0.4
0.15,80,1,177,0.8333333333333334,0.48333333333333334
0.15,80,1,178,0.8,0.8
0.15,80,1,179,0.8333333333333334,0.525
0.15,80,1,180,0.8,0.8
0.15,80,1,181,0.8,0.8
0.15,80,1,182,0.8,0.8
0.15,80,1,183,0.8,0.8
0.15,80,1,184,0.8,0.8
0.15,80,1,185,0.8,0.8
0.15,80,1,186,0.8,0.8
0.15,80,1,187,0.8,0.8
0.15,80,1,188,0.8333333333333334,0.9
0.15,80,1,189,0.8333333333333334,0.9
0.15,80,1,190,0.8571428571428571,0.775
0.15,80,1,191,0.8333333333333334,0.65
0.15,80,1,192,0.6666666666666666,0.4
0.15,80,1,193,0.6666666666666666,0.4
0.15,80,1,194,0.8,0.8
0.15,80,1,195,0.75,0.75
0.15,80,1,196,0.75,0.6875
0.15,80,1,197,0.75,0.6875
0.15,80,1,198,0.8,0.8
0.15,80,1,199,0.8,0.8
0.15,80,1,200,0.8,0.8
