split_layer,rank,sparsity,regularity,pictoriality,jpeg_ratio,jpeg_snr,jpeg_mse,decomposition_ratio,decomposition_snr,decomposition_mse,regression_ratio,regression_snr,regression_mse,sketchml_ratio,sketchml_snr,sketchml_mse
8,14.296875,0.9003559541420119,0.5027405665760698,0.7254580655169368,5.376580607077392,25.761187076568604,3.6168578e-07,0.9092896174863389,135.73935508728027,3.6350874e-18,16.484663745475327,9.876090288162231,1.402301e-05,31.9144306131858,8.376811146736145,1.980474e-05
8,12.8515625,0.9169170673076923,0.5087013597023908,0.7231607305312178,5.598253133845532,24.84353542327881,3.568708e-07,1.011550151975684,136.06462478637695,2.694026e-18,16.628008647609896,9.92000162601471,1.1088282e-05,36.22312925170068,8.26974630355835,1.6213986e-05
8,11.1875,0.9356508875739645,0.5139999684347841,0.7027198548404031,6.0123334549307765,23.525261878967285,3.6586502e-07,1.1620111731843576,136.96603775024414,1.6566987e-18,17.07340173638516,10.223963260650635,7.824397e-06,42.777406995427015,8.45460295677185,1.1759446e-05
8,11.7109375,0.9282428809171598,0.49675988952883726,0.7005392336043994,5.503975574072896,22.976150512695312,4.4112883e-07,1.1100733822548365,136.7125415802002,1.8660624e-18,16.628008647609896,9.922729134559631,8.910613e-06,39.91143911439114,8.568033576011658,1.2172426e-05
8,12.28125,0.9218172152366864,0.4938641505638599,0.7176418314771932,5.184654792755816,21.147053241729736,7.6151866e-07,1.0585241730279897,136.42333984375,2.2597042e-18,16.484663745475327,9.79925811290741,1.0386284e-05,37.74394765539804,8.490495681762695,1.4039008e-05
8,12.3828125,0.9129761464497042,0.5111925787612962,0.7260346662432079,5.171176286025907,22.650325298309326,5.9135584e-07,1.0498422712933755,136.35899543762207,2.517572e-18,16.628008647609896,10.202878713607788,1.0389476e-05,35.13114088509947,8.833889961242676,1.4239427e-05
8,10.921875,0.9439025517751479,0.5167499843057414,0.6663874212450547,5.7109479415889775,20.37043333053589,6.607738e-07,1.190271816881259,136.79072380065918,1.5066894e-18,16.773868372588932,9.621415734291077,7.851535e-06,46.46422338568935,7.897473573684692,1.1677469e-05
8,12.4140625,0.9183732433431953,0.4985329229296219,0.7092807296870864,5.1673932517169305,20.020668506622314,1.1680876e-06,1.0471994965387035,136.42613410949707,2.6725697e-18,16.628008647609896,9.939826726913452,1.1900346e-05,36.683836777954426,7.875244617462158,1.9143346e-05
8,14.6015625,0.9013151812130178,0.49384155963808385,0.7225500436751608,4.532516172965611,19.371459484100342,1.5624809e-06,0.8903156768325308,135.6513214111328,3.6798346e-18,16.628008647609896,9.834267497062683,1.4045391e-05,32.14563016624872,8.447701930999756,1.9328154e-05
8,14.8046875,0.9121787167159763,0.4742891939516004,0.6975817507096986,4.923006898513619,19.702417850494385,1.3293501e-06,0.8781002638522427,135.9354305267334,3.164742e-18,16.773868372588932,9.205785989761353,1.490399e-05,34.90791729702471,7.709470987319946,2.1034588e-05
