video_name,jepg_quality,model_time_mean,model_time_std,encode_time_mean,encode_time_std,decode_time_mean,decode_time_std,request_time_mean,request_time_std
b4fe0b47-a7819060,60,7.920268130302429,5.370560504800989,4.45935516834259,0.5304198545659207,6.192054691314698,2.5367914230113797,24.64215711593628,9.025832021619568
b4fe0b47-a7819060,70,7.40516767501831,0.799952571440854,4.78161954164505,0.4145984321417757,6.271470398902893,2.8979226047929574,24.296249809265138,3.9779035550160744
b4fe0b47-a7819060,80,7.724905252456665,2.0423851280489864,4.826000304222107,0.5267717225064118,6.231750736236572,2.3652404313995588,26.718028087615966,25.373702681222536
b4fe0b47-a7819060,90,8.033276476860046,1.8190176720820468,5.247647070884705,0.5344642274912754,6.660871047973632,3.1116325501352287,24.90082368850708,4.902369228410542
b4fe0b47-a7819060,100,8.929263672828675,3.169685240387212,8.683550033569336,0.834802901707243,9.77234082221985,2.862455943646389,33.62438837051391,5.841506485250597
b5fa32f1-4e9c7d32,60,8.420526390075684,6.066309449984482,4.5880710315704345,0.4203569602656588,6.070853767395019,3.3822040811064333,24.7526255607605,10.721878482717637
b5fa32f1-4e9c7d32,70,8.201494388580322,2.6472361821798587,4.611902697086334,0.452097023361781,5.725462718009949,1.614045218159626,23.82037467956543,3.4083789569829523
b5fa32f1-4e9c7d32,80,9.305063681602478,9.302498054039951,4.813935694694519,0.5103741795160365,7.070289640426636,6.1617538617146925,27.451199684143067,13.046159344777282
b5fa32f1-4e9c7d32,90,8.073339171409607,1.8545539488325007,5.134449610710144,0.5230932055284864,6.460640926361084,1.5799872801405295,26.15495264053345,4.534445709998446
b5fa32f1-4e9c7d32,100,7.905297608375549,1.0309586966393578,8.126953916549683,0.8971238412534873,8.34969916820526,1.0822257612641761,29.9113046836853,3.9140154401026406
b4c0a877-66fc6239,60,7.519125752449035,1.1320435867855654,4.408714258670807,0.4716499599920453,5.61897087097168,1.9664795219627036,22.908340129852295,3.1635133249503067
b4c0a877-66fc6239,70,7.611738862991333,1.6496687995709591,4.422926712036133,0.4564989689189677,5.778401947021484,2.2574687554070314,22.902516193389893,3.449664144488881
b4c0a877-66fc6239,80,8.002874569892883,2.4351060548062256,4.5509548544883724,0.44577629974164656,6.192212462425232,3.709895381188267,24.270208015441895,6.592617874365216
b4c0a877-66fc6239,90,8.080477766990661,2.7870290093051024,4.894815051555634,0.4629272142087805,6.023791055679322,1.949179239345526,24.098189105987547,3.891062461352069
b4c0a877-66fc6239,100,7.733179516792298,0.5571361816969866,7.954181418418885,0.8542405640687857,8.596792974472045,2.981833181734603,29.192844486236574,3.563100417987382
b49a1b50-186fb520,60,7.010090546607971,0.7928627187974044,4.427252795696258,0.46490904552724654,6.5882262134552,4.170211353281681,24.53609342575073,6.284048718600616
b49a1b50-186fb520,70,7.205943012237549,2.1675067540946102,4.455435836315155,0.5163471002486025,5.988153944015503,2.174404591579398,23.020959911346434,3.9062101517154058
b49a1b50-186fb520,80,7.338652477264405,1.8645915982820906,4.541919658184051,0.5886917288324748,6.225693740844727,2.057764262818611,23.84735275268555,4.390406173379256
b49a1b50-186fb520,90,7.176479358673095,1.817696231323611,4.966768658161163,0.42157325404887214,6.05275230884552,1.3971207880365728,23.02056640625,3.63276681184326
