video_name,jepg_quality,data_size_mean,data_size_std,map,map_50,map_75,map_small,map_medium,map_large,mar_1,mar_100,mar_small,mar_medium,mar_large
b4fe0b47-a7819060,60,28697.65,65.61179390932699,0.002574257319793105,0.004950494971126318,0.0009900990407913923,0.002574257319793105,0.0,0.0,0.0018907563062384725,0.0018907563062384725,0.002203182317316532,0.0,0.0
b4fe0b47-a7819060,70,34019.11,86.63196811801058,0.007223739754408598,0.019801979884505272,0.0,0.007223739754408598,0.0,0.0,0.006302521098405123,0.006302521098405123,0.007343941368162632,0.0,0.0
b4fe0b47-a7819060,80,42731.12,125.51424460992466,0.010304896160960197,0.024752475321292877,0.0011648223735392094,0.012486385181546211,0.0,0.0,0.00997899193316698,0.00997899193316698,0.011627906933426857,0.0,0.0
b4fe0b47-a7819060,90,63035.46,180.17638136004396,0.033889248967170715,0.07920791953802109,0.007735148537904024,0.03823789954185486,0.0,0.0,0.021901261061429977,0.036659665405750275,0.042717259377241135,0.0,0.0
b4fe0b47-a7819060,100,208968.44,1997.6196801193164,0.057217828929424286,0.10891088843345642,0.02777227759361267,0.06572740525007248,0.0,0.0,0.027731092646718025,0.059978991746902466,0.0698898434638977,0.0,0.0
b5fa32f1-4e9c7d32,60,25151.36,1198.4658903781951,0.03498152270913124,0.06691823154687881,0.031683385372161865,0.007007462903857231,0.054570071399211884,0.08352691680192947,0.03139644116163254,0.03989866375923157,0.008328691124916077,0.06094825640320778,0.10380776971578598
b5fa32f1-4e9c7d32,70,29652.45,1396.1122259689585,0.036381326615810394,0.06581863015890121,0.042907729744911194,0.006849224213510752,0.04050033167004585,0.10239850729703903,0.03028673306107521,0.03932034596800804,0.00896935909986496,0.04598494619131088,0.11756576597690582
b5fa32f1-4e9c7d32,80,37038.2,1713.0218153894014,0.028166957199573517,0.05434971675276756,0.02961425855755806,0.006589597091078758,0.026220202445983887,0.09214286506175995,0.0234132781624794,0.0326075442135334,0.009415041655302048,0.03276073560118675,0.10817763209342957
b5fa32f1-4e9c7d32,90,54470.93,2422.104742801186,0.04644133895635605,0.0838954970240593,0.0492556057870388,0.0079139219596982,0.06334188580513,0.1190343126654625,0.03962156921625137,0.050323497503995895,0.011253481730818748,0.06948445737361908,0.1295173615217209
b5fa32f1-4e9c7d32,100,174196.62,6903.742875831921,0.03488055244088173,0.06442197412252426,0.03549157455563545,0.008256577886641026,0.05747686326503754,0.09629945456981659,0.028069866821169853,0.03959977254271507,0.012033426202833652,0.06776082515716553,0.10469783842563629
