pruning_thresh,jepg_quality,data_size_mean,data_size_std,map
0.02,60,7211.805970149254,2570.566092707846,0.4932015337093458
0.02,70,8667.059701492537,2870.049689520432,0.5035583899080054
0.02,80,11145.89552238806,3396.589699404294,0.5257344150023927
0.02,90,16634.432835820895,3696.860956548966,0.5509508027554227
0.02,100,40553.94029850746,5453.558900663208,0.5411253545384026
0.04,60,7779.835820895522,2244.566005965245,0.48210550083579484
0.04,70,9275.268656716418,2719.039380315071,0.49765774209454894
0.04,80,11818.462686567163,3133.592975351916,0.5156351885636092
0.04,90,16910.86567164179,3738.7219577655515,0.5298755715587925
0.04,100,40487.31343283582,5553.116562658871,0.5426373463246489
0.06,60,8296.119402985074,2172.237154271983,0.4738017980241072
0.06,70,9995.940298507463,2500.19120988535,0.5304858299573219
0.06,80,12460.65671641791,2903.801453639071,0.5216144034520824
0.06,90,17345.582089552237,3590.750448106181,0.5349705536420104
0.06,100,40369.850746268654,5767.65943695607,0.547432850754739
0.08,60,8955.253731343284,2034.5075266311778,0.4902884229148512
0.08,70,10732.776119402984,2383.3394282968784,0.510588983023128
0.08,80,13041.179104477613,2836.826458559157,0.5197104091997228
0.08,90,17768.671641791047,3579.5155445914647,0.5326526078168093
0.08,100,40104.80597014925,6305.22693435341,0.5394085589088974
0.1,60,9015.626865671642,1792.757401205401,0.47778924528059813
0.1,70,10734.059701492537,2106.0758294564816,0.510097934573473
0.1,80,13374.731343283582,2555.735146054613,0.5217677677672089
0.1,90,17840.388059701494,3545.4509847451795,0.5312827611299861
0.1,100,39860.432835820895,6646.059189696678,0.5325597575578398
