video_name,pruning_thresh,jepg_quality,data_size_mean,data_size_std,cpu_cli_mean,cpu_cli_std,cpu_cli_mem_mean,cpu_cli_mem_std,cuda_cli_mem_mean,cuda_cli_mem_std,cpu_edge_mean,cpu_edge_std,cuda_edge_mean,cuda_edge_std,cpu_edge_mem_mean,cpu_edge_mem_std,cuda_edge_mem_mean,cuda_edge_mem_std
b4fe0b47-a7819060,0.05,60,16798.9,3253.2488945667837,83.99176,30.541768558850684,6.519999999999997,2.6645352591003757e-15,71.7027,0.8389134103112192,2.4390700000000005,1.1106032437824047,3.8724900000000004,0.04675221812919678,0.00020649999999999998,0.0020305550842072717,15.945799999999998,0.5247555240299998
b4fe0b47-a7819060,0.05,70,19022.49,3489.35535162299,80.98018,21.911013952521685,6.519999999999997,2.6645352591003757e-15,71.67739999999998,0.7490936123075673,2.14151,0.2696142983968024,3.84627,0.03356362763468811,7.919999999999999e-06,1.7654279934338866e-05,15.876500000000004,0.48998443852840856
b4fe0b47-a7819060,0.05,80,22861.48,3434.8900491282106,81.84219,22.704217445970254,6.519999999999997,2.6645352591003757e-15,71.7194,0.7253382934879424,2.18575,0.2689597135260224,3.84023,0.03262203396479133,4.8e-06,1.4399999999999998e-05,15.863400000000004,0.41945254797175774
b4fe0b47-a7819060,0.05,90,30951.1,3291.660299909454,81.81858,20.55151841260397,6.519999999999997,2.6645352591003757e-15,71.63339999999998,0.5301626542863999,2.4203200000000002,1.1381616394871161,3.8403300000000002,0.02924382156969227,7.2000000000000005e-06,1.7139428228502842e-05,15.868900000000004,0.5154374743846241
b4fe0b47-a7819060,0.05,100,67155.7,5259.098632845746,83.54771999999998,22.777603943821656,6.519999999999997,2.6645352591003757e-15,71.71379999999999,0.7033104293269087,2.5253,0.377209106464836,3.84139,0.03198371304273477,3.6000000000000003e-06,1.2412896519346319e-05,15.850800000000001,0.4367119874700027
b5fa32f1-4e9c7d32,0.05,60,12841.51,1655.3099195920986,80.08449999999999,21.204643604408915,6.519999999999997,2.6645352591003757e-15,71.8954,1.277378111602043,2.13062,0.9401468372546918,3.82976,0.042035489767576165,8.16e-06,3.0209508436914358e-05,15.8731,0.44276561519612145
b5fa32f1-4e9c7d32,0.05,70,16146.91,1855.5101837230643,81.72982999999999,23.761470215058246,6.519999999999997,2.6645352591003757e-15,71.79639999999999,0.8986651434210636,2.0768899999999997,0.19487344072499976,3.8338099999999997,0.03835510265922906,1.3680000000000001e-05,3.547700100064829e-05,15.8443,0.47060865907885685
b5fa32f1-4e9c7d32,0.05,80,20819.47,1997.038124097785,81.17868,21.693361990655113,6.519999999999997,2.6645352591003757e-15,71.79739999999998,0.9416099192340751,2.3454800000000002,1.1842763653809867,3.8411999999999993,0.035614884528803376,6.2399999999999995e-06,2.3421835965611237e-05,15.8007,0.4359822358766465
b5fa32f1-4e9c7d32,0.05,90,29820.69,2175.716046247763,83.11076000000003,22.467186851548636,6.519999999999997,2.6645352591003757e-15,71.82499999999999,1.0900876111579292,2.2323399999999998,0.21963880440395775,3.8423200000000004,0.03114799512007153,9.84e-06,2.6529500560696577e-05,15.919900000000002,0.4623624011530347
b5fa32f1-4e9c7d32,0.05,100,66408.43,3741.5097333964004,84.10943000000002,23.202219378867618,6.519999999999997,2.6645352591003757e-15,71.8051,1.0660661283428916,2.62825,0.925227619291599,3.84392,0.033072248184845256,7.92e-06,2.7585387436104647e-05,15.9937,0.5201646950726276
