video_name,pruning_thresh,jepg_quality,data_size_mean,data_size_std,map,map_50,map_75,map_small,map_medium,map_large,mar_1,mar_100,mar_small,mar_medium,mar_large
b4fe0b47-a7819060,0.05,60,16698.77,3181.576570994324,0.054664142429828644,0.10396039485931396,0.027227722108364105,0.06240113079547882,0.0,0.0,0.027836134657263756,0.05840336158871651,0.06805385649204254,0.0,0.0
b4fe0b47-a7819060,0.05,70,18773.4,3373.038191304688,0.05488082766532898,0.10396039485931396,0.03150315210223198,0.06461875885725021,0.0,0.0,0.028098739683628082,0.05934873968362808,0.06915544718503952,0.0,0.0
b4fe0b47-a7819060,0.05,80,22647.89,3323.4724367594804,0.05371515080332756,0.10396039485931396,0.0237211212515831,0.062012188136577606,0.0,0.0,0.027626050636172295,0.05714285746216774,0.06658506393432617,0.0,0.0
b4fe0b47-a7819060,0.05,90,30766.76,3286.4811915481887,0.05430688336491585,0.10396039485931396,0.024242114275693893,0.0622749887406826,0.0,0.0,0.027258403599262238,0.05814075469970703,0.06774786114692688,0.0,0.0
b4fe0b47-a7819060,0.05,100,67065.72,5078.255066614909,0.05457594245672226,0.10396039485931396,0.026808835566043854,0.06233486905694008,0.0,0.0,0.027310924604535103,0.05845588073134422,0.06811505556106567,0.0,0.0
b5fa32f1-4e9c7d32,0.05,60,12887.76,1660.3922254696329,0.028999431058764458,0.05357633903622627,0.030020620673894882,0.005991926416754723,0.0554799847304821,0.06179626286029816,0.024303045123815536,0.03175484761595726,0.00855153240263462,0.061613135039806366,0.07468236237764359
b5fa32f1-4e9c7d32,0.05,70,16208.95,1849.936838786665,0.02884509041905403,0.0551237091422081,0.034137070178985596,0.006884128786623478,0.040770381689071655,0.08208925276994705,0.0238177627325058,0.03296259790658951,0.010222841054201126,0.047257307916879654,0.09401260316371918
b5fa32f1-4e9c7d32,0.05,80,20862.41,2003.9816969972555,0.03046826645731926,0.061411723494529724,0.029116090387105942,0.007474154699593782,0.057380568236112595,0.07554133236408234,0.025529770180583,0.035181280225515366,0.010668523609638214,0.06736642867326736,0.08200903981924057
b5fa32f1-4e9c7d32,0.05,90,29764.87,2071.439579881586,0.032975733280181885,0.06263278424739838,0.0349850133061409,0.0070731667801737785,0.040158770978450775,0.10505732148885727,0.028500914573669434,0.039103977382183075,0.011337047442793846,0.05182657018303871,0.11170659959316254
b5fa32f1-4e9c7d32,0.05,100,66240.11,3489.445067328041,0.04095541313290596,0.07792817056179047,0.044572774320840836,0.007474981714040041,0.05717376619577408,0.11242761462926865,0.03477511554956436,0.04599607363343239,0.011587743647396564,0.06706724315881729,0.121426060795784
b4c0a877-66fc6239,0.05,60,10282.53,2419.4505469424253,0.024024158716201782,0.04825177416205406,0.01451590284705162,0.0009717638604342937,0.09619458764791489,0.08653465658426285,0.024725591763854027,0.025707682594656944,0.0017412935849279165,0.10528052598237991,0.08500000089406967
b4c0a877-66fc6239,0.05,70,12674.65,2995.151312955658,0.025041617453098297,0.04853413999080658,0.019343027845025063,0.002307230606675148,0.1052706390619278,0.08955871313810349,0.02553437277674675,0.026574235409498215,0.002487562131136656,0.10891088843345642,0.08571428805589676
b4c0a877-66fc6239,0.05,80,16266.92,3236.7262061533715,0.02744612842798233,0.05417678877711296,0.018080437555909157,0.0013104251120239496,0.1098804771900177,0.10843941569328308,0.02790294587612152,0.028942808508872986,0.0029850746504962444,0.11221121996641159,0.10642857104539871
b4c0a877-66fc6239,0.05,90,23750.17,3331.250351009362,0.02634523995220661,0.051070500165224075,0.016012264415621758,0.0010993011528626084,0.1044638454914093,0.10919731110334396,0.02674754522740841,0.028307337313890457,0.002487562131136656,0.10924092680215836,0.10642857104539871
b4c0a877-66fc6239,0.05,100,55174.75,4197.412470498938,0.028008248656988144,0.054346516728401184,0.016431113705039024,0.0009149248362518847,0.10679975152015686,0.11617142707109451,0.028307337313890457,0.029289428144693375,0.00273631839081645,0.11023101955652237,0.11571428924798965
