video_name,pruning_thresh,jepg_quality,head_time_mean,head_time_std,tail_time_mean,tail_time_std,encode_time_mean,encode_time_std,decode_time_mean,decode_time_std,request_time_mean,request_time_std
b4fe0b47-a7819060,0.05,60,16.199767332077027,1.3442922982908008,4.505738244056702,0.16614739090810016,7.559738564491272,0.8619707734607974,0.5272918379306794,0.07972564451990559,15.749835720062256,1.225529463800243
b4fe0b47-a7819060,0.05,70,16.10270845413208,1.061249158844897,4.500082573890686,0.1286173116285264,7.80759358882904,0.7012647753984772,0.5651254391670227,0.08706242116860656,15.686521215438843,0.8769172198720403
b4fe0b47-a7819060,0.05,80,16.67824764251709,1.3913057563127926,4.5511510372161865,0.6045456374214538,8.079957413673402,0.6479738410818076,0.6174492824077606,0.05590249377443479,15.802640933990478,1.0339346356837475
b4fe0b47-a7819060,0.05,90,16.847859182357787,1.2837864527695095,4.526011505126953,0.22412353169548038,8.534650893211365,0.6412568976422528,0.6942464029788971,0.12406920645629127,16.256414623260497,1.349985914068604
b4fe0b47-a7819060,0.05,100,16.473631696701048,1.299793805331375,4.496987853050232,0.11895061586552155,9.92651840686798,0.853437449732957,0.9177606415748596,0.09433634176776827,16.518217620849608,1.1747702662856427
b5fa32f1-4e9c7d32,0.05,60,15.967152633666991,0.8220476147344135,4.4591286444664,0.2344067305785337,7.480849294662476,0.6108962769531844,0.489887680709362,0.08260725272898933,15.768861455917358,1.314469923165726
b5fa32f1-4e9c7d32,0.05,70,16.343549098968506,1.1909410283979693,4.521271688938141,0.5522798362693355,7.6143462324142455,0.5869153065928648,0.5747993639111519,0.5945361200744318,15.726488008499146,1.1621331413908103
b5fa32f1-4e9c7d32,0.05,80,16.433782711029053,1.4415977026632727,4.536675496101379,0.6021932694079253,7.8458835411071775,0.6838086160550629,0.5762556800246239,0.05453424288071524,15.969427728652954,1.3355135283635813
b5fa32f1-4e9c7d32,0.05,90,16.82249409675598,1.7894328735162934,4.516839365959168,0.17391306975930204,8.613007998466491,0.6773570354922566,0.678589118719101,0.08150753130294845,16.271403427124024,1.0531448022796448
b5fa32f1-4e9c7d32,0.05,100,16.24854814529419,1.1438719872181748,4.6050659275054935,0.85609846405397,9.949472665786743,0.7925442359987641,0.9129619210958481,0.07252678043328518,16.386195821762087,1.1475493398697851
b4c0a877-66fc6239,0.05,60,16.380365104675292,1.3007400030750609,4.364979195594787,0.26497361187801266,7.219699854850769,0.9602514317472204,0.46844928085803983,0.06170345865120225,15.335009899139404,1.0487690570762018
b4c0a877-66fc6239,0.05,70,16.718228454589845,2.2252025564549185,4.432949123382568,0.7644740674739744,7.556298551559448,0.46697310635604405,0.5040748783946037,0.09003016392235763,15.610902996063233,1.5569793251427824
b4c0a877-66fc6239,0.05,80,16.077592935562134,1.2935906075985586,4.41775358915329,0.24364972187192088,7.622437763214111,0.6203818876822796,0.5342000013589859,0.06112246145194567,15.442576322555542,0.6873976880671593
b4c0a877-66fc6239,0.05,90,16.290980138778686,1.388995397982005,4.488465278148651,0.6676896013595174,8.079428496360778,0.6943473822569765,0.6271897596120835,0.08477010383010802,15.756438102722168,1.3030217455797395
b4c0a877-66fc6239,0.05,100,16.61963767051697,1.3964364749437153,4.473145272731781,0.5139773094275915,9.708406400680541,0.9691618570453424,0.9311625617742538,0.5584173368602865,16.33917314529419,1.4520904600941162
