pruning_thresh,quality,technique,bandwidth,drop,frame_id,model_head_time,model_tail_time,framework_head_time,framework_tail_time,framework_response_time,compression_time,decompression_time,overall_time
0.2,80,1,6000000.0,0.3,1,276.82281494140625,4.540800094604492,115.57923175022006,0.030880000442266464,16.713760375976562,59.43510437011719,0.0575999990105629,475.2452087402344
0.15,1,3,6000000.0,0.3,2,9.896384239196777,4.5382080078125,1.5278400182724,0.05104000121355057,41.98495864868164,145.8681640625,0.0817599967122078,239.413818359375
0.05,100,1,6000000.0,0.3,3,9.919391632080078,4.539584159851074,0.4454079903662205,0.03379200026392937,16.341407775878906,5.820000171661377,0.06348799914121628,38.39302444458008
0.05,60,1,6000000.0,0.3,4,9.92790412902832,4.499648094177246,0.6977279856801033,0.03174399957060814,14.31334400177002,5.10595178604126,0.06143999844789505,35.97475051879883
0.15,3,2,6000000.0,0.3,5,9.905311584472656,5.961503982543945,1.794912040233612,0.1141119971871376,69.13497924804688,2105.5634765625,0.19494399428367615,2252.47119140625
0.1,80,1,6000000.0,0.3,6,9.884544372558594,5.3955841064453125,0.9388480186462402,0.10489600151777267,17.477567672729492,4.0884480476379395,0.1743679940700531,38.00892639160156
0.1,70,1,8880000.000000002,0.3,7,10.006560325622559,4.5070719718933105,3.594239890575409,0.03276799991726875,15.230015754699707,4.499360084533691,0.06143999844789505,37.79811096191406
0.1,2,2,8880000.000000002,0.3,8,9.985471725463867,5.463967800140381,2.866656005382538,0.08748800307512283,53.789310455322266,1540.6658935546875,0.16019199788570404,1671.941650390625
0.15,2,2,8880000.000000002,0.3,9,9.988287925720215,4.54640007019043,1.7002560496330261,0.04774399846792221,43.821311950683594,1708.4664306640625,0.07708799839019775,1824.957275390625
0.15,4,2,8880000.000000002,0.2,10,9.92627239227295,5.509471893310547,1.5076799988746643,0.08761599659919739,53.08591842651367,2225.16259765625,0.15750400722026825,2353.352294921875
0.1,3,3,8880000.000000002,0.2,11,9.955424308776855,4.595839977264404,1.1724160313606262,0.050464000552892685,45.79401779174805,179.1063995361328,0.08115199953317642,278.3697509765625
0.15,90,1,8880000.000000002,0.2,12,9.932255744934082,4.584896087646484,0.7821119874715805,0.033376000821590424,14.500864028930664,4.867904186248779,0.06300800293684006,34.92067337036133
0,90,1,6000000.0,0.2,13,9.92636775970459,5.4944000244140625,1.1350080072879791,0.0681919977068901,17.909439086914062,4.786687850952148,0.13884800672531128,38.85366439819336
0.2,2,3,6000000.0,0.2,14,9.919327735900879,4.5675201416015625,1.4858559966087341,0.052000001072883606,43.22556686401367,162.66073608398438,0.08182399719953537,258.05218505859375
0.25,1,2,8880000.000000002,0.2,15,9.955327987670898,5.471007823944092,1.6200000047683716,0.08640000224113464,43.96828842163086,1335.462890625,0.15775999426841736,1439.3726806640625
0.25,5,3,8880000.000000002,0.2,16,9.944735527038574,5.406271934509277,1.8800320625305176,0.0907839983701706,52.379966735839844,123.56710052490234,0.16143999993801117,220.3272247314453
0.15,60,1,6000000.0,0.2,17,9.867424011230469,4.598015785217285,1.1823039799928665,0.03340800106525421,14.975199699401855,3.611327886581421,0.062111999839544296,33.96160125732422
0.25,1,2,6000000.0,0.2,18,9.903488159179688,5.4179840087890625,1.7439679503440857,0.08665599673986435,45.46905517578125,1401.4415283203125,0.15721599757671356,1510.263916015625
0.2,60,1,6000000.0,0.2,19,9.93017578125,5.5182719230651855,1.7170559763908386,0.06652799993753433,16.29987144470215,3.667327880859375,0.13820800185203552,35.38790512084961
0.15,4,3,6000000.0,0.4,20,9.899807929992676,5.483007907867432,2.1009920239448547,0.08934400230646133,66.1780776977539,161.55113220214844,0.15958400070667267,280.669677734375
0.15,100,1,6000000.0,0.4,21,10.01683235168457,5.359903812408447,1.3704639971256256,0.06716799736022949,18.428287506103516,6.8815999031066895,0.1369280070066452,41.09977722167969
0,100,1,6000000.0,0.4,22,9.942239761352539,4.517632007598877,1.5963840186595917,0.03299200162291527,15.476287841796875,5.755519866943359,0.06326399743556976,38.38457489013672
0.2,4,2,6000000.0,0.4,23,9.917823791503906,5.3857598304748535,1.9227200150489807,0.08713600039482117,51.04886245727539,2739.611328125,0.15676799416542053,2859.41064453125
0.25,70,1,6000000.0,0.4,24,9.971360206604004,5.468959808349609,0.6768959984183311,0.06598400324583054,17.545087814331055,4.664991855621338,0.13513599336147308,38.000545501708984
