pruning_thresh,quality,technique,bandwidth,drop,frame_id,sparsity,decomposability,regularity,pictoriality,compression_ratio,datasize_est,datasize_real,reconstruct_snr,target_cmp,target_snr,consumed_bw
0.05,1,2,8880000.000000002,0.4,46,0.4873451368343195,-1,-1,-1,13.0,26624,142843,11.075385808944702,-1,-1,-1
0.15,3,2,8880000.000000002,0.4,47,0.9132650702662722,-1,-1,-1,4.333333333333333,79872,183291,12.571874856948853,-1,-1,-1
0.2,2,3,8880000.000000002,0.4,48,0.9701830621301775,-1,-1,-1,67.07596899224806,5160,232633,11.618818044662476,-1,-1,-1
0.15,3,3,8880000.000000002,0.4,49,0.9318139792899408,-1,-1,-1,29.331525423728813,11800,253601,11.868200302124023,-1,-1,-1
0.05,2,3,8880000.000000002,0.2,50,0.5393629807692307,-1,-1,-1,4.341813437703848,79716,256585,11.860756874084473,-1,-1,-1
0.1,3,3,8880000.000000002,0.2,51,0.7746047522189349,-1,-1,-1,8.873301543352305,39006,257609,12.206299304962158,-1,-1,-1
0.25,3,3,8880000.000000002,0.2,52,0.9827801405325444,-1,-1,-1,116.14496644295302,2980,219533,11.701691150665283,-1,-1,-1
0.25,90,1,8880000.000000002,0.2,53,0.9872180103550295,-1,-1,-1,60.562029746281716,5715,6459,11.50359034538269,-1,-1,-1
0.2,90,1,8880000.000000002,0.2,54,0.962474574704142,-1,-1,-1,38.33761630482942,9028,9772,11.066135168075562,-1,-1,-1
0.2,100,1,8880000.000000002,0.2,55,0.9630061945266272,-1,-1,-1,10.360773513740046,33406,34150,10.116329193115234,-1,-1,-1
0,3,2,8880000.000000002,0.2,56,0.0,-1,-1,-1,4.333333333333333,79872,197124,12.478820085525513,-1,-1,-1
0,60,1,8880000.000000002,0.2,57,0.0,-1,-1,-1,70.72170004086637,4894,5638,11.90076470375061,-1,-1,-1
0.2,2,2,8880000.000000002,0.2,58,0.965051775147929,-1,-1,-1,6.5,53248,158063,9.37589406967163,-1,-1,-1
0.2,1,3,8880000.000000002,0.2,59,0.9459481323964497,-1,-1,-1,37.00149668590977,9354,207849,2.4454304575920105,-1,-1,-1
0,2,2,8880000.000000002,0.2,60,0.0,-1,-1,-1,6.5,53248,169979,nan,-1,-1,-1
0.1,5,2,8880000.000000002,0.2,61,0.7925758136094675,-1,-1,-1,2.6,133120,206316,6.612974405288696,-1,-1,-1
0.05,3,3,8880000.000000002,0.2,62,0.6003027921597633,-1,-1,-1,5.0037877692641315,69170,227549,11.698657274246216,-1,-1,-1
0.1,1,3,8880000.000000002,0.2,63,0.8063285872781065,-1,-1,-1,10.326769304212913,33516,225741,14.25042986869812,-1,-1,-1
0.25,2,3,8880000.000000002,0.2,64,0.9902574889053254,-1,-1,-1,205.2858837485172,1686,204689,13.754323720932007,-1,-1,-1
0.15,4,3,8880000.000000002,0.2,65,0.9230884800295858,-1,-1,-1,26.00390683696469,13310,230465,13.87186050415039,-1,-1,-1
0.15,80,1,8880000.000000002,0.2,66,0.9260239460059172,-1,-1,-1,58.51428571428571,5915,6659,13.917008638381958,-1,-1,-1
0.15,2,2,8880000.000000002,0.2,67,0.9195751664201184,-1,-1,-1,6.5,53248,159387,14.077328443527222,-1,-1,-1
0.25,70,1,8880000.000000002,0.2,68,0.9941984097633136,-1,-1,-1,150.28745115067304,2303,3047,12.604414224624634,-1,-1,-1
0.05,2,3,8880000.000000002,0.2,69,0.4373382026627219,-1,-1,-1,3.5545331306741157,97372,256585,13.951096534729004,-1,-1,-1
0.05,2,2,8880000.000000002,0.2,70,0.46694711538461536,-1,-1,-1,6.5,53248,169979,16.039905548095703,-1,-1,-1
0.05,5,2,8880000.000000002,0.2,71,0.4859929733727811,-1,-1,-1,2.6,133120,251396,20.046961307525635,-1,-1,-1
0.25,4,3,8880000.000000002,0.2,72,0.9870677699704142,-1,-1,-1,154.65236818588025,2238,200285,15.545202493667603,-1,-1,-1
0,5,3,8880000.000000002,0.2,73,0.00015024038461538462,-1,-1,-1,2.000300525920361,173030,259657,14.304336309432983,-1,-1,-1
0.05,1,3,8880000.000000002,0.2,74,0.48287259615384615,-1,-1,-1,3.8675188843695527,89492,255561,13.680602312088013,-1,-1,-1
0.1,4,2,8880000.000000002,0.2,75,0.7941360022189349,-1,-1,-1,3.25,106496,196283,16.626286506652832,-1,-1,-1
0,5,2,8880000.000000002,0.2,76,0.0,-1,-1,-1,2.6,133120,251396,20.450549125671387,-1,-1,-1
0.25,5,2,8880000.000000002,0.2,77,0.9812430658284024,-1,-1,-1,2.6,133120,147507,15.839903354644775,-1,-1,-1
0.15,5,2,8880000.000000002,0.2,78,0.8990731323964497,-1,-1,-1,2.6,133120,212196,16.894451379776,-1,-1,-1
0.2,60,1,8880000.000000002,0.2,79,0.9607410318047337,-1,-1,-1,154.44533690316823,2241,2985,12.292966842651367,-1,-1,-1
0.2,5,3,8880000.000000002,0.2,80,0.9679641272189349,-1,-1,-1,62.43001443001443,5544,247537,10.80723762512207,-1,-1,-1
0.1,5,3,8880000.000000002,0.2,81,0.8079350036982249,-1,-1,-1,10.413141584932909,33238,259657,12.322899103164673,-1,-1,-1
0.1,60,1,8880000.000000002,0.2,82,0.8233173076923077,-1,-1,-1,93.41754385964913,3705,4449,9.73085880279541,-1,-1,-1
0.2,5,2,8880000.000000002,0.2,83,0.969582100591716,-1,-1,-1,2.6,133120,198476,10.801844596862793,-1,-1,-1
0.05,90,1,8880000.000000002,0.2,84,0.38802468565088755,-1,-1,-1,14.15417331206805,24453,25197,18.977357149124146,-1,-1,-1
0.25,90,1,8880000.000000002,0.2,85,0.992811575443787,-1,-1,-1,58.692894692216385,5897,6641,17.788023948669434,-1,-1,-1
0,70,1,8880000.000000002,0.2,86,0.0,-1,-1,-1,92.10005321979776,3758,4502,12.750650644302368,-1,-1,-1
0.25,4,2,8880000.000000002,0.2,87,0.9906388683431953,-1,-1,-1,3.25,106496,112370,12.712383270263672,-1,-1,-1
0.05,1,2,6000000.0,0.2,88,0.4699519230769231,-1,-1,-1,13.0,26624,142843,13.194661140441895,-1,-1,-1
0.2,2,2,6000000.0,0.2,89,0.9682414940828402,-1,-1,-1,6.5,53248,167331,13.727128505706787,-1,-1,-1
0.2,70,1,6000000.0,0.4,90,0.9715814534023669,-1,-1,-1,75.11111111111111,4608,5352,13.803210258483887,-1,-1,-1
0.2,1,3,6000000.0,0.4,91,0.9757881841715976,-1,-1,-1,82.60429594272077,4190,253573,14.01504397392273,-1,-1,-1
0.15,1,2,6000000.0,0.4,92,0.9044586723372781,-1,-1,-1,13.0,26624,142843,14.415488243103027,-1,-1,-1
0.05,80,1,6000000.0,0.4,93,0.43666789940828404,-1,-1,-1,31.648866130212145,10936,11680,17.47970223426819,-1,-1,-1
0.15,60,1,6000000.0,0.4,94,0.909451275887574,-1,-1,-1,67.16708713370852,5153,5897,16.773314476013184,-1,-1,-1
0.05,5,3,6000000.0,0.4,95,0.42813886834319526,-1,-1,-1,3.497352572652682,98964,259657,18.50815176963806,-1,-1,-1
0.25,60,1,6000000.0,0.4,96,0.9849759615384616,-1,-1,-1,192.60545353366723,1797,2541,13.375511169433594,-1,-1,-1
0.1,60,1,6000000.0,0.4,97,0.7723280325443787,-1,-1,-1,125.13087490961678,2766,3510,12.959082126617432,-1,-1,-1
0.05,60,1,6000000.0,0.4,98,0.48502218934911245,-1,-1,-1,98.43913538111491,3516,4260,13.549261093139648,-1,-1,-1
0,5,2,6000000.0,0.4,99,0.0,-1,-1,-1,2.6,133120,251396,19.426811933517456,-1,-1,-1
0.2,1,2,6000000.0,0.4,100,0.9664039386094675,-1,-1,-1,13.0,26624,139507,18.979463577270508,-1,-1,-1
0,2,3,6000000.0,0.4,101,0.0,-1,-1,-1,2.0,173056,256585,20.947670936584473,-1,-1,-1
0.25,1,3,6000000.0,0.4,102,0.9882928069526628,-1,-1,-1,170.83514313919054,2026,221765,19.021979570388794,-1,-1,-1
0.1,2,2,6000000.0,0.4,103,0.7863235022189349,-1,-1,-1,6.5,53248,169979,19.62235689163208,-1,-1,-1
0,3,3,6000000.0,0.4,104,1.1556952662721893e-05,-1,-1,-1,2.0000231141724547,173054,257609,19.77898359298706,-1,-1,-1
0.1,4,3,6000000.0,0.4,105,0.7833071375739645,-1,-1,-1,9.229653333333333,37500,258633,20.214309692382812,-1,-1,-1
0,4,2,6000000.0,0.4,106,1.1556952662721893e-05,-1,-1,-1,3.25,106496,224260,22.742133140563965,-1,-1,-1
0.1,90,1,6000000.0,0.4,107,0.8040980954142012,-1,-1,-1,31.212192262602578,11089,11833,21.905369758605957,-1,-1,-1
0.1,3,2,6000000.0,0.4,108,0.7628282174556213,-1,-1,-1,4.333333333333333,79872,197124,23.1404447555542,-1,-1,-1
0.15,100,1,6000000.0,0.4,109,0.9097170857988166,-1,-1,-1,7.643816254416961,45280,46024,23.85838508605957,-1,-1,-1
0.25,80,1,6000000.0,0.4,110,0.9902806028106509,-1,-1,-1,149.8969250757904,2309,3053,21.168196201324463,-1,-1,-1
0,4,3,6000000.0,0.4,111,0.0,-1,-1,-1,2.0,173056,258633,17.01440453529358,-1,-1,-1
0.25,60,1,8880000.000000002,0.4,112,0.9829534948224852,-1,-1,-1,189.2356478950246,1829,2573,15.797247886657715,-1,-1,-1
0.1,80,1,8880000.000000002,0.4,113,0.7769508136094675,-1,-1,-1,48.46149537944553,7142,7886,18.242608308792114,-1,-1,-1
0.25,2,2,8880000.000000002,0.4,114,0.9922452847633136,-1,-1,-1,6.5,53248,114362,17.79399037361145,-1,-1,-1
0,80,1,8880000.000000002,0.4,115,0.0,-1,-1,-1,28.04115693105404,12343,13087,21.911392211914062,-1,-1,-1
0.05,70,1,8880000.000000002,0.4,116,0.47525656434911245,-1,-1,-1,66.81698841698842,5180,5924,20.690464973449707,-1,-1,-1
0.05,100,1,8880000.000000002,0.4,117,0.4576206545857988,-1,-1,-1,6.426857800720467,53854,54598,31.79973602294922,-1,-1,-1
0.05,4,2,8880000.000000002,0.4,118,0.5451530140532544,-1,-1,-1,3.25,106496,224260,28.67459774017334,-1,-1,-1
0.25,80,1,8880000.000000002,0.4,119,0.9798909023668639,-1,-1,-1,107.7223778400249,3213,3957,23.35911512374878,-1,-1,-1
0,70,1,8880000.000000002,0.2,120,0.0,-1,-1,-1,90.46314688970205,3826,4570,22.4782395362854,-1,-1,-1
0.15,2,3,8880000.000000002,0.2,121,0.9049671782544378,-1,-1,-1,21.04536057399976,16446,256585,21.645898818969727,-1,-1,-1
0.2,4,3,8880000.000000002,0.2,122,0.9546389607988166,-1,-1,-1,44.09070063694268,7850,236501,20.277090072631836,-1,-1,-1
0.2,70,1,8880000.000000002,0.2,123,0.9621740939349113,-1,-1,-1,137.18271898533493,2523,3267,18.84101629257202,-1,-1,-1
0.05,70,1,8880000.000000002,0.2,124,0.577628051035503,-1,-1,-1,66.80409187415557,5181,5925,19.70454216003418,-1,-1,-1
0.05,80,1,8880000.000000002,0.2,125,0.5679664386094675,-1,-1,-1,37.90100744634253,9132,9876,20.889229774475098,-1,-1,-1
0,2,2,8880000.000000002,0.2,126,0.0,-1,-1,-1,6.5,53248,169979,21.33934736251831,-1,-1,-1
0.15,5,3,8880000.000000002,0.2,127,0.9056605954142012,-1,-1,-1,21.20004900159255,16326,257637,20.571420192718506,-1,-1,-1
0.15,4,2,8880000.000000002,0.2,128,0.9079719859467456,-1,-1,-1,3.25,106496,217268,20.933918952941895,-1,-1,-1
0.1,2,3,8880000.000000002,0.2,129,0.7571999815088757,-1,-1,-1,8.23723166262078,42018,256585,21.219758987426758,-1,-1,-1
0.2,5,2,6000000.0,0.4,130,0.9682299371301775,-1,-1,-1,2.6,133120,167107,20.76350688934326,-1,-1,-1
0.2,3,3,6000000.0,0.4,131,0.9674902921597633,-1,-1,-1,61.52008531816566,5626,227549,19.719771146774292,-1,-1,-1
0.05,2,2,6000000.0,0.4,132,0.4658607618343195,-1,-1,-1,6.5,53248,169979,21.529548168182373,-1,-1,-1
0.25,100,1,6000000.0,0.4,133,0.9857502773668639,-1,-1,-1,14.418930178303617,24004,24748,20.697154998779297,-1,-1,-1
0.25,5,2,6000000.0,0.4,134,0.9876918454142012,-1,-1,-1,2.6,133120,123978,19.736311435699463,-1,-1,-1
0.25,4,2,6000000.0,0.4,135,0.9908815643491125,-1,-1,-1,3.25,106496,112370,18.858885765075684,-1,-1,-1
0,1,2,6000000.0,0.4,136,0.0,-1,-1,-1,13.0,26624,142843,19.360543489456177,-1,-1,-1
0.1,5,2,6000000.0,0.4,137,0.7887851331360947,-1,-1,-1,2.6,133120,251396,22.894673347473145,-1,-1,-1
0.05,4,3,6000000.0,0.4,138,0.4977348372781065,-1,-1,-1,3.9819604233778185,86920,258633,22.233023643493652,-1,-1,-1
0.25,3,3,6000000.0,0.4,139,0.9815666605029586,-1,-1,-1,108.49905956112853,3190,205505,20.473642349243164,-1,-1,-1
0.05,5,3,6000000.0,0.4,140,0.6255085059171598,-1,-1,-1,5.340575237624985,64808,259657,19.948848485946655,-1,-1,-1
0.1,4,3,6000000.0,0.4,141,0.7913738905325444,-1,-1,-1,9.586527808553068,36104,232477,19.848872423171997,-1,-1,-1
0,3,3,6000000.0,0.4,142,8.089866863905326e-05,-1,-1,-1,2.0001618104275263,173042,257609,19.098888635635376,-1,-1,-1
0.15,2,3,6000000.0,0.4,143,0.9108958949704142,-1,-1,-1,22.445654993514914,15420,226645,18.831812143325806,-1,-1,-1
0.15,1,2,6000000.0,0.4,144,0.9274338942307693,-1,-1,-1,13.0,26624,123930,18.782707452774048,-1,-1,-1
0.25,1,3,6000000.0,0.4,145,0.9821445081360947,-1,-1,-1,112.01035598705502,3090,201885,17.8204345703125,-1,-1,-1
0.1,70,1,6000000.0,0.4,146,0.8211908284023669,-1,-1,-1,122.04231311706629,2836,3580,12.430551052093506,-1,-1,-1
0.15,5,2,6000000.0,0.4,147,0.9090121116863905,-1,-1,-1,2.6,133120,229836,14.688628911972046,-1,-1,-1
0,100,1,6000000.0,0.4,148,5.7784763313609464e-05,-1,-1,-1,7.185964912280702,48165,48909,36.56193256378174,-1,-1,-1
0.05,90,1,8880000.000000002,0.4,149,0.5843773113905325,-1,-1,-1,52.03126879134095,6652,7396,24.586186408996582,-1,-1,-1
0.1,90,1,8880000.000000002,0.2,150,0.7755524223372781,-1,-1,-1,49.63602466657106,6973,7717,22.502918243408203,-1,-1,-1
0.2,3,2,8880000.000000002,0.2,151,0.9634800295857988,-1,-1,-1,4.333333333333333,79872,180219,19.821321964263916,-1,-1,-1
0.05,3,3,8880000.000000002,0.2,152,0.5294817862426036,-1,-1,-1,4.250632476113281,81426,257609,17.988163232803345,-1,-1,-1
0.05,1,3,8880000.000000002,0.2,153,0.5444711538461539,-1,-1,-1,4.3905013192612135,78832,255561,16.185559034347534,-1,-1,-1
0.15,1,3,6000000.0,0.2,154,0.8972124630177515,-1,-1,-1,19.457611873172926,17788,237669,15.352582931518555,-1,-1,-1
0,3,2,6000000.0,0.2,155,4.622781065088757e-05,-1,-1,-1,4.333333333333333,79872,197124,20.3641414642334,-1,-1,-1
0.2,100,1,6000000.0,0.2,156,0.9545002773668639,-1,-1,-1,9.755129650507328,35480,36224,19.34261918067932,-1,-1,-1
0.05,3,2,6000000.0,0.2,157,0.5583741678994083,-1,-1,-1,4.333333333333333,79872,197124,21.44115447998047,-1,-1,-1
0.15,5,3,6000000.0,0.2,158,0.9038923816568047,-1,-1,-1,20.81000481000481,16632,229357,18.575845956802368,-1,-1,-1
0.25,3,2,6000000.0,0.2,159,0.984039848372781,-1,-1,-1,4.333333333333333,79872,135675,16.744723320007324,-1,-1,-1
0.25,2,3,6000000.0,0.4,160,0.9808385724852071,-1,-1,-1,104.37635705669481,3316,214669,15.273231267929077,-1,-1,-1
0.2,5,3,6000000.0,0.4,161,0.957944249260355,-1,-1,-1,47.55592195658148,7278,223297,14.709265232086182,-1,-1,-1
0.1,2,3,8880000.000000002,0.4,162,0.8058316383136095,-1,-1,-1,10.30033926551991,33602,238621,15.451478958129883,-1,-1,-1
0.1,5,3,8880000.000000002,0.4,163,0.8134938979289941,-1,-1,-1,10.723509728590903,32276,233397,15.907331705093384,-1,-1,-1
0.15,70,1,8880000.000000002,0.4,164,0.9077292899408284,-1,-1,-1,121.99929502996123,2837,3581,15.125126838684082,-1,-1,-1
0.1,4,2,6000000.0,0.4,165,0.7996486686390533,-1,-1,-1,3.25,106496,217268,17.999978065490723,-1,-1,-1
0.2,3,2,6000000.0,0.4,166,0.9579326923076923,-1,-1,-1,4.333333333333333,79872,169467,16.91056489944458,-1,-1,-1
0,1,2,6000000.0,0.4,167,0.0,-1,-1,-1,13.0,26624,142843,16.593655347824097,-1,-1,-1
0.2,4,2,6000000.0,0.4,168,0.9583834134615384,-1,-1,-1,3.25,106496,187543,16.31623148918152,-1,-1,-1
0,5,3,6000000.0,0.4,169,0.0,-1,-1,-1,2.0,173056,259657,15.21161675453186,-1,-1,-1
0.25,4,3,6000000.0,0.4,170,0.9871255547337278,-1,-1,-1,155.34649910233392,2228,220405,14.453401565551758,-1,-1,-1
0.25,100,1,6000000.0,0.4,171,0.990315273668639,-1,-1,-1,23.26646948104329,14876,15620,13.899869918823242,-1,-1,-1
0,4,2,6000000.0,0.4,172,0.0,-1,-1,-1,3.25,106496,224260,19.24069881439209,-1,-1,-1
0,1,3,6000000.0,0.4,173,0.0,-1,-1,-1,2.0,173056,255561,16.67083501815796,-1,-1,-1
0.15,70,1,6000000.0,0.4,174,0.9185350406804734,-1,-1,-1,107.85665316297911,3209,3953,15.430370569229126,-1,-1,-1
0.05,3,2,6000000.0,0.4,175,0.4927422337278107,-1,-1,-1,4.333333333333333,79872,197124,17.90347695350647,-1,-1,-1
0.25,5,3,6000000.0,0.4,176,0.9832077477810651,-1,-1,-1,119.10254645560909,2906,207137,15.480116605758667,-1,-1,-1
0.1,1,2,6000000.0,0.4,177,0.7835036057692307,-1,-1,-1,13.0,26624,141731,15.011465549468994,-1,-1,-1
0,4,3,6000000.0,0.4,178,0.0,-1,-1,-1,2.0,173056,258633,14.798038005828857,-1,-1,-1
0,80,1,6000000.0,0.4,179,0.0,-1,-1,-1,55.42225780624499,6245,6989,16.246721744537354,-1,-1,-1
0.25,4,3,6000000.0,0.4,180,0.9885701738165681,-1,-1,-1,174.98078867542972,1978,232477,14.811419248580933,154.65236818588025,14.99930202960968,188380.9523809524
0.25,4,3,6000000.0,0.4,181,0.9905232988165681,-1,-1,-1,211.04390243902438,1640,210345,13.804465532302856,154.65236818588025,14.99930202960968,156190.4761904762
0.25,4,3,6000000.0,0.4,182,0.9912398298816568,-1,-1,-1,228.30606860158312,1516,208333,12.871508598327637,154.65236818588025,14.99930202960968,144380.9523809524
0.25,4,3,6000000.0,0.4,183,0.9935743343195266,-1,-1,-1,311.2517985611511,1112,192228,12.405270338058472,154.65236818588025,14.99930202960968,105904.76190476192
0.25,4,3,6000000.0,0.4,184,0.9917945636094675,-1,-1,-1,243.74084507042252,1420,204309,11.879229545593262,154.65236818588025,14.99930202960968,135238.09523809527
0.25,4,3,6000000.0,0.4,185,0.9918754622781065,-1,-1,-1,246.1678520625889,1406,202297,11.615573167800903,154.65236818588025,14.99930202960968,133904.76190476192
0.25,4,3,6000000.0,0.4,186,0.9940250554733728,-1,-1,-1,334.73114119922633,1034,206321,11.268941164016724,154.65236818588025,14.99930202960968,98476.19047619049
0.25,4,3,6000000.0,0.4,187,0.9932854105029586,-1,-1,-1,297.85886402753874,1162,190216,10.914229154586792,154.65236818588025,14.99930202960968,110666.66666666667
0.25,4,3,6000000.0,0.4,188,0.9914709689349113,-1,-1,-1,234.49322493224932,1476,188204,10.629918575286865,154.65236818588025,14.99930202960968,140571.42857142858
0.25,4,3,6000000.0,0.4,189,0.9939672707100592,-1,-1,-1,331.5249042145594,1044,196252,10.50816535949707,154.65236818588025,14.99930202960968,99428.57142857143
0.25,4,3,6000000.0,0.4,190,0.991147374260355,-1,-1,-1,225.92167101827675,1532,198273,10.36676287651062,154.65236818588025,14.99930202960968,145904.76190476192
0.25,4,3,6000000.0,0.4,191,0.987160225591716,-1,-1,-1,155.76597659765977,2222,192228,10.145609378814697,154.65236818588025,14.99930202960968,211619.04761904763
0.25,4,3,6000000.0,0.4,192,0.9882350221893491,-1,-1,-1,169.99607072691552,2036,200285,9.992865920066833,154.65236818588025,14.99930202960968,193904.76190476192
0.25,4,3,6000000.0,0.4,193,0.9898298816568047,-1,-1,-1,196.65454545454546,1760,192228,9.838051795959473,154.65236818588025,14.99930202960968,167619.04761904763
0.25,4,3,6000000.0,0.4,194,0.9913900702662722,-1,-1,-1,232.28993288590604,1490,192228,9.821863174438477,154.65236818588025,14.99930202960968,141904.76190476192
0.25,4,3,6000000.0,0.4,195,0.993724574704142,-1,-1,-1,318.70349907918967,1086,192228,9.785448908805847,154.65236818588025,14.99930202960968,103428.57142857143
0.25,4,3,6000000.0,0.4,196,0.9926728920118343,-1,-1,-1,272.9589905362776,1268,198273,9.710386395454407,154.65236818588025,14.99930202960968,120761.90476190478
0.25,4,3,6000000.0,0.4,197,0.9929155880177515,-1,-1,-1,282.3099510603589,1226,198273,9.63657259941101,154.65236818588025,14.99930202960968,116761.90476190478
0.25,4,3,6000000.0,0.4,198,0.9946260170118343,-1,-1,-1,372.1634408602151,930,190216,9.581172466278076,154.65236818588025,14.99930202960968,88571.42857142858
