frame_id,bandwidth,drop,target_fps,technique,feasibility,target_cmp,target_snr,est_cmp,est_snr,pruning_thresh,quality,jpeg_F,decom_F,reg_F,opt_time
312,6000000.0,0.4,5,3,1,5.493841269841271,11,104.18783865141481,13.095529079437256,0.24,4,-1/-1/-1,0.24/1/13.000000000000002,0.24/4/104.18783865141481,3667.399904
313,6000000.0,0.4,5,3,1,5.493841269841271,11,103.46711960368015,11.468486785888667,0.23,4,-1/-1/-1,0.24/1/13.000000000000002,0.23/4/103.46711960368015,3688.170243
314,6000000.0,0.4,5,3,1,5.493841269841271,11,82.05401891866913,13.232227414846424,0.21,3,-1/-1/-1,0.24/1/13.000000000000002,0.21/3/82.05401891866913,3699.168371
315,6000000.0,0.4,5,3,1,5.493841269841271,11,81.39682002771801,11.670317530632019,0.22,2,-1/-1/-1,0.24/1/13.000000000000002,0.22/2/81.39682002771801,3700.001669
316,6000000.0,0.4,5,3,1,5.493841269841271,11,69.01448884646351,11.176820486783981,0.22,5,-1/-1/-1,0.24/1/13.000000000000002,0.22/5/69.01448884646351,3741.543531
317,6000000.0,0.4,5,3,1,5.493841269841271,11,66.07712867506682,13.186389207839966,0.2,2,-1/-1/-1,0.24/1/13.000000000000002,0.2/2/66.07712867506682,3773.015672
318,6000000.0,0.4,5,3,1,5.493841269841271,11,61.52008531816566,15.755171179771423,0.2,3,-1/-1/-1,0.24/1/13.000000000000002,0.2/3/61.52008531816566,3768.534678
322,3399999.9999999986,0.4,5,3,1,9.695014005602246,11,59.42260486675926,15.01887857913972,0.21,4,-1/-1/-1,0.24/1/13.000000000000002,0.21/4/59.42260486675926,3775.31185
324,6000000.0,0.4,5,3,1,5.493841269841271,11,47.55592195658148,12.758251428604126,0.2,5,-1/-1/-1,0.24/1/13.000000000000002,0.2/5/47.55592195658148,3776.936973
333,800000.0000000007,0.4,5,3,1,41.20380952380949,11,121.44280701754386,11.568366289138794,0.2,5,-1/-1/-1,-1/-1/-1,0.2/5/121.44280701754386,3754.999825
340,800000.0000000007,0.5,5,3,1,41.20380952380949,7,127.43446244477173,12.157235145568848,0.2,5,-1/-1/-1,-1/-1/-1,0.2/5/127.43446244477173,3748.675783
344,3399999.9999999986,0.5,5,3,1,9.695014005602246,7,123.25925925925925,9.910346865653992,0.21,4,-1/-1/-1,0.24/1/13.000000000000002,0.21/4/123.25925925925925,3746.910497
362,3399999.9999999986,0.5,5,3,1,9.695014005602246,7,123.25925925925925,8.532285690307617,0.24,4,-1/-1/-1,0.24/1/13.000000000000002,0.24/4/123.25925925925925,3763.318502
363,3399999.9999999986,0.5,5,3,1,9.695014005602246,7,112.01035598705502,10.227793157100677,0.25,1,-1/-1/-1,0.24/1/13.000000000000002,0.25/1/112.01035598705502,3779.696905
364,3399999.9999999986,0.5,5,3,1,9.695014005602246,7,104.37635705669481,9.396210014820099,0.25,2,-1/-1/-1,0.24/1/13.000000000000002,0.25/2/104.37635705669481,3727.314392
365,3399999.9999999986,0.5,5,3,1,9.695014005602246,7,101.20233918128655,8.804674074053764,0.25,5,-1/-1/-1,0.24/1/13.000000000000002,0.25/5/101.20233918128655,3774.024174
366,3399999.9999999986,0.5,5,3,1,9.695014005602246,7,93.9500542888165,12.306956052780151,0.2,5,-1/-1/-1,0.24/1/13.000000000000002,0.2/5/93.9500542888165,3765.059276
368,6000000.0,0.5,5,3,1,5.493841269841271,7,60.03596069192882,7.864293903112413,0.21,2,-1/-1/-1,0.24/1/13.000000000000002,0.21/2/60.03596069192882,3787.660471
370,6000000.0,0.4,5,3,1,5.493841269841271,11,44.09070063694268,20.277090072631836,0.2,4,-1/-1/-1,0.24/1/13.000000000000002,0.2/4/44.09070063694268,3828.134694
377,3399999.9999999986,0.4,5,3,1,9.695014005602246,11,111.36164736164736,11.305736899375916,0.2,4,-1/-1/-1,0.24/1/13.000000000000002,0.2/4/111.36164736164736,3828.775733
380,6000000.0,0.4,5,3,1,5.493841269841271,11,134.5692068429238,11.70867145061493,0.2,4,-1/-1/-1,0.24/1/13.000000000000002,0.2/4/134.5692068429238,3810.902609
