time,signal,rx bitrate, tx bitrate,mcs_number_rx,mcs_number_tx,bandwidth_tx,bandwidth_rx,connections,bitrate1 5G,bitrate2 5G
28.212214899,-36dBm,117.0_MBit/s_MCS_14_____,117.0_MBit/s_MCS_14_____,14,14,117,117,4,156.6,156.6
28.230532372,-36dBm,130.0_MBit/s_MCS_15_____,117.0_MBit/s_MCS_14_____,15,14,117,130,4,156.6,173.6
28.239258276,-38dBm,130.0_MBit/s_MCS_15_____,117.0_MBit/s_MCS_14_____,15,14,117,130,4,156.6,173.6
28.33679778,-35dBm,117.0_MBit/s_MCS_14_____,117.0_MBit/s_MCS_14_____,14,14,117,117,4,156.6,156.6
28.483781138,-35dBm,104.0_MBit/s_MCS_13_____,117.0_MBit/s_MCS_14_____,13,14,117,104,4,156.6,141.4
29.518520204,-39dBm,130.0_MBit/s_MCS_15_____,130.0_MBit/s_MCS_15_____,15,15,130,130,4,173.6,173.6
29.896163467,-35dBm,130.0_MBit/s_MCS_15_____,130.0_MBit/s_MCS_15_____,15,15,130,130,4,173.6,173.6
30.351330782,-37dBm,130.0_MBit/s_MCS_15_____,130.0_MBit/s_MCS_14_short_GI___,15,14,130,130,4,156.6,173.6
30.378447883,-36dBm,130.0_MBit/s_MCS_15_____,130.0_MBit/s_MCS_14_short_GI___,15,14,130,130,4,156.6,173.6
30.43027669,-37dBm,117.0_MBit/s_MCS_14_____,130.0_MBit/s_MCS_14_short_GI___,14,14,130,117,4,156.6,156.6
30.433044412,-35dBm,117.0_MBit/s_MCS_14_____,130.0_MBit/s_MCS_14_short_GI___,14,14,130,117,4,156.6,156.6
30.57400065,-35dBm,130.0_MBit/s_MCS_15_____,130.0_MBit/s_MCS_14_short_GI___,15,14,130,130,4,156.6,173.6
30.794599124,-38dBm,130.0_MBit/s_MCS_15_____,130.0_MBit/s_MCS_14_short_GI___,15,14,130,130,4,156.6,173.6
30.837309612,-36dBm,117.0_MBit/s_MCS_14_____,130.0_MBit/s_MCS_14_short_GI___,14,14,130,117,4,156.6,156.6
31.221542746,-36dBm,104.0_MBit/s_MCS_13_____,130.0_MBit/s_MCS_14_short_GI___,13,14,130,104,4,156.6,141.4
31.224291142,-35dBm,104.0_MBit/s_MCS_13_____,130.0_MBit/s_MCS_14_short_GI___,13,14,130,104,4,156.6,141.4
31.506145494,-35dBm,117.0_MBit/s_MCS_14_____,144.4_MBit/s_MCS_15_short_GI___,14,15,144.4,117,4,173.6,156.6
31.571779756,-36dBm,130.0_MBit/s_MCS_15_____,144.4_MBit/s_MCS_15_short_GI___,15,15,144.4,130,4,173.6,173.6
31.748793213,-35dBm,104.0_MBit/s_MCS_13_____,144.4_MBit/s_MCS_15_short_GI___,13,15,144.4,104,4,173.6,141.4
32.351720046,-35dBm,130.0_MBit/s_MCS_15_____,144.4_MBit/s_MCS_15_short_GI___,15,15,144.4,130,4,173.6,173.6
32.377473375,-36dBm,144.4_MBit/s_MCS_15_short_GI___,144.4_MBit/s_MCS_15_short_GI___,15,15,144.4,144.4,4,173.6,173.6
32.425105955,-41dBm,144.4_MBit/s_MCS_15_short_GI___,144.4_MBit/s_MCS_15_short_GI___,15,15,144.4,144.4,4,173.6,173.6
32.494484358,-37dBm,144.4_MBit/s_MCS_15_short_GI___,130.0_MBit/s_MCS_14_short_GI___,15,14,130,144.4,4,156.6,173.6
32.500384985,-36dBm,144.4_MBit/s_MCS_15_short_GI___,130.0_MBit/s_MCS_14_short_GI___,15,14,130,144.4,4,156.6,173.6
32.643656243,-35dBm,130.0_MBit/s_MCS_14_short_GI___,130.0_MBit/s_MCS_14_short_GI___,14,14,130,130,4,156.6,156.6
33.08031506,-35dBm,130.0_MBit/s_MCS_14_short_GI___,144.4_MBit/s_MCS_15_short_GI___,14,15,144.4,130,4,173.6,156.6
33.704074755,-36dBm,130.0_MBit/s_MCS_14_short_GI___,130.0_MBit/s_MCS_14_short_GI___,14,14,130,130,4,156.6,156.6
33.707006789,-37dBm,130.0_MBit/s_MCS_14_short_GI___,130.0_MBit/s_MCS_14_short_GI___,14,14,130,130,4,156.6,156.6
33.844990125,-36dBm,115.6_MBit/s_MCS_13_short_GI___,130.0_MBit/s_MCS_14_short_GI___,13,14,130,115.6,4,156.6,141.4
33.848873108,-36dBm,86.7_MBit/s_MCS_12_short_GI___,130.0_MBit/s_MCS_14_short_GI___,12,14,130,86.7,4,156.6,121.6
33.913065372,-36dBm,57.8_MBit/s_MCS_11_short_GI___,130.0_MBit/s_MCS_14_short_GI___,11,14,130,57.8,4,156.6,103.8
