pruning_thresh,target_sparsity,quality,technique,bandwidth,mAP_drop,frame_id,model_head_time,model_tail_time,framework_head_time,framework_tail_time,framework_response_time,compression_time,decompression_time,overall_time
0.001,0.0,80,1,24980287.2799289,40,1,255.00936889648438,4.535647869110107,151.6464566141367,0.030719999223947525,16.347551345825195,36.60572814941406,0.058368001133203506,465.4352722167969
0.001,0.0,70,1,24921226.837982114,40,2,9.962976455688477,4.588863849639893,1.499583974480629,0.029472000896930695,14.39094352722168,2.7034881114959717,0.056095998734235764,32.0847053527832
0.001,0.0,67,1,24823051.52255152,40,3,9.970272064208984,4.621151924133301,1.378240019083023,0.029440000653266907,13.721920013427734,3.6532158851623535,0.056095998734235764,32.063201904296875
0.001,0.0,69,1,24686148.39413932,40,4,9.934687614440918,4.593535900115967,1.45305597782135,0.03276799991726875,15.732288360595703,3.344896078109741,0.09113600105047226,33.84748840332031
0.001,0.0,68,1,24511057.19935495,40,5,9.977408409118652,4.630943775177002,1.3544639497995377,0.030271999537944794,14.755840301513672,3.181727886199951,0.05686400085687637,32.68918228149414
0.001,0.0,68,1,24298468.24294036,40,6,9.939007759094238,4.514463901519775,1.4305279552936554,0.02969600073993206,15.256287574768066,3.252255916595459,0.055296000093221664,33.38249588012695
0.001,0.0,68,1,24049219.666213144,40,7,9.982399940490723,4.537439823150635,1.3863360583782196,0.029279999434947968,15.576000213623047,3.3277759552001953,0.055296000093221664,33.75523376464844
0.001,0.0,91,1,23764294.142657533,40,8,9.960672378540039,4.485919952392578,1.389055997133255,0.028672000393271446,14.36076831817627,4.226912021636963,0.054687999188899994,33.23817443847656
0.001,0.0,96,1,23444815.00369093,40,9,9.950079917907715,8.74835205078125,1.376351997256279,0.02969600073993206,18.273151397705078,4.138175964355469,0.05734400078654289,37.066368103027344
0.001,0.0,94,1,23092041.809880324,40,10,9.938015937805176,4.462592124938965,1.354944035410881,0.02969600073993206,14.080544471740723,3.6789119243621826,0.05567999929189682,32.40079879760742
0.001,0.0,93,1,22707365.38506935,40,11,9.931839942932129,4.5978240966796875,1.339680016040802,0.0307839997112751,16.096384048461914,3.561728000640869,0.0586559996008873,34.30342483520508
0.001,0.0,89,1,22292302.332994066,40,12,9.933279991149902,4.791903972625732,1.318528026342392,0.031647998839616776,15.001952171325684,3.5186240673065186,0.061344001442193985,33.08243179321289
0.001,0.0,90,1,21848489.05800595,40,13,9.939743995666504,4.564799785614014,1.3473920077085495,0.03049599938094616,14.897631645202637,3.5772480964660645,0.059647999703884125,33.20185470581055
0.001,0.0,91,1,21377675.313475743,40,14,9.918975830078125,4.577919960021973,1.319295972585678,0.02937600016593933,14.235520362854004,3.5000319480895996,0.06419199705123901,32.2716178894043
0.001,0.0,91,1,20881717.30331375,40,15,9.92460823059082,4.50867223739624,1.3344960063695908,0.049215998500585556,14.607135772705078,3.521536111831665,0.08089599758386612,32.710975646972656
0.001,0.0,93,1,20362570.36380424,40,16,9.934975624084473,4.687295913696289,1.3764800429344177,0.048287998884916306,15.50550365447998,3.741503953933716,0.10547199845314026,34.02937698364258
0.001,0.0,93,1,19822281.25460608,40,17,9.943424224853516,4.536831855773926,1.363040030002594,0.029472000896930695,13.746047973632812,3.7395520210266113,0.05660799890756607,32.11270523071289
0.001,0.0,93,1,19262980.089312688,40,18,9.95088005065918,4.534272193908691,1.3482240438461304,0.02969600073993206,14.026368141174316,3.8015360832214355,0.055296000093221664,32.4571533203125
0.001,0.0,93,1,18686871.937385432,40,19,9.98742389678955,4.671328067779541,1.349984034895897,0.057631999254226685,14.3154878616333,3.6690878868103027,0.10044799745082855,32.653343200683594
0.001,0.0,78,1,18096228.13057024,40,20,9.938559532165527,4.583263874053955,1.3731520175933838,0.028960000723600388,14.87491226196289,3.1753599643707275,0.05507199838757515,32.68143844604492
0.001,0.0,71,1,17493377.308072213,40,21,9.911104202270508,4.529952049255371,1.315520003437996,0.029664000496268272,14.130463600158691,2.564192056655884,0.05526399984955788,31.201759338378906
0.001,0.0,77,1,16880696.235793047,40,22,9.960831642150879,4.556735992431641,1.3196160197257996,0.04710400104522705,13.634592056274414,2.5291519165039062,0.08099199831485748,30.7291202545166
0.001,0.0,77,1,16260600.435826892,40,23,9.937631607055664,4.533792018890381,1.3673600405454636,0.029311999678611755,13.434207916259766,2.414623975753784,0.05593600124120712,30.56025505065918
0.001,0.0,90,1,15635534.663158145,40,24,9.956607818603516,4.870207786560059,1.3818240463733673,0.028672000393271446,15.64515209197998,2.895711898803711,0.054336000233888626,33.18278503417969
0.001,0.0,95,1,15007963.267107332,40,25,9.932767868041992,4.577055931091309,1.3375359624624252,0.030688000842928886,15.101792335510254,3.9951679706573486,0.05875200033187866,33.7191047668457
0.001,0.0,94,1,14380360.475525454,40,26,9.941951751708984,4.6102399826049805,1.3457279950380325,0.029823999851942062,14.355135917663574,3.53654408454895,0.05756799876689911,32.57097625732422
0.001,0.0,92,1,13755200.640041763,40,27,9.942975997924805,4.544544219970703,1.3446080535650253,0.031488001346588135,13.947551727294922,3.5739200115203857,0.06102399900555611,32.21788787841797
0.001,0.0,71,1,13134948.480823584,40,28,9.957599639892578,4.638751983642578,0.895584013313055,0.03379200026392937,16.332063674926758,3.95033597946167,0.0870399996638298,36.36288070678711
0.001,0.0,61,1,12522049.369308548,40,29,9.957792282104492,4.635551929473877,1.3625279664993286,0.03254399821162224,15.862943649291992,2.3514559268951416,0.06307200342416763,32.935935974121094
0.001,0.0,68,1,11918919.687220076,40,30,9.957311630249023,4.579584121704102,1.3185919970273972,0.02969600073993206,14.571647644042969,2.47107195854187,0.05641600117087364,31.601247787475586
0.001,0.0,70,1,11327937.299876085,40,31,9.93712043762207,4.681471824645996,1.3675199449062347,0.030848000198602676,15.124383926391602,2.4863998889923096,0.06022400036454201,32.23574447631836
0.001,0.0,79,1,10751432.18135031,40,32,9.941568374633789,4.671135902404785,1.3764159977436066,0.07577600330114365,15.033087730407715,2.4758079051971436,0.12083200365304947,32.24905776977539
