pruning_thresh,target_sparsity,quality,technique,bandwidth,mAP_drop,frame_id,feasible,sensitivity,map
0.001,0.0,80,1,24980287.2799289,40,1,1,1.0,1.0
0.001,0.0,70,1,24921226.837982114,40,2,1,1.0,0.6666666666666666
0.001,0.0,67,1,24823051.52255152,40,3,1,1.0,0.6666666666666666
0.001,0.0,69,1,24686148.39413932,40,4,1,1.0,0.625
0.001,0.0,68,1,24511057.19935495,40,5,1,1.0,0.5833333333333334
0.001,0.0,68,1,24298468.24294036,40,6,1,1.0,0.6666666666666666
0.001,0.0,68,1,24049219.666213144,40,7,1,1.0,0.6666666666666666
0.001,0.0,91,1,23764294.142657533,40,8,1,1.0,1.0
0.001,0.0,96,1,23444815.00369093,40,9,1,1.0,0.625
0.001,0.0,94,1,23092041.809880324,40,10,1,0.8,0.75
0.001,0.0,93,1,22707365.38506935,40,11,1,0.8,0.75
0.001,0.0,89,1,22292302.332994066,40,12,1,0.6666666666666666,0.6666666666666666
0.001,0.0,90,1,21848489.05800595,40,13,1,0.8333333333333334,0.6666666666666666
0.001,0.0,91,1,21377675.313475743,40,14,1,0.8333333333333334,0.7333333333333334
0.001,0.0,91,1,20881717.30331375,40,15,1,1.0,0.6666666666666666
0.001,0.0,93,1,20362570.36380424,40,16,1,1.0,0.6666666666666666
0.001,0.0,93,1,19822281.25460608,40,17,1,1.0,0.75
0.001,0.0,93,1,19262980.089312688,40,18,1,1.0,0.8611111111111112
0.001,0.0,93,1,18686871.937385432,40,19,1,1.0,1.0
0.001,0.0,78,1,18096228.13057024,40,20,1,0.8333333333333334,0.7777777777777778
0.001,0.0,71,1,17493377.308072213,40,21,1,0.75,0.7428571428571429
0.001,0.0,77,1,16880696.235793047,40,22,1,0.6666666666666666,0.5833333333333334
0.001,0.0,77,1,16260600.435826892,40,23,1,0.8,0.5499999999999999
0.001,0.0,90,1,15635534.663158145,40,24,1,1.0,0.7166666666666666
0.001,0.0,95,1,15007963.267107332,40,25,1,0.8,0.5833333333333333
0.001,0.0,94,1,14380360.475525454,40,26,1,0.8,0.5833333333333333
0.001,0.0,92,1,13755200.640041763,40,27,1,1.0,0.7166666666666666
0.001,0.0,71,1,13134948.480823584,40,28,1,1.0,0.6666666666666666
0.001,0.0,61,1,12522049.369308548,40,29,1,1.0,0.7833333333333333
0.001,0.0,68,1,11918919.687220076,40,30,1,1.0,0.7833333333333333
0.001,0.0,70,1,11327937.299876085,40,31,1,1.0,0.7833333333333333
0.001,0.0,79,1,10751432.18135031,40,32,1,1.0,0.75
0.001,0.0,82,1,10191677.228446962,40,33,1,0.8333333333333334,0.65
0.001,0.0,84,1,9650879.299705038,40,34,1,1.0,0.6166666666666667
0.001,0.0,82,1,9131170.514761407,40,35,1,0.8,0.5833333333333333
0.024000000000000014,0.23,61,1,8634599.84837528,40,36,1,0.75,0.47916666666666663
0.037000000000000026,0.35,74,1,8163125.0522550605,40,37,1,1.0,0.5416666666666666
0.014000000000000005,0.13,67,1,7718604.936536042,40,38,1,1.0,0.8333333333333333
0.02100000000000001,0.2,72,1,7302792.041339656,40,39,1,0.5,0.41666666666666663
0.016000000000000007,0.15,80,1,6917325.727306897,40,40,1,0.75,0.5
0.01800000000000001,0.17,75,1,6563725.712346841,40,41,1,1.0,0.5833333333333333
0.014000000000000005,0.13,68,1,6243386.080081886,40,42,1,0.8,0.5416666666666666
0.07000000000000005,0.6,69,1,5957569.783611743,40,43,1,0.8333333333333334,0.75
0.08700000000000006,0.69,61,1,5707403.666265227,40,44,1,0.8333333333333334,0.75
0.09600000000000007,0.74,60,1,5493874.018970845,40,45,1,0.7142857142857143,0.5555555555555556
0.05100000000000004,0.44,60,1,5317822.691761389,40,46,1,0.5714285714285714,0.44166666666666665
0.058000000000000045,0.51,60,1,5179943.774743153,40,47,1,0.625,0.5166666666666666
0.07900000000000006,0.65,61,1,5080780.861615106,40,48,1,0.75,0.41666666666666663
0.10800000000000008,0.79,61,1,5020724.906526841,40,49,1,0.6666666666666666,0.4722222222222222
0.1530000000000001,0.92,60,1,5000012.682724604,40,50,1,0.75,0.41666666666666663
0.17900000000000013,0.96,61,1,5018725.84906237,40,51,1,0.75,0.6099999999999999
0.1450000000000001,0.9,61,1,5076790.628058208,40,52,1,1.0,0.7222222222222222
0.09500000000000007,0.71,62,1,5173978.09676525,40,53,1,1.0,0.7777777777777778
