split_layer,rank,sparsity,regularity,pictoriality,decomposability,jpeg_ratio,jpeg_snr,jpeg_mse,decomposition_ratio,decomposition_snr,decomposition_mse,regression_ratio,regression_snr,regression_mse,sketchml_ratio,sketchml_snr,sketchml_mse
8,24.2734375,0.0,0.41887080012676137,0.4673517631129739,-0.8671875,6.1977258483302,23.930318355560303,7.322778e-07,0.5355648535564853,133.7880516052246,7.5666256e-18,14.939226519337016,5.287033915519714,5.358019e-05,4.26908750030836,0.8131612837314606,0.00015010373
8,24.3125,0.0,0.4390089047892136,0.4841597883519806,-0.8701923076923077,5.826997542004781,26.107048988342285,6.2381355e-07,0.5347043701799485,133.37865829467773,1.16921235e-17,14.939226519337016,5.1918065547943115,7.701566e-05,4.26740315143146,0.9778957813978195,0.0002032217
8,24.28125,0.0,0.43962649201968285,0.4877817585427283,-0.8677884615384615,6.55502736690593,24.041895866394043,7.583761e-07,0.5353925353925354,133.04587364196777,9.5386415e-18,14.939226519337016,5.515754222869873,5.401307e-05,4.269034844279988,0.8614650368690491,0.0001577349
8,24.296875,0.0,0.4409732142745355,0.4889469430422162,-0.8689903846153846,6.151024542821092,25.682168006896973,6.1133767e-07,0.535048231511254,131.12592697143555,1.7454413e-17,14.939226519337016,5.385902523994446,6.544972e-05,4.269508795302593,0.9275252372026443,0.00018270293
8,24.2578125,0.0,0.44459000689565586,0.4925850504383843,-0.8659855769230769,5.7723815877251505,25.940330028533936,5.891359e-07,0.5359098228663446,133.41958045959473,1.052666e-17,14.939226519337016,5.6912267208099365,6.239158e-05,4.269350799935857,0.9215360134840012,0.00018710912
8,24.28125,0.0,0.44828717645674526,0.49673830533679136,-0.8677884615384615,5.633425023193737,26.634984016418457,5.847968e-07,0.5353925353925354,132.90653228759766,1.3799092e-17,14.939226519337016,5.628471374511719,7.373204e-05,4.273620783325925,1.0306205600500107,0.00021254028
8,24.296875,0.0,0.4441429832187471,0.4914111873508764,-0.8689903846153846,6.107499558849479,24.147663116455078,7.77978e-07,0.535048231511254,133.77525329589844,8.476339e-18,14.939226519337016,5.4338860511779785,5.7855545e-05,4.271247516443918,0.939902663230896,0.00016283333
8,24.28125,0.0,0.43761676457291443,0.4837162085527164,-0.8677884615384615,5.630126067507117,26.65316343307495,5.162784e-07,0.5353925353925354,127.82466888427734,3.9421552e-17,14.939226519337016,4.999381601810455,7.5554824e-05,4.2676136223520995,0.9444761276245117,0.00019219972
8,24.2890625,0.0,0.43272191187073744,0.47850348424466893,-0.8683894230769231,6.005760888426167,24.799704551696777,6.5973137e-07,0.5352203280797684,133.87579917907715,8.161263e-18,14.939226519337016,5.368276834487915,5.7877533e-05,4.269666802363593,0.8167583495378494,0.00016506761
8,24.296875,0.0,0.44327811933245864,0.48887949148478266,-0.8689903846153846,5.653115557370355,25.517077445983887,7.210113e-07,0.535048231511254,132.3534107208252,1.4938543e-17,14.939226519337016,4.967483580112457,8.18279e-05,4.26635110815275,0.9974797070026398,0.00020412763
