split_layer,rank,sparsity,regularity,pictoriality,decomposability,jpeg_ratio,jpeg_snr,jpeg_mse,decomposition_ratio,decomposition_snr,decomposition_mse,regression_ratio,regression_snr,regression_mse,sketchml_ratio,sketchml_snr,sketchml_mse
2,193.8125,0.0,0.8493377871553286,0.8808358239586365,-0.8635817307692308,7.768937672205294,28.483405113220215,0.0022841536,0.5366010964205095,86.94302558898926,3.2565894e-09,15.98226819357222,8.779566884040833,0.21335807,4.415411945182412,0.968082845211029,1.2890135
2,197.8125,0.0,0.8398373717480292,0.873552582074929,-0.9020432692307692,6.457268256052313,28.416261672973633,0.0027688062,0.5257503949447078,89.27358627319336,2.2727953e-09,15.98226819357222,6.624422073364258,0.41828918,4.4188294848654595,1.1552892625331879,1.473635
2,194.0625,0.0,0.8597120092952422,0.892781077243882,-0.8659855769230769,7.511926207270754,27.761316299438477,0.0027955135,0.5359098228663446,86.34265899658203,3.8754964e-09,15.98226819357222,8.166425824165344,0.25465417,4.409477308413835,1.0213537514209747,1.3196476
2,195.875,0.0,0.8535896099641147,0.892187446655436,-0.8834134615384615,7.026923594245269,28.01586389541626,0.002787257,0.5309508615188258,88.05961608886719,2.75932e-09,15.98226819357222,7.816669344902039,0.29180753,4.416954468087143,1.1361239105463028,1.3587859
2,197.6875,0.0,0.8284537486723218,0.8670507233739568,-0.9008413461538463,5.946443489484343,27.90105104446411,0.0037683514,0.5260828327537148,90.88846206665039,1.8941337e-09,15.98226819357222,6.2118154764175415,0.5560003,4.418878848909841,1.2623615562915802,1.7378827
2,198.0625,0.0,0.8396448095969626,0.8801366326240251,-0.9044471153846154,6.328312089609888,28.12730312347412,0.0029675432,0.5250867781634585,90.7841968536377,1.6095607e-09,15.98226819357222,6.86098575592041,0.39721802,4.417927022486163,1.240442916750908,1.4490494
2,193.6875,0.0,0.8475809790882718,0.8783089821979524,-0.8623798076923077,7.8430537222621926,27.926924228668213,0.0026638675,0.5369474023878671,86.32086753845215,3.8558348e-09,15.98226819357222,7.808592915534973,0.27374476,4.416813553698443,1.0064230114221573,1.3108796
2,196.75,0.0,0.8446036682707383,0.8806752408872527,-0.8918269230769231,6.1996408596083485,27.373409271240234,0.0038355687,0.5285895806861499,89.39888954162598,2.4059208e-09,15.98226819357222,6.414267420768738,0.47834805,4.41510920191791,1.201343759894371,1.5886798
2,195.5625,0.0,0.8487193993629936,0.8845450699497249,-0.8804086538461537,7.162006057799999,27.822468280792236,0.0027702998,0.5317992968999681,88.50516319274902,2.36732e-09,15.98226819357222,8.269240856170654,0.24994797,4.420169757496133,1.016509160399437,1.3277698
2,198.625,0.0,0.8067508125626899,0.8456204773187714,-0.9098557692307692,6.440431332049386,26.43855571746826,0.004750773,0.5235997482693517,92.55375862121582,1.1621015e-09,15.98226819357222,6.1814796924591064,0.504048,4.406887671869504,1.133478358387947,1.6116548
