pruning_thresh,target_sparsity,quality,technique,bandwidth,mAP_drop,frame_id,feasible,sensitivity,map
0.001,0.1,86,1,24980287.2799289,40,1,1,1.0,1.0
0.011000000000000003,0.1,73,1,24921226.837982114,40,2,1,1.0,0.6666666666666666
0.011000000000000003,0.1,69,1,24823051.52255152,40,3,1,1.0,0.75
0.011000000000000003,0.1,72,1,24686148.39413932,40,4,1,1.0,0.6
0.011000000000000003,0.1,72,1,24511057.19935495,40,5,1,1.0,0.5714285714285714
0.011000000000000003,0.1,72,1,24298468.24294036,40,6,1,1.0,0.5833333333333334
0.011000000000000003,0.1,72,1,24049219.666213144,40,7,1,1.0,0.6666666666666666
0.011000000000000003,0.1,94,1,23764294.142657533,40,8,1,1.0,1.0
0.010000000000000002,0.1,97,1,23444815.00369093,40,9,1,1.0,0.625
0.008,0.1,95,1,23092041.809880324,40,10,1,0.8,0.75
0.010000000000000002,0.1,94,1,22707365.38506935,40,11,1,0.8,0.75
0.010000000000000002,0.1,91,1,22292302.332994066,40,12,1,0.6666666666666666,0.6666666666666666
0.010000000000000002,0.1,94,1,21848489.05800595,40,13,1,0.8333333333333334,0.75
0.010000000000000002,0.1,93,1,21377675.313475743,40,14,1,0.8333333333333334,0.7333333333333334
0.010000000000000002,0.1,90,1,20881717.30331375,40,15,1,1.0,0.6666666666666666
0.009000000000000001,0.1,90,1,20362570.36380424,40,16,1,1.0,0.625
0.010000000000000002,0.1,90,1,19822281.25460608,40,17,1,1.0,0.75
0.009000000000000001,0.1,90,1,19262980.089312688,40,18,1,1.0,0.8611111111111112
0.010000000000000002,0.1,91,1,18686871.937385432,40,19,1,1.0,1.0
0.010000000000000002,0.1,90,1,18096228.13057024,40,20,1,0.8333333333333334,0.7777777777777778
0.011000000000000003,0.1,90,1,17493377.308072213,40,21,1,0.75,0.7428571428571429
0.010000000000000002,0.1,90,1,16880696.235793047,40,22,1,0.8333333333333334,0.7142857142857143
0.010000000000000002,0.1,90,1,16260600.435826892,40,23,1,1.0,0.6124999999999999
0.010000000000000002,0.1,90,1,15635534.663158145,40,24,1,1.0,0.7166666666666666
0.011000000000000003,0.1,93,1,15007963.267107332,40,25,1,0.8,0.5833333333333333
0.010000000000000002,0.1,93,1,14380360.475525454,40,26,1,0.8,0.5833333333333333
0.010000000000000002,0.1,84,1,13755200.640041763,40,27,1,1.0,0.7166666666666666
0.011000000000000003,0.1,69,1,13134948.480823584,40,28,1,1.0,0.6166666666666667
0.011000000000000003,0.1,72,1,12522049.369308548,40,29,1,1.0,0.7833333333333333
0.010000000000000002,0.1,82,1,11918919.687220076,40,30,1,1.0,0.7833333333333333
0.010000000000000002,0.1,83,1,11327937.299876085,40,31,1,1.0,0.75
0.011000000000000003,0.1,82,1,10751432.18135031,40,32,1,1.0,0.7833333333333333
0.010000000000000002,0.1,91,1,10191677.228446962,40,33,1,0.8333333333333334,0.65
0.010000000000000002,0.1,94,1,9650879.299705038,40,34,1,1.0,0.6166666666666667
0.010000000000000002,0.1,91,1,9131170.514761407,40,35,1,0.6,0.4722222222222222
0.010000000000000002,0.1,91,1,8634599.84837528,40,36,1,0.75,0.4666666666666666
0.028000000000000018,0.27,85,1,8163125.0522550605,40,37,1,1.0,0.5416666666666666
0.057000000000000044,0.5,88,1,7718604.936536042,40,38,1,1.0,0.8333333333333333
0.08000000000000006,0.65,90,1,7302792.041339656,40,39,1,0.75,0.47916666666666663
0.10900000000000008,0.79,77,1,6917325.727306897,40,40,1,1.0,0.6
0.1390000000000001,0.89,86,1,6563725.712346841,40,41,1,0.5,0.41666666666666663
0.09400000000000007,0.71,86,1,6243386.080081886,40,42,1,0.8,0.5
0.11200000000000009,0.8,88,1,5957569.783611743,40,43,1,0.8333333333333334,0.7333333333333334
0.11600000000000009,0.81,85,1,5707403.666265227,40,44,1,0.8333333333333334,0.7222222222222222
0.12500000000000008,0.85,86,1,5493874.018970845,40,45,1,0.7142857142857143,0.5416666666666666
0.03400000000000002,0.29,82,1,5317822.691761389,40,46,1,0.5714285714285714,0.45833333333333337
0.2420000000000002,0.99,60,1,5179943.774743153,40,47,0,0.625,0.49666666666666665
0.2460000000000002,0.99,60,1,5080780.861615106,40,48,0,0.75,0.41666666666666663
0.1400000000000001,0.89,91,1,5020724.906526841,40,49,1,0.6666666666666666,0.4722222222222222
0.06900000000000005,0.54,92,1,5000012.682724604,40,50,1,0.75,0.4583333333333333
0.060000000000000046,0.51,83,1,5018725.84906237,40,51,1,0.875,0.7583333333333333
0.08700000000000006,0.68,90,1,5076790.628058208,40,52,1,1.0,0.8333333333333333
0.08900000000000007,0.68,93,1,5173978.09676525,40,53,1,1.0,0.8
0.09700000000000007,0.73,91,1,5309905.089310488,40,54,1,0.875,0.7566666666666666
0.16400000000000012,0.94,75,1,5484035.70754309,40,55,1,1.0,0.7297619047619047
0.012000000000000004,0.1,86,1,5695683.433836451,40,56,1,1.0,0.7916666666666666
0.011000000000000003,0.1,91,1,5944013.837714149,40,57,1,1.0,0.7547619047619047
0.010000000000000002,0.1,87,1,6228047.865628833,40,58,1,1.0,0.7666666666666666
0.011000000000000003,0.1,86,1,6546665.7009239085,40,59,1,0.875,0.6704761904761904
0.011000000000000003,0.1,81,1,6898611.178760007,40,60,1,1.0,0.7083333333333333
0.04000000000000003,0.39,81,1,7282496.738600158,40,61,1,1.0,0.75
0.07300000000000005,0.61,82,1,7696808.894728268,40,62,1,0.6666666666666666,0.6
0.10000000000000007,0.75,68,1,8139914.203233173,40,63,1,0.6666666666666666,0.6
