pruning_thresh,quality,technique,frame_id,datasize,sensitivity,map
0,0,0,1,173484,1.0,0.75
0,0,0,2,173484,1.0,0.6666666666666666
0,0,0,3,173484,1.0,0.6666666666666666
0,0,0,4,173484,1.0,0.725
0,0,0,5,173484,1.0,0.85
0,0,0,6,173484,0.8,0.825
0,0,0,7,173484,0.6666666666666666,0.59375
0,0,0,8,173484,0.8333333333333334,0.725
0,0,0,9,173484,0.8333333333333334,0.725
0,0,0,10,173484,0.6666666666666666,0.625
0,0,0,11,173484,0.8,0.875
0,0,0,12,173484,0.8,0.875
0,0,0,13,173484,0.8,0.875
0,0,0,14,173484,0.8,0.84375
0,0,0,15,173484,1.0,0.7380952380952381
0,0,0,16,173484,0.6,0.3333333333333333
0,0,0,17,173484,0.8333333333333334,0.6666666666666666
0,0,0,18,173484,0.8333333333333334,0.6041666666666666
0,0,0,19,173484,1.0,0.5595238095238095
0,0,0,20,173484,1.0,0.5595238095238095
0,0,0,21,173484,1.0,0.9166666666666666
0,0,0,22,173484,1.0,0.626984126984127
0,0,0,23,173484,1.0,0.7388888888888888
0,0,0,24,173484,1.0,0.7666666666666666
0,0,0,25,173484,1.0,0.7380952380952381
0,0,0,26,173484,1.0,0.7666666666666666
0,0,0,27,173484,0.8333333333333334,0.725
0,0,0,28,173484,0.8333333333333334,0.7111111111111111
0,0,0,29,173484,0.8333333333333334,0.5833333333333334
0,0,0,30,173484,0.8333333333333334,0.6
0,0,0,31,173484,0.8333333333333334,0.6333333333333333
0,0,0,32,173484,1.0,0.7388888888888888
0,0,0,33,173484,1.0,0.8
0,0,0,34,173484,1.0,0.8333333333333333
0,0,0,35,173484,1.0,0.7916666666666666
0,0,0,36,173484,1.0,0.7666666666666666
0,0,0,37,173484,1.0,0.7833333333333333
0,0,0,38,173484,1.0,0.8333333333333334
0,0,0,39,173484,0.8,0.75
0,0,0,40,173484,1.0,0.8777777777777778
0,0,0,41,173484,1.0,0.7944444444444444
0,0,0,42,173484,0.8333333333333334,0.6458333333333333
0,0,0,43,173484,1.0,0.6666666666666666
0,0,0,44,173484,0.8333333333333334,0.78125
0,0,0,45,173484,1.0,0.6666666666666666
0,0,0,46,173484,1.0,0.8333333333333333
0,0,0,47,173484,0.8333333333333334,0.575
0,0,0,48,173484,0.8333333333333334,0.575
0,0,0,49,173484,1.0,0.5
0,0,0,50,173484,1.0,0.6666666666666666
0,0,0,51,173484,1.0,0.5
0,0,0,52,173484,1.0,0.5
0,0,0,53,173484,1.0,0.5
0,0,0,54,173484,1.0,0.5
0,0,0,55,173484,1.0,0.5
0,0,0,56,173484,1.0,0.5
0,0,0,57,173484,1.0,0.5
0,0,0,58,173484,1.0,0.5
0,0,0,59,173484,1.0,0.5
0,0,0,60,173484,1.0,0.5
0,0,0,61,173484,1.0,0.5
0,0,0,62,173484,1.0,0.5
0,0,0,63,173484,1.0,0.5
0,0,0,64,173484,1.0,0.5
0,0,0,65,173484,1.0,0.5
0,0,0,66,173484,1.0,0.5
0,0,0,67,173484,1.0,0.5
0,0,0,68,173484,1.0,0.5
0,0,0,69,173484,1.0,1.0
0,0,0,70,173484,1.0,0.5
0,0,0,71,173484,1.0,0.5
0,0,0,72,173484,1.0,0.5
0,0,0,73,173484,1.0,0.5
