video_name,pruning_thresh,jepg_quality,data_size_mean,sparsity,decomposability,regularity,pictoriality,map_50
b610204c-e3c8c65f,0.0,60,13857,0.0,-1.0,0.12008218532125693,0.2653406108828691,0
b610204c-e3c8c65f,0.0,60,13848,0.0,-1.0,0.1194846611435064,0.20175478234651223,0.0
b610204c-e3c8c65f,0.0,60,12025,0.0,-1.0,0.11844128821512082,0.20083750871546857,0
b610204c-e3c8c65f,0.0,60,14047,0.0,-1.0,0.11842432482672316,0.2001331222554137,0
b610204c-e3c8c65f,0.0,60,11191,0.0,-1.0,0.11534926780014092,0.20622147259851453,0.0
b610204c-e3c8c65f,0.0,60,15260,0.0,-1.0,0.11620662294877435,0.20630134473634532,0.019801979884505272
b610204c-e3c8c65f,0.0,60,12331,0.0,-1.0,0.11734171184069396,0.18548638281000707,0.0
b610204c-e3c8c65f,0.0,60,14228,0.0,-1.0,0.11608420737359051,0.18870646087898535,0.08580858260393143
b610204c-e3c8c65f,0.0,60,13597,0.0,-1.0,0.1133007955860772,0.18351266249943277,0.0
b610204c-e3c8c65f,0.0,60,14936,0.0,-1.0,0.11641538730289964,0.18819442592836855,0.0
b610204c-e3c8c65f,0.0,60,12695,0.0,-1.0,0.11487996228957487,0.21618661496178204,0.0
b610204c-e3c8c65f,0.0,60,14771,0.0,-1.0,0.1175795657966282,0.19249753569233663,0.11221121996641159
b610204c-e3c8c65f,0.0,60,13204,0.0,-1.0,0.11707578306010563,0.17351728792773247,0.0
b610204c-e3c8c65f,0.0,60,11546,0.0,-1.0,0.11865816613861917,0.18475723039648906,0.11221121996641159
b610204c-e3c8c65f,0.0,60,11167,0.0,-1.0,0.11791589917561587,0.2298401624918568,0.0
b610204c-e3c8c65f,0.0,60,14000,0.0,-1.0,0.11724953572113883,0.1973438682595554,0.0
b610204c-e3c8c65f,0.0,60,14566,0.0,-1.0,0.12004412613330023,0.22231597965781746,0.0
b610204c-e3c8c65f,0.0,60,13091,0.0,-1.0,0.11695295497718779,0.1779615282757665,0.0
b610204c-e3c8c65f,0.0,60,13018,0.0,-1.0,0.11628758337020427,0.2015975223227524,0.08580858260393143
b610204c-e3c8c65f,0.0,60,13937,1.1556952662721893e-05,-1.0,0.11775613884702482,0.19536644194055608,0.0
