frame_id,head_time,serialize_time,tail_time
1,2671.721923828125,0,0
2,10.117695808410645,0,0
3,10.133407592773438,0,0
4,10.141599655151367,0,0
5,10.077119827270508,0,0
6,10.092672348022461,0,0
7,10.160896301269531,0,0
8,10.116095542907715,0,0
9,10.113344192504883,0,0
10,10.096351623535156,0,0
11,10.171039581298828,0,0
12,10.09772777557373,0,0
13,10.083616256713867,0,0
14,10.111680030822754,0,0
15,10.069087982177734,0,0
16,10.112480163574219,0,0
17,10.084383964538574,0,0
18,10.103455543518066,0,0
19,10.115551948547363,0,0
20,10.149984359741211,0,0
21,10.120096206665039,0,0
22,10.110079765319824,0,0
23,10.083231925964355,0,0
24,10.063712120056152,0,0
25,10.094655990600586,0,0
26,10.11673641204834,0,0
27,10.061023712158203,0,0
28,10.096863746643066,0,0
29,10.151904106140137,0,0
30,10.090239524841309,0,0
31,10.113120079040527,0,0
32,10.066944122314453,0,0
33,10.098015785217285,0,0
34,10.174495697021484,0,0
35,10.100799560546875,0,0
36,10.076383590698242,0,0
37,10.173184394836426,0,0
38,10.103967666625977,0,0
39,10.10108757019043,0,0
40,10.122719764709473,0,0
41,10.099455833435059,0,0
42,10.127424240112305,0,0
43,10.128447532653809,0,0
44,10.1014404296875,0,0
45,10.105567932128906,0,0
46,10.133888244628906,0,0
47,10.042847633361816,0,0
48,10.1146879196167,0,0
49,10.084192276000977,0,0
50,10.085663795471191,0,0
51,10.100640296936035,0,0
52,10.128128051757812,0,0
53,10.090911865234375,0,0
54,10.083488464355469,0,0
55,10.18511962890625,0,0
56,10.089344024658203,0,0
57,10.110112190246582,0,0
58,10.127296447753906,0,0
59,10.048128128051758,0,0
60,10.052255630493164,0,0
61,10.069120407104492,0,0
62,10.087936401367188,0,0
63,10.101696014404297,0,0
64,10.130304336547852,0,0
65,10.10086441040039,0,0
66,10.125120162963867,0,0
67,10.080896377563477,0,0
68,10.054495811462402,0,0
69,10.181599617004395,0,0
70,10.085472106933594,0,0
71,10.042431831359863,0,0
72,10.125887870788574,0,0
73,10.103072166442871,0,0
74,10.11193561553955,0,0
75,10.156991958618164,0,0
76,10.089695930480957,0,0
77,10.100064277648926,0,0
78,10.084863662719727,0,0
79,10.107104301452637,0,0
80,10.08899211883545,0,0
